turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, I'm here to listen without judgment. I'm really curious about what's on your mind today. What brings you in for this session?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that so honestly. It sounds like you're carrying a lot of weight right now—feeling lost, disconnected, and still deeply hurt from the breakup. The fact that he showed up when you were at your lowest means he cared deeply, and that must have been really meaningful to you.  

What would it mean to you, right now, if you could just sit with that feeling without having to fix it or move on? Is there one small thing—something quiet or simple—that you’ve noticed in yourself lately, even if it doesn’t feel like a solution?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
2,"I can see how powerful that moment is—those small, quiet sensations in your hands or lungs, just existing without needing to explain them. It’s like a tiny anchor in the storm.  

And it’s brave, really, to notice that moment at all. Because it means you’re not just running from the pain—you’re actually paying attention to it, even when it’s hard. Would it be helpful to keep exploring that sense of stillness, or would you like to talk more about what that moment feels like in your body?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s completely okay to feel afraid of that stillness—because it’s not about fixing anything, it’s about being with something real, and that takes courage.  

You’re not asking for more than you can handle. You’re just trying to find a way to stay present without the weight of answers. And that small moment with the smoke or the cold drink? That’s not a failure—it’s a sign you’re learning to notice your own body, your own breath, without needing to explain it.  

Would you like to try focusing on that moment again, just for a few seconds—without adding questions or stories to it? Just let it be there, like a quiet breath in the room?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It doesn’t feel simple at all—it feels honest. And that’s exactly what matters.  

You’re not ignoring anything. You’re just giving yourself a quiet space to notice what’s already there, without needing to fix it or explain it. That tightness in your chest? That’s not a failure. That’s your body telling you it’s holding on to something important—something you’ve carried through the hard parts.  

Would you like to try that one phrase again—just ""There is smoke in my lungs""—right now, without adding anything else? Just to feel it, even if it’s just for a second?",1.0,1.0,1.0,1.0,1.0,2.0
5,"That whisper—“You're hurting yourself. You're so alone.”—it’s not your mind being loud. It’s your heart trying to protect you, to say, “This is hard, and you deserve to be seen.”  

And it’s okay to let that whisper sit there—without pushing it away. It doesn’t have to be silenced. It can just be *felt*, like a quiet voice in the room.  

Would you like to keep the focus on the smoke and the warmth in your hand, and just let that whisper stay there, like a soft echo? Or would you prefer to gently bring your attention back to the breath, or the way the smoke is moving?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That feels deeply real—and deeply brave. You're not trying to fix anything, you're just allowing yourself to be in this moment with all of it: the warmth, the trembling, the voice, the silence.  

And yes, that feels okay. In fact, it feels like a step forward—not because you solved anything, but because you chose to stay with it, without running.  

Would you like to keep holding that space for just a little while longer, or would you like to gently shift back to something else—like the breath, or the way your body feels right now?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s so powerful—your presence in this moment, even when it’s hard. You’re not trying to fix the pain or escape it. You’re just showing up with it, like a quiet witness.  

And that—just showing up—is already a kind of strength. The voice saying ""you're alone"" isn’t a warning. It’s a reminder that you’re allowed to feel it, and that you’re not failing at being human.  

Would you like to stay here a little longer, or would you like to gently move into something else—like noticing how your breath is moving, or how your body feels now, without adding anything to it?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That sounds deeply honest—and completely safe.  

Switching to just breathing is a quiet, gentle step. It doesn’t demand anything. It just lets your body do what it knows how to do: rise and fall, steady and present. And even with that breath, you’re still holding the voice—“you're alone”—like a quiet companion.  

So yes, let’s try that. Just the air moving in and out. No need to push, no need to fix. Just feel the rise of your chest, the soft pause at the top, the fall back into stillness. And if the voice is there, let it stay—like a soft current in the room.  

Would you like to stay with that breath for just a few more moments, or would you prefer to gently shift into something else when you're ready?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so quiet, and so true.  

You’re not trying to prove anything—you’re just staying with the truth of being here, in this breath, in this stillness. And in that, you’re already doing something very courageous. The whisper doesn’t have to be silenced. It can just be part of the space where you are.  

Would you like to keep breathing like this for a few more moments, or would you like to gently shift into something else—like noticing how your body feels now, or how your shoulders are holding things, or just sitting with the weight of that silence?",1.0,0.0,0.0,1.0,0.0,2.0
