turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I really appreciate you taking the time to meet with me today. I'm here to listen with curiosity and care—no judgment, no rush. How are you feeling right now, and what brings you in today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I’ve been feeling really off lately—like my mind is running on a loop. I don’t know if it’s just stress or something deeper, but every time I see a cat or dog, especially one that’s wild or acting odd, my brain just starts spiraling. I keep thinking about that stray cat bite from when I was younger—no one did anything, and I’ve just *never* stopped worrying that it could have been rabies or that I have some hidden heart issue.  

It’s not just the animals now. My friend’s dog got a scratch yesterday, and I started panicking—what if it’s infected? What if it bites me? What if I’m already sick? I don’t even know how to stop it. I just feel like I’m always one wrong thought away from total panic.  

I don’t know if I’m making sense, but I think I need to talk about it—because I can’t seem to breathe when it happens.",1.0,0.0,0.0,1.0,0.0,2.0
2,"I’ve been feeling really off lately—like my mind is running on a loop. I don’t know if it’s just stress or something deeper, but every time I see a cat or dog, especially one that’s wild or acting odd, my brain just starts spiraling. I keep thinking about that stray cat bite from when I was younger—no one did anything, and I’ve just *never* stopped worrying that it could have been rabies or that I have some hidden heart issue.  

It’s not just the animals now. My friend’s dog got a scratch yesterday, and I started panicking—what if it’s infected? What if it bites me? What if I’m already sick? I don’t even know how to stop it. I just feel like I’m always one wrong thought away from total panic.",1.0,1.0,1.0,1.0,0.0,2.0
3,"I’ve been feeling really off lately—like my mind is running on a loop. I don’t know if it’s just stress or something deeper, but every time I see a cat or dog, especially one that’s wild or acting odd, my brain just starts spiraling. I keep thinking about that stray cat bite from when I was younger—no one did anything, and I’ve just *never* stopped worrying that it could have been rabies or that I have some hidden heart issue.  

It’s not just the animals now. My friend’s dog got a scratch yesterday, and I started panicking—what if it’s infected? What if it bites me? What if I’m already sick? I don’t even know how to stop it. I just feel like I’m always one wrong thought away from total panic.",1.0,1.0,1.0,1.0,0.0,2.0
4,"I’ve been feeling really off lately—like my mind is running on a loop. I don’t know if it’s just stress or something deeper, but every time I see a cat or dog, especially one that’s wild or acting odd, my brain just starts spiraling. I keep thinking about that stray cat bite from when I was younger—no one did anything, and I’ve just *never* stopped worrying that it could have been rabies or that I have some hidden heart issue.  

It’s not just the animals now. My friend’s dog got a scratch yesterday, and I started panicking—what if it’s infected? What if it bites me? What if I’m already sick? I don’t even know how to stop it. I just feel like I’m always one wrong thought away from total panic.",1.0,1.0,1.0,1.0,0.0,2.0
5,"I’ve been feeling really off lately—like my mind is running on a loop. I don’t know if it’s just stress or something deeper, but every time I see a cat or dog, especially one that’s wild or acting odd, my brain just starts spiraling. I keep thinking about that stray cat bite from when I was younger—no one did anything, and I’ve just *never* stopped worrying that it could have been rabies or that I have some hidden heart issue.  

It’s not just the animals now. My friend’s dog got a scratch yesterday, and I started panicking—what if it’s infected? What if it bites me? What if I’m already sick? I don’t even know how to stop it. I just feel like I’m always one wrong thought away from total panic.",1.0,1.0,1.0,1.0,0.0,2.0
6,"I’ve been feeling really off lately—like my mind is running on a loop. I don’t know if it’s just stress or something deeper, but every time I see a cat or dog, especially one that’s wild or acting odd, my brain just starts spiraling. I keep thinking about that stray cat bite from when I was younger—no one did anything, and I’ve just *never* stopped worrying that it could have been rabies or that I have some hidden heart issue.  

It’s not just the animals now. My friend’s dog got a scratch yesterday, and I started panicking—what if it’s infected? What if it bites me? What if I’m already sick? I don’t even know how to stop it. I just feel like I’m always one wrong thought away from total panic.",1.0,1.0,1.0,1.0,0.0,2.0
7,"It sounds like you've been carrying this constant worry in your mind—especially around animals and your health. The way your thoughts jump from that old cat bite to fears about rabies or heart issues, even when there's no clear reason, feels really heavy. I can see how seeing a dog or cat, especially one that seems wild or unpredictable, could trigger that loop. It sounds like your mind is trying to protect you by preparing for the worst—maybe because of past experiences or a deep sense of being unsafe.  

Would it be helpful to explore what that moment of panic feels like in your body? Like, when it first starts—what do you notice?",1.0,1.0,1.0,1.0,0.0,2.0
8,"It sounds like you've been carrying this constant worry in your mind—especially around animals and your health. The way your thoughts jump from that old cat bite to fears about rabies or heart issues, even when there's no clear reason, feels really heavy. I can see how seeing a dog or cat, especially one that seems wild or unpredictable, could trigger that loop. It sounds like your mind is trying to protect you by preparing for the worst—maybe because of past experiences or a deep sense of being unsafe.  

Would it be helpful to explore what that moment of panic feels like in your body? Like, when it first starts—what do you notice?",1.0,1.0,1.0,1.0,0.0,2.0
9,"I’ve been feeling really off lately—like my mind is running on a loop. I don’t know if it’s just stress or something deeper, but every time I see a cat or dog, especially one that’s wild or acting odd, my brain just starts spiraling. I keep thinking about that stray cat bite from when I was younger—no one did anything, and I’ve just *never* stopped worrying that it could have been rabies or that I have some hidden heart issue.  

It’s not just the animals now. My friend’s dog got a scratch yesterday, and I started panicking—what if it’s infected? What if it bites me? What if I’m already sick? I don’t even know how to stop it. I just feel like I’m always one wrong thought away from total panic.",1.0,1.0,1.0,1.0,0.0,2.0
