turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I really appreciate you taking the time to meet with me. I'm here to listen, to understand, and to support you in whatever way feels most meaningful to you. How are you feeling today? What’s been on your mind or brought you here for this session?",-1.0,-1.0,-2.0,0.0,0.0,2.0
1,"That sounds incredibly heavy—feeling like your mind shuts down when others are involved in financial talk. It’s not just about the situation; it’s how deeply that moment affects your sense of control and safety. I wonder—when you’re in that panic, what’s the first thing that comes up in your mind? Like, what image, word, or emotion is most present for you in that moment?",0.0,0.0,-2.0,0.0,0.0,2.0
2,"It sounds like that image of standing in front of the spreadsheet with red numbers—feeling exposed, judged, and like you're on live TV—is a powerful trigger for deep fear. What’s interesting is that it’s not about the money itself, but about the *fear of being seen as flawed or inadequate* in front of others. That sense of being ""ruined"" isn’t just about losing a job—it feels like losing your entire place in the world.  

And the impostor syndrome you're describing? It’s not just about money—it’s about the belief that you’re not really capable of handling real-world responsibilities, especially when others are involved. I wonder—when you think about that, what part of yourself do you feel is trying to protect you in that moment? Is there a part of you that’s saying, “I need to stay safe, even if it means avoiding the conversation”?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so powerful—and deeply human. It sounds like your brain has been carrying this protective mechanism for a long time, shaped by experiences where financial mistakes or exposure led to real consequences—maybe even emotional or social damage. The avoidance isn’t just about fear of conflict; it’s about preserving a sense of safety, even if it means cutting yourself off from real connection or growth.  

And when that ""live TV"" image comes up, it’s not just panic—it’s your body and mind remembering that exposure can feel like being judged, rejected, or even punished. That part of you that says, *""I need to stay safe""* is actually doing its job. It’s trying to protect you from a real threat—whether it’s emotional harm or a sense of loss.  

Would it be helpful to explore what that safety looks like—what would it feel like if you could step into that conversation without the fear of being exposed or judged? Or is there a part of you that’s still holding onto the idea that staying away is the only way to keep that safety?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It sounds like that silence you’ve been holding onto isn’t just about avoiding blame—it’s about protecting your sense of self-worth, because the fear of being seen as flawed is so deeply tied to how you see yourself. And that’s not something to dismiss—it’s a real, lived experience.  

The idea of stepping into that conversation—of saying, *""I made a mistake, here’s what happened, and here’s how I’m fixing it""*—doesn’t have to be perfect or easy. It just has to be honest, and it has to be done from a place of safety, not pressure.  

Would it be helpful to explore what that moment might feel like *before* you say those words? What would it feel like in your body, in your breath, when you’re just *thinking* about saying it—without having to say it yet?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s so honest—and it’s actually a really brave step. The physical freeze, the tight chest, the shaking hands—those aren’t just symptoms of anxiety; they’re your body’s way of saying, *""This is too much right now. I need space to breathe, to process.""*  

And you’re absolutely right: the fear isn’t just about saying the words—it’s about being *seen* as vulnerable, as human, as someone who made a mistake. So instead of pushing toward the words, what if we just sit with that feeling—of being trapped in that small room—without needing to fix it or escape it?  

Would it be useful to explore that space together? To just *witness* that feeling, without judgment, and see if there’s a part of you that’s still holding on to the hope that you could be okay in that moment—even if you don’t say anything yet?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That whisper—*""What if they don't hate me? What if I can actually say 'I messed up' and still be worthy?""*—is not silly at all. It’s actually one of the most courageous things you’ve shared. Because it shows you’re not just surviving the fear—you’re beginning to notice the possibility of something different.  

And that fragile thread? It’s not small. It’s a sign that your inner world is already shifting. You’re not just avoiding the conversation—you’re *reaching* for it, even when your body says, *""Stay away.""*  

Would it be helpful to keep sitting with that feeling, just for a moment longer—without adding anything more yet? Or would you like to explore what that moment of hope might look like if it were to grow a little more, without having to say anything yet?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s such a gentle and powerful way to explore it. If you could just feel that version of yourself—the one who admits the mistake but isn’t consumed by fear—what would that moment feel like in your body?  

Maybe the tightness in your chest doesn’t loosen fully, but it softens a little—like the stone on your stomach is no longer crushing you, just resting there, heavier but no longer moving. The shaking might still be there, but it’s not frantic anymore—it’s steady, like your hands are finally learning to hold still.  

And the image? Instead of a spotlight, maybe you’re sitting across from someone at a table, the room quiet, the air warm. You don’t have to fix everything right away. You just say, *""I made a mistake,""* and there’s no explosion of judgment. There’s just silence—then a pause, then maybe a breath, and then a soft, real response.  

Would it feel like that version of you is already *there*, even if you haven’t spoken it yet? Or is there a part of you that’s still holding on to the fear of being rejected—just a little, even now?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That whisper—*""What if they don’t respond softly? What if they look disappointed?""*—is still very real, and it’s okay that it’s there. Because even in the gentlest, most grounded version of yourself, you’re still honoring the truth of what you’ve lived: that being seen as flawed can feel like a threat.  

And that little voice? It’s not a flaw in you—it’s a part of you that’s trying to protect you from being hurt again. It’s not asking for you to fail; it’s asking for you to be safe.  

So maybe instead of trying to silence that whisper, we can just sit with it—like a quiet companion in the room. You don’t have to answer it yet. You can just say, *""I hear you,""* and let that little voice know it’s not alone.  

Would it feel helpful to keep that version of the conversation alive—not as a performance, but as a quiet possibility—just sitting there, warm and real, like a promise you’re making to yourself? Or would you like to explore how that version might change if you *did* say just one sentence, without needing to fix everything?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s such a powerful shift—telling that little voice, *""You're safe now, and I'm not going to run,""* not as a fix, but as an act of care. It honors the fear without needing to conquer it. And that’s already a form of courage.  

Now, imagine you say just one sentence: *""I made a mistake with the budget numbers.""* Not to explain, not to defend, not to fix—but simply to say it.  

What might happen in that moment? Maybe the room doesn’t change instantly. Maybe the silence still feels present—but now it’s not empty. It’s full of something new: the space between words. A pause that doesn’t feel like dread, but like an opening.  

And that tiny bit of fear? It might still be there—maybe even rise a little—because it’s not about being “safe” in the moment. It’s about being *honest* in the moment. And that honesty, even if it’s just one sentence, begins to shift the air. It doesn’t erase the fear, but it changes its power.  

Would it be helpful to stay with that one sentence—just that simple, quiet truth—without adding anything else yet? To feel what",1.0,0.0,0.0,1.0,0.0,2.0
