ID,reference,prediction,NJ,WE,RA,AL,RF,SA,AVG
Kusv2J0M19E_1,"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","Therapist: It sounds like you're still feeling a sense of disconnection and isolation. You mentioned that you feel like you're lost, and that's a really tough feeling to navigate. Can you tell me more about what that feels like for you? What does it feel like to be lost?

Patient: It's like... I don't know, it's like I'm wandering around in a fog, you know? I don't know where I am, where I'm going, or what I'm doing. It's like I'm just drifting through life without any direction or purpose.

Therapist: I sense that you",-1,0,-2,1,0,2,0.0
Kusv2J0M19E_3,Yeah.,"Therapist: I sense that you're feeling frustrated and overwhelmed by the situation with your aunt and your sister. It sounds like you're feeling a sense of helplessness and powerlessness, like you're not in control of your own life. You're feeling stuck and unsure of how to move forward. Can you tell me more about what's going through your mind when you think about your aunt and your sister? What are some of the thoughts that come up for you?",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_5,"Yeah, so it's kind of hard to hear it that way.","It's like, I'm just so frustrated and anxious about everything. I feel like I'm stuck in this rut and I don't know how to get out of it. I feel like I'm just going through the motions, you know? And it's hard to focus on anything when I'm feeling so overwhelmed.",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_7,It kind of surprised you?,"...don't think I'm a bad person for feeling that way. I know I'm not a good person, and I know I'm not a good son to my mom.",-1,-1,-2,1,1,1,-0.16666666666666666
Kusv2J0M19E_9,Just a little above average.,"It's interesting that you said that, because I was thinking that you might be in a higher range, but you're actually in a lower range. It's almost like you're surprised that you're not feeling as strongly about it.",1,1,1,2,1,2,1.3333333333333333
Kusv2J0M19E_11,It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,It's a significant increase. It's like a big jump.,1,1,1,1,0,2,1.0
Kusv2J0M19E_13,"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...","It's like you've been trying to put on a mask and hide it from others, but it's clear to you that you're struggling with some underlying issues. It's a brave thing to acknowledge that you're not okay, and it takes a lot of courage to do so.",-1,-1,-2,1,0,1,-0.3333333333333333
Kusv2J0M19E_15,"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.","The studies that have been done on the effects of Percocet on the brain and behavior are primarily based on case studies, case reports, and small-scale studies. Some of the key findings include:

* The use of Percocet can lead to changes in brain chemistry, including increased activity in the reward system and decreased activity in the prefrontal cortex, which can contribute to addiction and impulsivity.
* The medication can also affect the brain's stress response system, leading to increased stress and anxiety.
* Long-term use of Percocet can lead to tolerance and dependence, as the brain adapts to the constant presence of the medication",1,1,0,1,0,2,0.8333333333333334
Kusv2J0M19E_17,Yeah.,"It's not about being bad, it's about being aware of it. It's about recognizing that you're struggling with some issues, and that's a huge step. It's not about being perfect, it's about being honest with yourself and acknowledging that you need help.",1,1,1,1,1,2,1.1666666666666667
Kusv2J0M19E_19,"Because getting angry, saying things to people, not thinking things through, can really put you at risk.","It sounds like you're feeling a sense of frustration and injustice, like you're not being held accountable for the harm that's been done to you. You're also feeling a sense of numbness and disconnection from the world around you, like you're just going through the motions without any real sense of purpose or direction.",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_1,"Hi Lisa, how you doing today?","Therapist: It sounds like you're still feeling a sense of disconnection and isolation. You mentioned that you feel like you're lost, and that's a really tough feeling to navigate. Can you tell me more about what that feels like for you? What does it feel like to be lost?

Patient: It's like... I don't know, it's like I'm wandering around in a fog, you know? I don't know where I am, where I'm going, or what I'm doing. It's like I'm just drifting through life without any direction or purpose.

Therapist: I sense that you",-1,0,-2,1,0,2,0.0
L1vluZ9uHMY_3,"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?","Therapist: I'm doing well, thank you for asking. It's great to hear that you're feeling a sense of calm. I can sense that you're still processing the emotions and thoughts that came up in our conversation. It's clear that you're still grappling with the loss of your mother and the distance from your sister. It's understandable that you're feeling a sense of frustration and disconnection from your aunt and uncle.

You mentioned that you feel like you're not being taken care of and that you're struggling to cope with the situation. It sounds like you're feeling a sense of helplessness and powerlessness. Can",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_5,All right. So were you ordered by a court or...?,"It sounds like you're feeling a sense of regret and remorse for what happened. Can you tell me more about what led up to this moment, and what you're feeling right now?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_7,And how long ago did the crime occur?,It sounds like you're feeling a sense of responsibility and guilt. Can you tell me more about what happened and how you're feeling about it?,-1,-1,-2,1,0,1,-0.3333333333333333
L1vluZ9uHMY_9,"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.","It sounds like the guilt and anxiety are still lingering. Can you tell me more about what happened? What led up to the incident, and how did you feel when it happened?",-1,-1,-2,-1,-1,1,-0.8333333333333334
L1vluZ9uHMY_11,Like diagnosing. Is that okay with you?,"No, not diagnosing. I'm not trying to figure out what's going on with you. I'm more interested in understanding your experience and how it's affecting you. I want to help you explore your feelings and thoughts, and see if we can find some ways to support you. I'm here to listen and help, not to diagnose or label you.",-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_13,All right. So how old are you now?,"I want to understand what's going on with you, and I'm not looking to diagnose or label anything. I'm just trying to get a sense of where you are right now, and what's been going on. So, can you tell me about your relationship with your aunt?",-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_15,All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,So you're 25 years old. That's a big step forward. What are your goals for therapy? What do you hope to achieve in the next few months?,-1,0,-2,0,0,1,-0.3333333333333333
L1vluZ9uHMY_17,And this was a friend of yours?,"It sounds like you were feeling a sense of desperation and a lack of financial security. You felt like you needed the money to get by, and you took it without thinking about the consequences. Can you tell me more about what was going through your mind when you made that decision?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_19,How do things stand between you and your friend now?,It seems like this was a difficult situation for you. You felt like you were in a tight spot and you didn't know what to do. Did you feel like you were in a situation where you were being pressured or manipulated by your friend?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_21,Have you had any other trouble with the law?,It sounds like the situation has taken a bit of a blow. How are you feeling about that?,1,1,-2,1,0,2,0.5
L1vluZ9uHMY_23,And who's they?,It sounds like there's a sense of regret and longing for a past relationship. Can you tell me more about what happened in those fights?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_25,You remember doing it?,It sounds like there's a lot of pain and anger associated with that experience. Can you tell me more about what happened that day? What was going through your mind when you were in that situation?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_27,And how old were you when that happened?,It's okay to remember. It's okay to acknowledge the pain and the hurt. It's okay to feel the emotions that come up. It's okay to take a step back and reflect on that experience. Can you tell me more about what happened that day? What was going through your mind when you were in that situation?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_29,"Were you ever treated for that, like any type of mental health treatment?","It sounds like that was a really difficult time for you. It's interesting that you mention that you used to get into physical altercations, because it suggests that you may have been feeling a lot of frustration and anger at that age. And it's also interesting that you mention that your aunt told you to pull you off of her, which suggests that there was a power imbalance in your relationship with her. Did you feel like you were being controlled or manipulated by her?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_31,Are you aware of any diagnosis that you've been given related to mental health in the past?,"It sounds like the experience was really tough for you. Did you feel like you were in a safe place during that time, or was it more of a feeling of being trapped or helpless?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_33,All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,It's understandable that you might not remember everything that happened. Can you tell me more about what you were feeling and thinking when you were in that detention center? What was going through your mind?,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_35,Any other thefts or assaults or anything?,"It sounds like you've had some experiences with substance use and substance-related issues. Can you tell me more about what you mean by ""drinking"" and ""drugs""? Are you referring to prescription medications, or is it more about substances like alcohol, marijuana, or other substances?",0,0,0,1,0,2,0.5
L1vluZ9uHMY_37,"All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?","It sounds like you've been dealing with some challenges in your relationships and with your own identity, especially with your mother's passing. It's like you're still trying to figure out who you are and where you fit in. Is that right?",-1,-1,-2,1,0,1,-0.3333333333333333
L1vluZ9uHMY_39,All right. How many times did that happen where you seriously hurt somebody?,"It sounds like you're still carrying some emotional scars from that experience. It's understandable that you might be hesitant to talk about it, but I want to acknowledge that you're taking steps to address your feelings and work through them. Can you tell me more about what happened in that fight? What was going through your mind when it was happening?",-1,0,-2,1,0,1,-0.16666666666666666
L1vluZ9uHMY_41,"Can you explain what happened, like what caused the fight?","It sounds like the fights were quite frequent. And you mentioned that you don't have a number, but I sense that you're not just saying that to avoid talking about it. Is there something specific that's been bothering you about those fights, or is it more of a general feeling of being overwhelmed or frustrated?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_43,What are your feelings about that?,"It sounds like there was a lot of anger and frustration in that situation. It's interesting that you're not really able to pinpoint a specific incident, but rather a pattern of behavior. Can you tell me more about what happened in that situation? What was going through your mind when you were feeling that way?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_45,Because of the way she looked at you?,It sounds like you're feeling a sense of anger and frustration towards the girl who hurt you. You're also feeling a sense of self-preservation and a desire to protect yourself from getting hurt again. Is that right?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_47,Do you ever have any feelings of guilt or remorse about that?,It sounds like you're still processing the emotions and reactions from that situation. It's understandable that you're still feeling a bit hurt and angry. Can you tell me more about what you were feeling when you punched her? What was going through your mind?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_49,Have you ever apologized to any of the people that were hurt?,It's not something that's ever really come up for you before.,1,0,0,1,0,2,0.6666666666666666
L1vluZ9uHMY_51,"Oh, so in some of these situations, apologizing was kind of required?","It sounds like you're trying to make amends, but it's not coming from a place of genuine remorse. Can you tell me more about what you mean by ""appease people""? What does that feel like for you?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_53,So you apologized to them but you didn't really mean it? Or what were you thinking?,"It sounds like you've been trying to make amends in a way that's not really coming from a place of genuine remorse. Can you tell me more about what's going through your mind when you think about apologizing? Is it more about avoiding conflict, or is there something else at play?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_55,Were you successful in getting out of trouble?,"It sounds like you were trying to avoid any more conflict or trouble, but it's clear that the situation with your aunt and your sister is still really affecting you. It's like you're trying to protect yourself from getting hurt again. Can you tell me more about what's going on with your aunt and your sister? What's the dynamic like between them?",1,1,-2,1,0,2,0.5
L1vluZ9uHMY_57,You say that with a little pride. Is it something you take pride in? Being able to get out of trouble?,"It sounds like you felt a sense of relief when you were able to get out of trouble. But it's interesting that you said you didn't really mean it. It's almost like you were trying to avoid getting in trouble, but you still felt a sense of relief. Can you tell me more about what you were thinking when you said that?",-1,-1,-2,1,0,1,-0.3333333333333333
L1vluZ9uHMY_59,So that's like something you look at as like a skill that you have?,"It's not about pride, it's more about feeling a sense of control and agency. You're able to take care of yourself and get out of a difficult situation. That's a good feeling.",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_61,"Have you ever for the theft type activities, you ever felt any guilt or remorse there?","It's like a skill that you've developed over time, right? And it's something that you're proud of, even if it's not always easy.",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_63,It's kind of the same thing?,It's not something that comes up for you?,1,1,1,1,0,2,1.0
L1vluZ9uHMY_65,Were you ever the victim of a crime?,"It sounds like you're feeling a sense of self-punishment and a sense of injustice. You're feeling like you're not being treated fairly, and that's causing you a lot of distress.",-1,1,-2,1,0,2,0.16666666666666666
L1vluZ9uHMY_67,"Do you feel that you're good in working with people, like in terms of social skills?","It sounds like you're feeling a sense of self-sufficiency and independence, but also a bit of a sense of superiority. That can be a complex and nuanced feeling. Can you tell me more about what it's like to feel like you're smarter than others? How does that make you feel?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_69,So you're effective at managing relationships to get what you want?,"It sounds like you're feeling a sense of control and power in your life, but also a sense of frustration and resentment towards others who may not be giving you what you want. Can you tell me more about what you mean by ""getting what you want""?",1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_71,How would you describe your mood most of the time?,It sounds like you're confident in your ability to navigate social situations and get what you want. That's a really strong sense of self-assurance. Can you tell me more about what it's like to feel confident in your abilities? What does that feel like for you?,1,1,1,2,1,2,1.3333333333333333
L1vluZ9uHMY_73,How often does that happen?,"It sounds like you're feeling a bit frustrated with the situation with your aunt and the distance from your sister. You're also feeling a bit anxious about your job and school, and it's affecting your ability to focus and concentrate. Is that a fair assessment?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_75,All right. Does that irritability ever lead to or has ever led to some of the aggressiveness you've...?,It sounds like you're feeling a bit frustrated with yourself right now. Is there anything that's causing you to feel that way?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_77,So you're more likely to be aggressive when you've been irritable for a while?,"It sounds like there's a sense of frustration and anger that's building up inside you. It's not just about the irritability, but also the potential for aggression. Can you tell me more about what's driving that frustration? Is it related to the situation with your aunt, or is it something else?",-1,0,-2,1,0,2,0.0
L1vluZ9uHMY_79,When was the last time you were involved in a physical fight?,"It sounds like the irritability and frustration have been building up over time, and it's affecting your behavior. It's like a slow-burning fire that's been simmering beneath the surface. Can you tell me more about what's been going on in your life that might be contributing to this?",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_81,About five years ago?,"It's been a while since then, but it's possible that the stress and frustration you're feeling now might be related to that incident. How do you think your body is responding to the stress and tension you're feeling right now?",1,1,1,1,0,2,1.0
L1vluZ9uHMY_83,What do you think has caused that to stop?,It's been a while since then. How do you think your relationship with your aunt has changed since then?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_85,What type of things?,It sounds like you're feeling a sense of relief and progress. It's natural to feel that way after making some changes and taking steps towards a new path. It's like you're shedding old skin and emerging into a new phase of life. How do you think this new phase is going to look for you?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_87,So the stealing's more gratifying than the fighting?,It sounds like you're feeling a sense of relief and freedom after leaving the situation with your aunt. It's like you're finally able to move on from the stress and anxiety that was weighing you down. Is that right?,-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_89,"So irritable and any other emotions, any other feelings?",It sounds like you're feeling a sense of satisfaction or relief when you're in a situation where you're able to take something that doesn't belong to you. Is that right?,1,1,1,1,1,2,1.1666666666666667
L1vluZ9uHMY_91,All right. You have a job?,"It sounds like you're still trying to process and make sense of the situation. It's like you're trying to figure out what's going on with your aunt and your relationship with her. You're not sure how to navigate the situation, and it's causing you a lot of emotional pain.",-1,-1,-2,0,0,1,-0.5
L1vluZ9uHMY_93,Can you tell me about your work performance and your experience there?,"It's been a while since you've had a job, isn't it?",1,1,1,1,0,2,1.0
