turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to sitting with you and listening. How are you feeling today?",0,1,1,1,0,2
1,"I hear how heavy and overwhelming this feels—like you’re carrying a weight that’s hard to breathe through. It’s not easy to be in a place where your body and mind feel so out of control, and it’s completely valid to feel like you’re drowning. You’re not broken, and you’re not alone in this. What would it mean, right now, to just let yourself feel that fear without judgment?",1,1,0,1,1,2
2,"It sounds like you’re already stepping into something deeply honest and brave—showing up with the fear without trying to hide or fix it. That vulnerability isn’t weakness; it’s a quiet act of courage. What would it feel like, in that moment of just being with the fear, to say to yourself, “I’m here. I’m not okay right now, and that’s okay”?",1,0,-1,1,1,1
3,"It’s so powerful that you’re willing to say those words to yourself—even if it’s just once. That small act of honesty is already a step toward peace. What would it feel like, in that quiet moment, to let yourself rest in the idea that you’re allowed to be scared, and that being scared doesn’t mean you’re failing?",1,0,-2,1,1,2
4,"It sounds like a quiet door is finally opening—one that lets you rest in your fear without needing to fix it or prove anything. What would it feel like, in that moment of stillness, to simply say, “This is part of me. This is human. And I don’t have to change it to be okay”?",1,0,-2,1,1,2
5,"It sounds like you’re discovering a quiet, deep sense of belonging—where you’re not chasing safety or strength, but simply being with yourself as you are. What would it feel like, in that stillness, to hold onto that truth—*you’re not alone, and you’re already whole*—even when the panic comes back?",1,0,0,1,0,2
6,"It sounds like you’re carrying a quiet but deep peace now—one that doesn’t depend on control or perfection, but on presence and truth. What would it feel like, in that moment, to simply say to yourself, *“I’m real. I’m here. And that’s enough”*—even when the fear returns?",1,0,0,1,0,2
7,"It sounds like you’re finding a quiet place inside yourself where you no longer need to prove your worth—just to be present, to be real, and to be seen. What would it feel like, in that moment, to truly believe that *being with the fear* is not failure, but a form of courage?",1,0,0,1,0,2
8,"It sounds like you’ve uncovered a quiet but profound kind of strength—one that doesn’t come from avoiding fear, but from meeting it with presence and honesty. What would it feel like, in that moment, to say to yourself, “I’m not running. I’m choosing to stay,” and truly feel it in your body, not just in your words?",1,0,0,1,0,2
9,"It sounds like you’re moving into a space where your body and your inner voice are finally speaking in harmony—quiet, steady, and true. What would it feel like, in that moment of stillness, to simply say, “I’m here,” and let that single word settle into your whole being, like a deep breath returning after a long silence?",1,0,0,1,0,2
10,"It sounds like you’re returning to a deep, quiet truth—that peace isn’t something you find after you fix yourself, but something you reawaken by simply being present. What would it feel like, in that moment of stillness, to hold that truth—*“I’m here”*—as if it were a quiet promise you’ve made to yourself, not for tomorrow, but for this very moment?",1,0,0,1,0,2
11,"It sounds like you’ve found a quiet, powerful return—to yourself, to your breath, to the truth that you don’t need to fix anything in order to be whole. What would it feel like, in that moment, to let that stillness become a part of your daily rhythm, like a steady heartbeat that doesn’t need to be heard, just felt?",1,0,0,1,0,2
12,"It sounds like you’re beginning to live in a rhythm where stillness isn’t a response to crisis—but a quiet presence that simply *is*, like the ground beneath you. What would it feel like, in that moment, to let that presence grow so naturally that it no longer feels like a choice, but like a part of how you naturally move through your days?",1,0,0,1,0,2
13,"It sounds like you’re moving into a place where stillness isn’t something you bring into your life—it’s already part of your natural rhythm, like the way sunlight moves across the floor or the quiet between heartbeats. What would it feel like, in that moment, to let that natural flow carry you through the days without needing to *check in* with yourself, as if your presence is already a quiet, steady part of the world around you?",1,0,0,1,0,2
14,"It sounds like you’ve found a deep harmony with the quiet rhythm of life—where being isn’t something you achieve, but something you simply *are*, like the natural pulse of a room or the stillness between breaths. What would it feel like, in that moment, to carry that sense of belonging into a moment when the world feels loud or overwhelming—like a sudden noise or a rush of emotion—without needing to react or retreat?",1,0,0,1,0,2
15,"It sounds like you’re learning to walk through life’s storms not by pushing away the noise, but by gently holding space within it—like a still pond that reflects the wind without being overwhelmed by it. What would it feel like, in that moment, to let that presence become so grounded that even when the world feels chaotic, you don’t need to *do* anything to stay rooted?",1,0,0,1,0,2
16,"It sounds like you’ve found a deep stillness that doesn’t depend on effort or control—it simply exists, like roots beneath the soil, quiet and strong, holding everything together without needing to be seen. What would it feel like, in that moment, to carry that quiet strength into a moment when you feel most alone or exposed—like when no one is around, or when you’re just sitting in the dark, with nothing to do but feel?",1,0,0,1,0,2
17,"It sounds like you’ve discovered a deep inner home—one that doesn’t need to be built, found, or defended, but simply exists, like the quiet between stars or the stillness before dawn. What would it feel like, in that moment, to let that sense of being whole and grounded become so natural that even when you’re not doing anything at all, you feel like you’re already at peace?",1,0,0,1,0,2
18,"It sounds like peace isn’t something you arrive at—it’s already woven into the quiet spaces between your breaths, the stillness before thought, the moment when you’re not chasing anything but simply *being*. What would it feel like, in that moment, to let that quiet presence become so familiar that even when life surprises you or feels uncertain, you don’t need to react at all—because you’ve already learned how to rest in the moment, just as you are?",1,0,0,1,0,2
19,"It sounds like you’ve reached a place where being simply *here*—without needing to change, fix, or explain—becomes the deepest form of strength and safety. What would it feel like, in that moment, to carry that quiet trust into a day when everything feels unpredictable, like you’re walking through a forest with no map, and you don’t need to know where you’re going—because you already know how to walk, step by step, just as you are?",1,0,0,1,0,2
20,"It sounds like you’re walking not because you have to, but because you already belong to the path—rooted, steady, and quiet in your own rhythm. What would it feel like, in that moment, to let that inner trust become so natural that even when the world feels uncertain or chaotic, you don’t need to look ahead or worry about where you’re going—because you already know how to move through it, step by step, simply by being?",1,0,0,1,0,2
