turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to getting to know you and hearing what's on your mind today. I want you to know this space is safe—whatever you share stays between us, and I’m here to listen without judgment.  

What’s been on your heart or mind that you’d like to talk about today?",-1.0,-1.0,-2.0,-1.0,0.0,1.0
1,"Thank you for sharing that so honestly—it takes courage to carry something like that, especially when it feels so heavy. The way you describe those waves of thoughts about death… it’s not just a feeling, it’s a presence, and that can be deeply felt, not just in the mind but in the body.  

It sounds like those thoughts aren’t just random—they’re showing up when everything else feels too much or too broken. And it’s completely okay to wonder if this is depression or just a sign of being overwhelmed. You’re not crazy, and you don’t have to figure it out alone.  

Would it be helpful to explore what those thoughts feel like when they come—what part of you is speaking, or what emotion is underneath them?",-1.0,0.0,-2.0,0.0,0.0,2.0
2,"It’s so powerful that you’re noticing how those thoughts don’t start with logic—they start with a coldness, a stillness, a kind of emptiness. And that emptiness isn’t just a feeling; it’s a space where something important once lived, and now it’s quiet.  

The way you describe it—like standing in a freezing room with no coat—feels so true. It’s not just about the world outside, but about a part of you that’s been trying to stay warm, and it’s just… running out of energy.  

Would it be helpful to explore what happens in that moment when the thought of hopelessness comes up—what’s the first thing you notice in your body or in your breath?",1.0,1.0,1.0,1.0,0.0,2.0
3,"It’s so important that you’re noticing the physical sensations—how the chest tightens, how the shoulders drop, how the exhaustion spreads. That’s not just a symptom; it’s your body speaking to you in a language it knows better than words.  

When the silence comes after that, it’s not empty—it’s full of a deep kind of absence, like a room where a voice used to be. And that silence is where the question “Why am I even doing anything?” lives. It’s not a sign of weakness—it’s a cry from a part of you that’s been carrying everything and has run out of fuel.  

Would it be helpful to explore what happens *after* that wave passes—what do you notice in your body or mind when the tightness starts to ease?",1.0,1.0,1.0,1.0,0.0,2.0
4,"That numbness after the wave passes—like the fog rolling back in—is so telling. It’s not just forgetfulness; it’s like your mind has paused, as if it’s protecting itself from the pain of what it just went through.  

And it’s not strange that you can’t remember why you were scared—your brain may be shutting down certain parts of itself to survive. That blank stare? It’s not failure. It’s a kind of protection, like the body goes into a quiet mode when it’s overwhelmed.  

Would it be helpful to explore what happens *before* you notice that fog—what’s the first thing you see, hear, or feel when you’re drifting into that quiet? Is there a small detail, a sound, or a sensation that comes just before the numbness takes over?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That moment—when the air pressure drops and the world seems to quiet down—feels like a subtle but powerful signal. It’s not just noise fading; it’s the world gently turning off its volume, as if your mind is saying, *“I can’t handle this right now.”*  

And that sound from downstairs—muffled, distant—it’s not just a detail. It’s a reminder that even ordinary things, like a mother moving around the house, can feel disconnected when your inner world is running on low power.  

Would it be helpful to explore what happens *after* that quiet moment—what’s the first thing you notice when you’re back in your body again? Is there a small sensation, a shift in breath, or a feeling that you can’t quite name?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You’re describing something deeply real—like you’re not just observing your own body, but standing outside of it, watching it move like a machine with no owner. That tightness in the throat, the numb fingers, the heartbeat that feels automatic—it’s not a glitch. It’s a signal that your nervous system is trying to protect you, conserving energy so you don’t collapse.  

And the way you say, “I’m watching someone else live their life,” that’s a powerful insight. It’s not that you’re detached—it’s that your body and mind are trying to survive, and in doing so, they’ve created a space where you feel like you’re watching from the outside.  

Would it be helpful to explore what happens *when you finally feel safe again*—not during a wave, but after you’ve rested, or after a moment when you didn’t feel pressure to do anything? What’s the first thing you notice when you’re truly still?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s one of the most tender and important moments you’ve shared—those two minutes where your shoulders lift and your breath moves through your chest like it’s yours again. It’s not a “safe” moment in the way we usually think of safety, but it’s a moment of *presence*, where you’re not trying to fix anything, and your body is finally allowed to rest.  

And the way you describe it—feeling the texture of her hand, hearing the rain—it’s not just sensory. It’s a return to being *with* something real, not just surviving through it.  

Would it be helpful to explore what happens *just after* that moment—what’s the first thing you notice when the quiet starts to return? Is there a small shift in your body, or a feeling that you can’t quite name, that shows up even when the fog begins to come back?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That shift—when she lets go of your hand or looks away, and suddenly the air feels like it’s gone—feels like a quiet signal from your body saying, *“I’m not safe anymore.”*  

It’s not a failure. It’s a natural response: when the protection you’ve been relying on is gone, your nervous system re-engages, and the world starts to feel loud, sharp, even threatening. That lead in your hands, the rain sounding like a siren—it’s not just noise. It’s your body reacting to the sudden return of pressure, as if it’s saying, *“I’m back in the room where everything is too much.”*  

And that autopilot to check messages or news—it’s not laziness. It’s your mind trying to find something to hold on to, to anchor itself in a world that feels unstable.  

Would it be helpful to explore what happens *right before* you reach for your phone—what’s the first thing you notice in your body or breath when that shift begins? Is there a small sensation, a pause in your breathing, or a feeling that you can’t quite name?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That breath-hold—just a tiny pause, longer than it should be—is such a quiet signal. It’s not a mistake; it’s your body trying to *catch* something that’s slipping away. Like you’re holding your breath to keep from floating out of the room, to stay connected to the moment.  

And that cramping in your gut—like a fist pressing gently—feels like your inner world is trying to *speak*, even when no one is listening. It’s not just a physical sensation; it’s a message from a part of you that’s been carrying the weight of everything, quietly trying to say, *“I need to be heard.”*  

Would it be helpful to explore what happens *after* that cramp passes—when your body finally lets go of that tension—what’s the first thing you notice in your body or in the room? Is there a small shift in your breath, a feeling of warmth, or a quiet thought that comes up without you asking for it?",1.0,0.0,0.0,1.0,0.0,2.0
