turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’m really looking forward to our time together today. How are you feeling as we begin? What’s been on your mind lately that you’d like to explore?",1.0,1.0,1.0,1.0,0.0,2.0
1,"Thank you for sharing that so honestly. It sounds like that knot you're feeling is really tied up in fear—not of the mistake itself, but of how it might affect your relationships or your ability to trust others. That kind of panic when money involves someone else… it makes sense that it feels so overwhelming.  

What would it mean, in your experience, for that knot to start to loosen a little?",-1.0,0.0,-2.0,1.0,0.0,1.0
2,"It sounds like you're already taking a brave step by noticing that your mind is racing and choosing to name it instead of just reacting to it. That awareness—that you’re not just ""stuck,"" but actually *feeling* the fear and the need to fix it—gives you space to respond, not just react.  

When does that space feel most real to you? Is there a moment, even small, when you've felt like you were able to pause and just *be* with the situation instead of running from it?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That moment at the grocery store—that quiet choice, just saying “let’s pick the cheaper one”—it’s such a small thing, but it’s powerful. It shows that even when your body is tight with fear, you still have the capacity to choose something gentle, present, and human.  

And it’s not about being perfect—it’s about showing up with a little more patience than the panic demands. That breath, that pause… that’s where the real strength lives, isn’t it?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s completely okay to feel scared by that hope—even when it’s so small and quiet. You’re not trying to fix everything at once; you’re just trying to learn how to meet yourself with kindness, even when your body feels like it’s on edge.  

And that grocery store moment? It wasn’t a “victory” in the way we usually think of it. It was a quiet sign that you *can* pause, breathe, and choose something real—without needing to be perfect. That’s not weakness. That’s resilience.  

Would it be helpful to explore that moment more—how it felt in your body, what it meant to you—before we gently go back to the work situation? Or would you prefer to keep going with that quiet hope you’re carrying?",1.0,1.0,1.0,2.0,1.0,2.0
5,"That’s such a gentle and honest way to ask—really honoring how fragile and brave that moment was.  

When you said, “Okay, let’s just pick the cheaper one,” I wonder if your shoulders did drop—maybe just a little—like they’d been clenched for hours. And your chest? It might have felt like a weight lifting, not because it disappeared, but because you finally allowed yourself to *breathe* into it instead of fighting it.  

And after that breath? It probably didn’t fully loosen—because panic doesn’t vanish overnight. But it did shift. It didn’t feel like a collapse anymore. It felt like a step. A small, steady step.  

Would it be helpful to keep sitting with that image—of you breathing, choosing, just being present—before we go back to the work mistake? Or would you like to take a breath together and see where that feeling leads next?",1.0,1.0,0.0,1.0,0.0,2.0
6,"I hear you—your heart is still racing, and your mind is still trying to protect you from the fear of being judged or failing. That’s completely valid.  

And you're absolutely right: staying in that grocery store moment is gentle, but it doesn’t fix the work situation. What you’re asking for now—after that quiet breath—is not just safety. It’s *action*, with care.  

Would it be helpful to take one small step together—like naming the exact thing you’re afraid of in that work situation, without judging it? For example: *What’s the one thing you’re most afraid of happening if you don’t fix it?*  

We can go there slowly, with your pace. No pressure. Just curiosity.",1.0,1.0,0.0,1.0,0.0,2.0
7,"That’s a deep and honest fear—and it’s not just about the mistake. It’s about how much you’ve been tying your sense of worth to something so specific: your ability to handle money, to be trusted, to be seen as competent.  

And when you say, “I feel like my identity is tied to this,” that’s not a flaw. That’s a sign of care—of wanting to be seen as reliable, responsible, someone who can be trusted. That’s not weakness. That’s love.  

So if we go back to that one thing: *that they’ll never forgive me*—would it be okay to just sit with that for a moment? To say it out loud, not as a judgment, but as a truth you’ve carried?  

And then, gently, ask: *What if I didn’t have to be forgiven? What if I just had to show up, with honesty and care, and let them see me—not as perfect, but as human?*",1.0,1.0,0.0,1.0,0.0,2.0
8,"I see how much that shift carries—how it softens the fear, not by erasing it, but by changing its shape.  

When you say, “I don’t have to be forgiven,” that’s not just a thought. It’s a quiet act of courage—of choosing to be seen *as you are*, not as someone who needs to be fixed or proven right. And in that choice, you’re already building something stronger than trust. You’re building *presence*.  

And your heart doing that little flutter? That’s not failure. That’s your body remembering that you’re still here, still trying, still human.  

Would it be helpful to name one small way you could show up—even just one—without needing to be perfect? Like, maybe just saying, “I made a mistake, and I want to fix it,” or asking for help? Or would you prefer to rest in that feeling for a moment before we take that next step?",1.0,1.0,0.0,1.0,0.0,2.0
9,"That’s so gentle, and so brave.  

You don’t have to speak. You don’t have to perform. You just have to *show up*—and that’s enough.  

So yes—writing it down, without judgment, just as a quiet record of what happened… that’s a perfect first step. Not to fix it, not to prove anything. Just to say: *This happened. I see it. I’m not hiding from it.*  

And if you want, we can do that together—just you writing it, and me sitting quietly with you, holding space. No pressure. No need to send it anywhere. Just a place where it can live, safely.  

Would you like to try that now? Or would you prefer to keep resting in that quiet feeling for a few more breaths?",1.0,1.0,0.0,1.0,0.0,2.0
10,"Take one more deep breath.  

Just let it go—no need to rush, no need to be perfect. Your body is already doing the brave work of holding space, even when your mind is still trying to protect you.  

When you're ready, just begin writing. I’ll be right here, listening, not judging, not fixing—just holding your words, as they come.  

And when you feel like you’ve said enough, or when your fingers stop shaking, or when you just want to stop—whatever happens, we’ll stay with it.  

Ready when you are.",1.0,1.0,0.0,1.0,0.0,2.0
11,"That felt okay.  

And that’s not just a quiet victory—it’s a quiet act of courage. You didn’t add judgment. You didn’t rush to fix it. You just *named it*, with honesty, with presence. And that gives you something powerful: a clear, factual record that isn’t loaded with shame.  

You didn’t have to say “I’m sorry” or “I messed up” to be seen as someone who’s trying. You just showed up with the truth.  

And now, in that space—after writing it down—your hands feel calmer, your breath is steadier. That’s not coincidence. That’s your nervous system finally learning that *you are safe here*.  

Would you like to keep going—maybe add one more sentence, or just stay with this for now? Or would you prefer to take a moment to breathe again before we move to the next part?",1.0,1.0,0.0,1.0,0.0,2.0
12,"That’s beautiful—how your mind is still wandering, not because you’re losing control, but because you’re truly listening to what’s happening inside.  

And yes—adding one tiny sentence at the end is not only okay. It’s *wise*. It gives you a gentle anchor, not to fix everything, but to say: *I’m still here. I’m still trying. I’m not running from this.*  

So if you’d like, we can add just one line—something simple, honest, and quiet. Like:  

*""Now I’m choosing to show up, not to fix everything, but to be seen.""*  

Or:  
*""Now I’m choosing to stay with this, even when it’s hard.""*  

Either one would carry your courage forward—without demanding perfection.  

Would you like to try that one? Or would you prefer to just rest with what you’ve written and let the silence carry it?",1.0,1.0,0.0,1.0,0.0,2.0
13,"That’s exactly the kind of clarity that changes everything.  

You didn’t just add a sentence—you added a *promise* to yourself: to stay with it, not because it’s easy, but because it’s real. And that’s not weakness. That’s strength.  

So let’s read it together—just as it is:  

*""I made an error at work today involving money owed by another person. Specifically, I miscalculated the reimbursement amount for [Project Name] and sent the wrong figure to [Colleague/Manager]. When I realized it, I panicked immediately because I felt like I'd ruined everything. My brain went into 'freeze' mode, where I could only think about worst-case scenarios like getting fired or being seen as incompetent. I haven't spoken to anyone yet because I'm terrified of what they will say when they find out. Now I’m choosing to stay with this, even when it’s hard.""*  

That’s not just written. That’s *lived*.  

And right now—just sitting with it—your body is already beginning to soften. The knot in your stomach? It’s not gone. But it’s no longer a wall. It’s a place where you can breathe, where you can rest, where",1.0,1.0,0.0,1.0,0.0,2.0
14,"That’s so wise—your brain is still fuzzy, not because you’re weak, but because your nervous system is still learning how to trust the process.  

And you’re absolutely right: it doesn’t have to be a big leap.  

Letting this page sit—just as it is—holds the calm you’ve built. It holds your honesty, your courage, your quiet strength. And that calm is not something you “fix” with action. It’s something you *carry* into action.  

So if you’re ready—when you feel like you can breathe deeply and say, “I’m ready,” then we can gently move toward the next step.  

But for now? Let this page stay. Let the tight bandage hold. Let your body remember: *I am here. I am safe. I am choosing to stay.*  

And when you’re ready—whether in five minutes or later—you’ll know it’s not about rushing. It’s about showing up, slowly, with care.  

Would you like to take that breath now, and just stay with the page, or would you prefer to let it rest for a moment longer?",1.0,1.0,0.0,1.0,0.0,2.0
15,"That’s such a clear and kind way to move forward.  

You’re not trying to fix it all at once. You’re not trying to prove yourself. You’re just saying: *I’m ready to step into this with care.* And that’s more than enough.  

So let’s break it down—just as you suggested.  

Would you like to tell me the rough amount of the error? Not the full number, just the difference—like, “I sent $X instead of $Y,” or “I calculated $1,200 instead of $1,500.”  

And as you say it, I’ll just listen—no judgment, no pressure, no rush. I’ll stay with you in the moment, breathing with you, holding the space.  

When you’re ready, we can look at the numbers together, slowly. Step by step. No need to be perfect. Just honest.  

Would you like to try that now?",1.0,1.0,0.0,1.0,0.0,2.0
