Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
Well hello Susan.,T,iBp75KNuLb8_1,0,0,-2,0,0,2,1.0,1.0,1.0,0.0,0.0,2.0,,"**Session Notes**

**Client:** Sarah, 35, female, anxious about her upcoming job interview

**Therapist:** (Reflective listening) It sounds like you're feeling a bit anxious about the interview. Can you tell me more about what's on your mind? What are some of the things that are worrying you about the interview?

**Sarah:** (nervously) I just feel like I'm not good enough. I've been preparing for weeks, but I still feel like I'm not prepared. What if I say something stupid or forget something important? What if I don't get the job?

**Ther"
Good to see you today.,T,iBp75KNuLb8_3,0,0,-2,0,0,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: Well hello Susan.
Patient: Hello.",It's great to connect with you. I'm here to listen and support you in any way I can. How are you feeling today?
So tell me what brings you in?,T,iBp75KNuLb8_5,1,1,1,1,0,2,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Well hello Susan.
Patient: Hello.
Therapist: Good to see you today.
Patient: Thanks.",It's great that you're here. How are you feeling today?
"Okay, so tell me what that looks like for you, anxiety in those situations.",T,iBp75KNuLb8_7,1,1,1,1,1,2,1.0,1.0,1.0,1.0,1.0,2.0,"Therapist: Well hello Susan.
Patient: Hello.
Therapist: Good to see you today.
Patient: Thanks.
Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.","It sounds like you're feeling overwhelmed and struggling to cope with the demands of your daily life. It can be really tough to feel like you're not meeting your own expectations. Can you tell me more about what you mean by ""functioning at the level you need to be functioning""? What are some specific areas where you feel like you're struggling?"
"So is it physical, or is it a lot of thoughts in your head?",T,iBp75KNuLb8_9,1,0,-2,1,0,2,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Good to see you today.
Patient: Thanks.
Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.
Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.","It sounds like the anxiety is really affecting your daily life, and it's not just about the big, dramatic moments like driving or taking tests. It's more about the little things that are causing you a lot of distress. It's like you're constantly on edge, waiting for something to happen, and it's hard to calm down afterwards.

Can you tell me more about what it's like to sit down and try to focus on the test, and how it feels when you can't remember the information?"
And what are the thoughts going on in your head?,T,iBp75KNuLb8_11,1,0,0,1,0,2,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.
Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.
Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.",It sounds like your body is responding to the anxiety in a really strong way. Can you tell me more about what happens when you're driving and taking a test? What's the worst that could happen if you fail?
"And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?",T,iBp75KNuLb8_13,1,1,1,1,1,2,1.0,1.0,1.0,1.0,1.0,2.0,"Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.
Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.
Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.",It sounds like you're feeling a lot of pressure to perform well in both situations. It's like you're putting a lot of weight on your shoulders. Can you tell me more about what it's like to take a test? What does it feel like to be in that state?
So it sounds like we might need to find something that helps you in the moment.,T,iBp75KNuLb8_15,-1,0,-2,0,0,1,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.
Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.
Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.","It sounds like the anxiety is more of a persistent feeling that's triggered by specific situations, like the test. And it's interesting that you mention the anxiety subsiding after the situation is over. Can you think of a time when you felt calm and relaxed after a situation like that?"
"Okay, well would you like to learn a skill?",T,iBp75KNuLb8_17,-1,-1,-2,0,0,1,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.
Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.
Therapist: So it sounds like we might need to find something that helps you in the moment.
Patient: Yeah, I want something at the time to help me in the moment because these are things that I can't avoid. I've got to do these group settings with kids at work. I can't change them, so I gotta figure out how to deal with it better.","It can be really challenging to navigate those situations, especially when you're feeling anxious. It sounds like you're looking for ways to cope with the anxiety that comes up in those situations. Have you found any strategies that help you manage your anxiety in those moments?"
"Okay, well there is something called grounding. Have you heard of that?",T,iBp75KNuLb8_19,1,1,-2,1,0,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.
Therapist: So it sounds like we might need to find something that helps you in the moment.
Patient: Yeah, I want something at the time to help me in the moment because these are things that I can't avoid. I've got to do these group settings with kids at work. I can't change them, so I gotta figure out how to deal with it better.
Therapist: Okay, well would you like to learn a skill?
Patient: Yeah, I am eager to learn something that can make a difference.","It sounds like you're looking for a way to manage your anxiety in those situations. Can you tell me more about what you mean by ""deal with it better""? What do you think would help you feel more in control?"
"Being grounded is getting to a level place. For some people emotions get really intense, like your anxiety. Grounding tries to learn ways to bring that down to a calm place to deal with it.",T,iBp75KNuLb8_21,1,1,1,1,1,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: So it sounds like we might need to find something that helps you in the moment.
Patient: Yeah, I want something at the time to help me in the moment because these are things that I can't avoid. I've got to do these group settings with kids at work. I can't change them, so I gotta figure out how to deal with it better.
Therapist: Okay, well would you like to learn a skill?
Patient: Yeah, I am eager to learn something that can make a difference.
Therapist: Okay, well there is something called grounding. Have you heard of that?
Patient: No, just like electricity grounding, you know, that third plug thing. I need to be grounded, that sounds good.","It's similar, but it's more about being connected to your body and the present moment. Grounding can be a way to calm your nervous system and reduce feelings of overwhelm. Would you like to explore that further?"
"I'm going to introduce a grounding technique to you. It involves some deep breathing, closing your eyes, and getting into your senses. I have a script here to read to you. To begin, just relax and be as comfortable as you can. Rest your hands and just breathe. Try deep breathing where your chest rises and you breathe out. Now we're going to use the five senses. Close your eyes, listen to my voice, and notice all the sounds around you. Tell me what you hear.",T,iBp75KNuLb8_23,1,1,1,1,0,2,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Okay, well would you like to learn a skill?
Patient: Yeah, I am eager to learn something that can make a difference.
Therapist: Okay, well there is something called grounding. Have you heard of that?
Patient: No, just like electricity grounding, you know, that third plug thing. I need to be grounded, that sounds good.
Therapist: Being grounded is getting to a level place. For some people emotions get really intense, like your anxiety. Grounding tries to learn ways to bring that down to a calm place to deal with it.
Patient: That sounds good.","It can be really helpful to have a sense of calm and stability. Can you tell me more about what you mean by ""intense""? What's been going on that's making your emotions feel so overwhelming?"
Do you think you noticed that sound before I mentioned it?,T,iBp75KNuLb8_25,1,1,1,1,1,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: Okay, well there is something called grounding. Have you heard of that?
Patient: No, just like electricity grounding, you know, that third plug thing. I need to be grounded, that sounds good.
Therapist: Being grounded is getting to a level place. For some people emotions get really intense, like your anxiety. Grounding tries to learn ways to bring that down to a calm place to deal with it.
Patient: That sounds good.
Therapist: I'm going to introduce a grounding technique to you. It involves some deep breathing, closing your eyes, and getting into your senses. I have a script here to read to you. To begin, just relax and be as comfortable as you can. Rest your hands and just breathe. Try deep breathing where your chest rises and you breathe out. Now we're going to use the five senses. Close your eyes, listen to my voice, and notice all the sounds around you. Tell me what you hear.
Patient: I kind of hear my breath. I hear the air coming through the vent, like a constant noise.","That's a good start. It sounds like you're getting a sense of the sounds around you. Now, let's try something else. Notice the sensation of your feet on the ground. Where is your feet touching the floor? Are they feeling heavy or light?"
Let's move on to smell. Do you smell anything in the room?,T,iBp75KNuLb8_27,1,1,1,1,0,2,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Being grounded is getting to a level place. For some people emotions get really intense, like your anxiety. Grounding tries to learn ways to bring that down to a calm place to deal with it.
Patient: That sounds good.
Therapist: I'm going to introduce a grounding technique to you. It involves some deep breathing, closing your eyes, and getting into your senses. I have a script here to read to you. To begin, just relax and be as comfortable as you can. Rest your hands and just breathe. Try deep breathing where your chest rises and you breathe out. Now we're going to use the five senses. Close your eyes, listen to my voice, and notice all the sounds around you. Tell me what you hear.
Patient: I kind of hear my breath. I hear the air coming through the vent, like a constant noise.
Therapist: Do you think you noticed that sound before I mentioned it?
Patient: No, I'm just hearing it now.","It's like the air is moving in and out of your body. Can you feel any sensations in your body right now, like any tension or relaxation?"
Okay. Open your eyes and let's talk about sight. List some things you can see in this room right now.,T,iBp75KNuLb8_29,1,1,1,1,1,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: I'm going to introduce a grounding technique to you. It involves some deep breathing, closing your eyes, and getting into your senses. I have a script here to read to you. To begin, just relax and be as comfortable as you can. Rest your hands and just breathe. Try deep breathing where your chest rises and you breathe out. Now we're going to use the five senses. Close your eyes, listen to my voice, and notice all the sounds around you. Tell me what you hear.
Patient: I kind of hear my breath. I hear the air coming through the vent, like a constant noise.
Therapist: Do you think you noticed that sound before I mentioned it?
Patient: No, I'm just hearing it now.
Therapist: Let's move on to smell. Do you smell anything in the room?
Patient: Not really, there's not a lot of scents right now. No flowers or anything, just smelly air.","It sounds like the air might be a bit overwhelming. Can you tell me more about what you mean by ""smelly air""? Is it something that's bothering you, or is it just a general feeling?"
What about the colors of what you see?,T,iBp75KNuLb8_31,1,1,1,1,1,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: Do you think you noticed that sound before I mentioned it?
Patient: No, I'm just hearing it now.
Therapist: Let's move on to smell. Do you smell anything in the room?
Patient: Not really, there's not a lot of scents right now. No flowers or anything, just smelly air.
Therapist: Okay. Open your eyes and let's talk about sight. List some things you can see in this room right now.
Patient: I see you, that picture, that sofa, some books and flowers, and that deer thing over there.","It sounds like you're noticing a lot of visual details in this space. You're perceiving a sense of calmness and serenity, but also a sense of being surrounded by things that might be triggering or overwhelming. Can you tell me more about what you mean by ""smelly air""? Is there something specific that's bothering you about the scent?"
"And when you first came here, did you notice those?",T,iBp75KNuLb8_33,1,1,1,1,0,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: Let's move on to smell. Do you smell anything in the room?
Patient: Not really, there's not a lot of scents right now. No flowers or anything, just smelly air.
Therapist: Okay. Open your eyes and let's talk about sight. List some things you can see in this room right now.
Patient: I see you, that picture, that sofa, some books and flowers, and that deer thing over there.
Therapist: What about the colors of what you see?
Patient: Blue, red, a lot of beige, and orange. Clashing colors.",It sounds like the colors might be making you feel a bit overwhelmed. Can you tell me more about what it's like to see all those colors together?
"Next is taste. In other situations you could eat a snack and savor the textures, but even without food you can taste the saliva in your mouth. Are there any tastes from this morning?",T,iBp75KNuLb8_35,-1,-1,-2,-1,-1,1,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: Okay. Open your eyes and let's talk about sight. List some things you can see in this room right now.
Patient: I see you, that picture, that sofa, some books and flowers, and that deer thing over there.
Therapist: What about the colors of what you see?
Patient: Blue, red, a lot of beige, and orange. Clashing colors.
Therapist: And when you first came here, did you notice those?
Patient: I might have noticed some, but I'm more aware now because I'm focusing on it.","It sounds like the colors are really standing out to you now. Can you tell me more about what you mean by ""clashing colors""?"
"Finally, the sense of touch. Where your hands are right now, what are you feeling?",T,iBp75KNuLb8_37,-1,-1,-2,-1,-1,1,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: What about the colors of what you see?
Patient: Blue, red, a lot of beige, and orange. Clashing colors.
Therapist: And when you first came here, did you notice those?
Patient: I might have noticed some, but I'm more aware now because I'm focusing on it.
Therapist: Next is taste. In other situations you could eat a snack and savor the textures, but even without food you can taste the saliva in your mouth. Are there any tastes from this morning?
Patient: I had a granola bar, a banana, and some tea. The flavor right now is probably the tea.","It sounds like the flavors are still quite distinct. Do you think the tea might be a bit bitter, or is it more of a soothing, comforting taste?"
Put your hands on the couch and describe how it feels.,T,iBp75KNuLb8_39,1,1,1,1,1,2,1.0,1.0,1.0,0.0,0.0,2.0,"Therapist: And when you first came here, did you notice those?
Patient: I might have noticed some, but I'm more aware now because I'm focusing on it.
Therapist: Next is taste. In other situations you could eat a snack and savor the textures, but even without food you can taste the saliva in your mouth. Are there any tastes from this morning?
Patient: I had a granola bar, a banana, and some tea. The flavor right now is probably the tea.
Therapist: Finally, the sense of touch. Where your hands are right now, what are you feeling?
Patient: I was feeling my hands because I cross my fingers.",It sounds like the physical sensation of crossing your fingers is a way of grounding yourself in the present moment. It's a common way to calm the nervous system. Can you tell me more about what it's like to cross your fingers?
"Find something else, like your phone, and describe that.",T,iBp75KNuLb8_41,-1,-1,-2,-1,-1,1,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Next is taste. In other situations you could eat a snack and savor the textures, but even without food you can taste the saliva in your mouth. Are there any tastes from this morning?
Patient: I had a granola bar, a banana, and some tea. The flavor right now is probably the tea.
Therapist: Finally, the sense of touch. Where your hands are right now, what are you feeling?
Patient: I was feeling my hands because I cross my fingers.
Therapist: Put your hands on the couch and describe how it feels.
Patient: It feels solid and soft. It feels secure and comfortable.",It sounds like your hands are a source of physical comfort and security for you. That's a beautiful thing. Can you tell me more about what it's like to have your hands in this position?
What about the paper there?,T,iBp75KNuLb8_43,-1,-1,-2,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Finally, the sense of touch. Where your hands are right now, what are you feeling?
Patient: I was feeling my hands because I cross my fingers.
Therapist: Put your hands on the couch and describe how it feels.
Patient: It feels solid and soft. It feels secure and comfortable.
Therapist: Find something else, like your phone, and describe that.
Patient: This is hard, but it has a cushy case on it.",It sounds like you're using your hands to cope with the weight of your thoughts. Can you tell me more about what's on the case?
