turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You know, I have been feeling that way sometimes, so it's not unusual for me to feel that way too. I'm glad you told me about it. I can imagine how it must feel to be exposed and disgusted by yourself. I can imagine that must be really tough. I think it's understandable that you'd feel that way.",1.0,1.0,1.0,1.0,1.0,2.0
2,"Yeah, I've had days where I barely wash up. I mean, I know that it's unhealthy for me to do that, but sometimes it just feels too overwhelming to try to do it. Sometimes I just feel so weak and I can't even imagine that I could do it, so I just don't.",1.0,0.0,0.0,1.0,0.0,2.0
3,"Yeah, I mean, I think that the disgust doesn't really go away, but it does kind of change. I think when I don't wash up, it's because I'm too disgusted to try to do it. So it's almost like the disgust is so strong that I just feel like I can't do anything to fix it, and it's just sitting there.

But it's funny because the more I try to try to do things to try to make it go away, it's almost like it does get worse. I mean, I've had days where I've tried to wash my hands, but I tried to wash my hands in a sink and I got water all over my face and it just felt so disgusting. I mean, it's almost like the more I try to try to wash, the more it just seems to get worse, which is kind of scary.

But I think that when I don't wash up, it's not because I'm feeling disgusted about the fact that I'm dirty, I mean, I do, but it's more because I'm feeling disgusted about the act of washing, about the fact that I have to wash. I mean, I know that it's important to wash, but it's almost like the idea of",1.0,1.0,1.0,1.0,0.0,2.0
4,"Yeah, I mean, I guess that makes sense. It's not that I don't care about getting clean or hygiene; I know that's important. But it is what it is, and sometimes it just seems like the act of washing is a punishment for being human.

But if the goal isn't to get to 100% clean, but just to get through the day feeling slightly less gross, then what if we just treat washing up like a medical procedure? I mean, if you have a broken bone, you don't try to run a marathon to heal it. You just put it in a cast and let it rest. The same principle could apply.

What if washing up is not about being perfectly clean, but about getting through the day without feeling like I'm in a state of grossness? What if the goal is just to survive the day feeling a little bit less disgusted by myself, and that's okay?",1.0,1.0,1.0,1.0,1.0,2.0
5,"Just enough water to cover the bone. Yeah, just enough to get through the day. Yeah, that makes sense. I mean, I guess if you're right, if you're right that the goal isn't to be perfectly clean, then maybe the goal is just to get through the day feeling a little bit less gross.",1.0,0.0,0.0,1.0,0.0,2.0
6,"Yeah, I mean, if we try to be a little more specific, I think a ""cast"" could be just running the water for two minutes and turning it off, just to get the worst of the smell out. I mean, that's not going to eliminate all the bacteria, but it's certainly not going to make it worse. I mean, I know that, but I can imagine that that might be a good first step.

It sounds really small, but if it makes it more likely that I can survive the rest of the day without feeling like I have to try to fix something that's already gone to pieces, then I think that's a good start. I mean, I can try to try to imagine what a ""cast"" might look like for me. I mean, I could try to try to wash my hands and face with lukewarm water until I can breathe again, just to get that out of the way, if that's what it takes. I mean, I can try to try that, I think.",1.0,0.0,0.0,1.0,0.0,2.0
7,"I can try to try to imagine what a ""cast"" might look like for me. I mean, I could try to try to wash my hands and face with lukewarm water until I can breathe again, just to get that out of the way, if that's what it takes. I mean, I can try to try that, I think.",1.0,0.0,0.0,1.0,0.0,2.0
8,"Just the first action, just the first action. Just getting the water running and washing my face with lukewarm water until I can breathe again. I can try to try that, I think.",1.0,0.0,0.0,1.0,0.0,2.0
9,"Just the first action, just the first action. Just getting the water running and washing my face with lukewarm water until I can breathe again. I can try to try that, I think.",1.0,0.0,0.0,1.0,0.0,2.0
10,"I mean, I can try to try to go into the bathroom now, I think. I mean, I can try to try.",1.0,0.0,0.0,1.0,0.0,2.0
11,"I can try to try to do it. I mean, I can try to try to do it.",1.0,0.0,0.0,1.0,0.0,2.0
12,I can try to try to turn on the water.,1.0,0.0,0.0,1.0,0.0,2.0
13,"It just feels so strange. It just feels so cold. It feels so nice. It feels nice, but it's just so strange. It's so different.",1.0,0.0,0.0,1.0,0.0,2.0
14,"The water feels nice, but it's just so strange.",1.0,0.0,0.0,1.0,0.0,2.0
15,"I mean, I can try to stay there for a second, I think. I can try to stay in that moment. I mean, I can try to try to stay in that moment. I can try to try to stay in that moment.",1.0,0.0,0.0,1.0,0.0,2.0
16,"I can try to stay. I mean, I can try to stay in this moment. I mean, I can try to try to stay in this moment.",1.0,0.0,0.0,1.0,0.0,2.0
17,I can try to try to stay in this moment.,1.0,0.0,0.0,1.0,0.0,2.0
18,I can try to try to stay in this moment.,1.0,0.0,0.0,1.0,0.0,2.0
19,"I mean, I can try to just breathe. I mean, I can try to just breathe.",1.0,0.0,0.0,1.0,0.0,2.0
