turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
2,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
3,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
4,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
5,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
6,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
7,It's not been a good week?,1.0,1.0,1.0,0.0,0.0,2.0
8,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
9,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
10,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
11,"Well, I'm glad to hear that you're doing well. I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
12,How have things been?,1.0,1.0,1.0,0.0,0.0,2.0
13,It's not been a good week.,1.0,1.0,1.0,0.0,0.0,2.0
14,It's not been a good week.,1.0,1.0,1.0,0.0,0.0,2.0
15,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
16,It's not been a good week.,1.0,1.0,1.0,0.0,0.0,2.0
17,It's not been a good week.,1.0,1.0,1.0,0.0,0.0,2.0
18,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
19,"Well, that's been really tough. I'm sorry to hear about the breakup. How has that been?",1.0,1.0,1.0,0.0,0.0,2.0
20,"Well, that's been really tough. I'm sorry to hear about the breakup. How has that been?",1.0,1.0,1.0,0.0,0.0,2.0
