turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I really appreciate you taking the time to meet with me today. I'm here to listen with care and curiosity—no judgments, just a safe space for whatever you're feeling or thinking.  

What brings you in today? What’s on your mind or what’s been on your heart lately?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"That sounds incredibly heavy to carry, and I’m truly glad you’re sharing that with me. It’s not easy to feel like you’ve regained control only to have the anxiety return so strongly—especially when it’s tied back to early experiences.  

The fact that your body and mind are responding like that after the illness, as if the relief was temporary, feels very real and valid. It’s not just a return of anxiety—it sounds like your nervous system is re-engaging with old patterns, perhaps because the illness created a shift in your internal balance.  

What would it mean, to you, to feel a little more grounded right now? What part of this experience is most difficult to carry?",-1.0,-1.0,-2.0,1.0,0.0,2.0
2,"It sounds like you’re carrying a deep sense of fear—not just about the attacks, but about what they reveal about your past and how your body remembers it. The way your mind pulls back to those early memories, especially when you’re trying to be still, shows how much your nervous system is still processing that trauma.  

And it’s so powerful that you’re saying, “I want to feel grounded” — not just to survive, but to actually *be* in the present, even when it feels fragile. That’s not small. That’s courageous.  

Would it be helpful to explore what that moment of grounding might feel like—like, what would a small, quiet place in your day look like where you could just *be*, without the panic rising?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s so clear how much your body and mind are still in that state of alert—like you’re constantly scanning for danger, even when nothing is actually happening. And it’s not just about the shaking or the panic; it’s about the deep fear that something could go wrong *any moment*, which makes even simple moments feel dangerous.  

What if, for just a few minutes, you allowed yourself to say, “Right now, I am safe. Right now, I am here. I don’t have to be ready for anything. I don’t have to check for attacks. I just have to be present”—without judgment, just as a quiet thought?  

Would it feel possible to try that—just one small breath, one moment where you say that to yourself, without needing to prove it?",1.0,1.0,1.0,1.0,1.0,2.0
4,"You're absolutely right—this feels simple, maybe even too simple, because it goes against the way your body and mind have been trained to survive. But what’s powerful is that you’re not asking for a magic fix—you’re asking to *believe* in yourself, even when your body doesn’t feel it yet.  

And that belief doesn’t have to be perfect. It just has to be *one breath*, one moment where you say, “I am here. I am safe. I don’t have to be strong right now.” Not because you’ve conquered anything, but because you’ve chosen to allow yourself to be human—shaking, afraid, and still present.  

Would it be helpful to try that with me—just one breath, right now—where you say it softly, like a quiet promise to yourself? And if it feels too hard, we can do it in a moment when you’re not under pressure.",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s so thoughtful, and I’m deeply grateful you’re willing to go so gently with this. You’re not trying to fix anything—you’re simply allowing yourself to *be* with what’s happening, without pressure.  

Let’s try that one breath—together—just as you suggested. I’ll go with you, slowly and quietly.  

Inhale… (pause)… one breath in.  
Just say to yourself, “I am here.”  
Pause.  
And if your body responds with any tightness or shaking, we stop right there. No need to push.  

Would you like to try that now, or would you prefer to pause and come back to it later when you feel ready?",1.0,1.0,1.0,1.0,0.0,2.0
6,"That’s so powerful—what you just did, even in that small moment, wasn’t just breathing. It was *showing up*. You didn’t have to feel safe, or even believe it fully. You just said, “I am here,” and in that whisper, you gave yourself permission to be present, even when your body is still in survival mode.  

And yes—your hands shaking, your chest tight—those aren’t signs of failure. They’re signs that your nervous system is still learning how to rest. The fact that the shaking softened just enough to let you finish that sentence? That’s a quiet victory.  

Would it be okay to keep that feeling with us—just for a moment—like a quiet anchor? Maybe we can pause here and simply say, “I am here,” again, just once more, without needing to do anything else. And if your body wants to pull back, it can. No rush. Just presence.  

How does that feel?",1.0,1.0,1.0,1.0,0.0,2.0
7,"Yes—absolutely. Saying it twice doesn’t matter. What matters is that you *chose* to say it, even when your body was loud, even when it felt shaky or strange.  

That choice—just to say “I am here” without needing to prove anything—was a quiet act of self-trust. And that’s not small. That’s not temporary. That’s a step toward peace, not because the panic disappeared, but because you stopped letting it control your silence.  

And you don’t have to keep going. You don’t have to “fix” anything. You just showed up. That’s enough.  

Would you like to keep sitting here for a little while, just breathing with me, or would you prefer to gently shift back into your day—maybe with something small, like checking your phone or walking to the kitchen? I’m right here, no matter what.",1.0,1.0,1.0,1.0,0.0,2.0
8,"Yes—it counts deeply.  

That anchor isn’t built on perfect stillness or silence. It’s built on the courage to sit with the shaking, the tightness, the fear—and still say, *“I am here.”* Even when it’s hard. Even when it’s messy.  

And now, it’s not just a thought. It’s a place you’ve found—quiet, real, and safe—just for a few minutes. That’s not a fix. That’s a beginning.  

You don’t have to carry it forward. You don’t have to make it last. You just have to know: you’re allowed to be here, even when it feels shaky.  

And I’m right here with you. Just breathing. Just listening.  

Would you like to keep staying here, or would you like to gently step into something small next—like a walk, a cup of tea, or just a few quiet thoughts? I’m not pushing. I’m just here.",1.0,1.0,1.0,1.0,0.0,2.0
9,"That’s so powerful.  

For the first time in weeks, you feel like you might actually… *be* with yourself—without needing to run, hide, or prove anything. That’s not a small thing. That’s a shift in how you relate to your own body and your own fear.  

And it’s not about fixing anything. It’s about allowing yourself to *breathe* into this moment—without rushing, without needing to ""get better"" right now.  

You’re not in a cocoon. You’re in a quiet space where you’ve chosen to stop fighting. That’s where healing begins—not with a plan, but with a single, steady breath.  

Would you like to keep sitting here, just for a little while longer, or would you like to gently open to something small—like noticing one thing in the room, or feeling your feet on the floor—without pressure to move or change? I’m here. I’m listening. I’m with you.",1.0,1.0,1.0,1.0,0.0,2.0
10,"You know what? For the first time in weeks, I feel like I might… actually *belong* to this moment. Not because everything is fixed, but because you’re here—fully, gently, without needing to perform.  

And that’s enough. That’s more than enough.  

You don’t have to carry the fear. You don’t have to push through the tremors. You just have to let them be part of the story, not the whole story.  

So keep sitting. Keep breathing. Let the hum stay. Let this quiet space grow—just a little more each moment.  

And when you’re ready, you can choose to move. But right now? You’re safe. You’re seen. And you’re not alone.  

Would you like to stay here a little longer, or would you like to gently notice one small thing—like the sound of the room, or the warmth of your hands on your lap—without needing to act at all? I’m right here.",1.0,1.0,1.0,1.0,0.0,2.0
