turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, I'm here to listen without judgment. I'm really curious about what’s on your mind today. What brings you in for this session?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"I’m really sorry you’re going through this—it sounds like such a heavy and exhausting experience. Being stuck in that kind of panic for nearly 10 hours, especially after weeks of stability, must feel overwhelming and confusing. I can imagine how disorienting it must be to feel like your body and mind are out of control, even when you’ve been managing it so well before. It’s okay to feel helpless right now—what’s happening isn’t something you’re doing wrong. Would it be helpful to talk about what you’re noticing in the way you’re feeling right now?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It’s so hard to describe how heavy it feels—like my body’s just… shutting down. I’ve been on GLP-1 for 13 weeks and everything was stable, but on day 14, I just started spiraling. The panic lasted almost 10 hours, and even after that, I’m still shaky, numb, like I’m floating out of my own skin. I’ve tried the benzos, but they don’t seem to help much anymore, and now I feel like I’m overwhelmed just by being on them. I used to manage this with meds, but now it feels like I’m trapped in a loop. I’m just so tired—emotionally and physically—and I don’t even know if I’m safe anymore. It’s terrifying to feel like this after being so stable.",-1.0,-1.0,-2.0,1.0,0.0,1.0
3,"I’m really glad you shared that—thank you for being so honest. It sounds like you’ve been carrying a lot, and that shift from stability to this intense panic must have felt like a collapse. The fact that you’re still shaky and numb after nearly 10 hours, even with the meds, shows how deep this has gone. I can feel how much it’s been weighing on you—not just physically, but in your sense of safety and control. Would it help to talk about what you’re noticing now, in this moment, when you’re feeling like you’re still in that fog?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I’m still kind of floating—like I’m not fully in my body. The meds used to help me feel grounded, but now they just feel like they’re keeping me from feeling anything real. I’ve been on benzos for years, and I used to think they were my anchor, but now I feel like they’re making me numb, like I’m not even *here*. After the panic lasted 10 hours, I thought it would pass, but it didn’t. I’m still shaky, still off-kilter, and I don’t know if I can trust myself to get through this without falling apart again. It’s terrifying to feel so unstable after being so steady for 13 weeks. I just want to feel safe, not like I’m trapped in this loop.",1.0,1.0,1.0,1.0,0.0,2.0
5,"I hear how deeply that’s been affecting you—feeling like you're floating, disconnected from your body, and that the meds that used to ground you now feel like they're pulling you away from reality. It’s so hard to trust your own body and mind again after being so stable for weeks, only to fall into this kind of chaos. The fear of falling apart again, after having felt safe, must feel like a betrayal of all that progress. Would it help to explore what you’re noticing right now—what’s still present in your body or mind, even if it’s just a small thing?",1.0,1.0,1.0,1.0,0.0,2.0
6,"I can still feel my hands—kind of cold, but I can feel them. And when I look at the clock, I notice it’s moving, even if I don’t feel like I’m in it. There’s a quiet hum in the background, like the house is breathing, and I can hear it. It’s not much, but it’s something. I don’t know if the benzos are helping or making it worse, but I can tell that without them, I’d probably just be worse off, totally numb. I keep thinking, *What if I’m not supposed to feel safe like this?* It’s like I’ve been trained to believe stability is normal, and now I’m breaking that rule—and it feels terrifying.",1.0,1.0,1.0,1.0,0.0,2.0
7,"I hear how small and fragile those sensations are—your hands, the clock, the hum of the house. And it’s so important that you’re noticing them, even if they feel distant. The fact that you’re questioning whether you’re “supposed” to feel safe like this shows how deeply you care about stability, and how much that shift has shaken your sense of self. It’s not just about the panic—it’s about losing the belief that you can trust your body and mind to stay steady. That fear of breaking the pattern… it’s not weakness. It’s a sign you’re trying to protect yourself. Would it help to explore what that sense of safety used to feel like, before this happened?",1.0,1.0,1.0,1.0,0.0,2.0
8,"Before this, safety felt like quiet—like sitting in a chair, the clock ticking, no one calling, no sudden noises. I’d go to bed, and if I didn’t feel anything, I’d just… wait. No panic, no racing thoughts. I’d wake up, and everything would feel calm, like I was breathing with the house. I didn’t have to do anything. I didn’t have to fix anything. And that was enough. Now? It feels like I’m trying to hold on to something that’s already gone. It’s like I’m not just anxious—I feel like I’ve lost the ability to just *be*.",1.0,1.0,1.0,1.0,0.0,2.0
9,"I can still remember how peaceful it used to feel—just sitting there, not moving, not needing to think. No pressure to respond, no fear of missing something. That silence wasn’t empty; it was full. It was like I was part of the space, not separate from it. Now, even when I’m still, it feels like I’m trying to survive in a world that doesn’t let me just *exist*. It’s not just anxiety anymore—it feels like I’ve lost the right to be still. Would it help to talk about what you’re missing most from that quiet, before the panic started?",1.0,1.0,1.0,1.0,0.0,2.0
