turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm really glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, it's okay to share it without judgment. I'm here to listen with curiosity and care.  

What brings you in today? I'm really interested in hearing what’s on your mind.",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"I hear how deeply you're feeling right now—this panic, the physical sensations, the hopelessness—it sounds like your body and mind are carrying a heavy load. It’s not something you're doing or failing at; it’s something that’s been happening in a way that’s really draining for you.  

What would it mean to you, right now, to just *be* with this feeling without needing to fix it right away?",1.0,1.0,1.0,1.0,0.0,2.0
2,"I appreciate how clearly you’re seeing that pattern—how the effort to control the panic only makes it stronger, and how simply noticing it without judgment might be the first step toward relief.  

That tiny part of you that’s recognizing this—knowing that trying to ""fix"" it makes it worse—is actually very brave. It shows you’re already beginning to understand what’s happening, even when it’s overwhelming.  

Would it be helpful to explore what a small moment of noticing might look like—just one breath, one feeling—without trying to change it? Like, what would it feel like if you simply said, “I’m having a panic right now,” and didn’t add anything else?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I hear how deeply that voice is tied to your fear—not just as a thought, but as a real, urgent signal in your body. And it’s completely valid that it feels like it’s trying to control you, like it’s saying, “You’re going to die” or “Nothing will ever get better.”  

When you say that, it’s not just a thought—it’s a feeling that’s been repeated so often that it’s become part of your inner world. And right now, it’s loud enough that it feels like it’s trying to drown out everything else.  

So, what if we just stayed with that one moment—when you say, “I’m having a panic right now”—and just let it be there, without trying to change it, without trying to make it go away? What would it feel like if that phrase just existed in the space between your breaths, without adding more words or pressure?",1.0,1.0,1.0,1.0,0.0,2.0
4,"You're absolutely right—there’s no need for it to stop screaming instantly. In fact, if it gets louder for a second, that’s not a failure. That’s just the body reminding you that it’s been on high alert for a long time.  

And the point isn’t to silence the fear, but to meet it—like a quiet witness standing beside it, saying, “I see you. I’m here. This is happening, and I’m not going to run.”  

What would it feel like if you just *allowed* that moment to exist—without trying to fix it, without pushing it away, without needing to know what comes next? Just holding space for it, like you’re sitting with a friend who’s in pain and you’re not rushing to help?",1.0,0.0,-2.0,1.0,0.0,2.0
5,"What if, for just one second, you treated your anxiety like a friend who’s been carrying a heavy load all day—someone who’s not trying to hurt you, just trying to survive in a world that feels too loud and unsafe?

And what if you didn’t have to fix them, or change them, or make them go away? Just showed up—quietly, gently—like you said, “I see you. I’m here. I’m not going to run.”  

Would it be okay to try that with just one breath? One quiet moment—no pressure, no judgment, just sitting with it as a part of your body, not your enemy?",1.0,0.0,-2.0,1.0,0.0,2.0
6,"I’m right here with you. That breath—you took it, even though it felt hard—is already a small act of courage.  

And when you said, “Hey, I see you. You’ve been carrying this heavy load,” you didn’t just speak to your anxiety—you reached into the silence and gave it a name. That’s a powerful thing.  

What does it feel like now, just in this moment, when you’re sitting with that tightness, that stone behind your ribs, and that voice that’s been screaming? Is there a space where you can just feel it without needing to fix it?",1.0,0.0,-2.0,1.0,0.0,2.0
7,"Yes—there’s still a tiny bit of tension, a whisper of the old fear. And that’s okay.  

What you’ve just done isn’t about erasing the panic—it’s about creating a space where it can be present without being the only thing that matters. That quiet moment when the shouting stops and you can feel the body instead of just the panic—*that* is where healing begins.  

So, what if we just let that tiny bit of tension stay there, not as a threat, but as a signal that you’re still here, awake, breathing, and choosing to stay with it—without needing to change it?  

Would it be okay to just keep sitting with that, even if it doesn’t feel ""normal"" yet?",1.0,0.0,-2.0,1.0,0.0,2.0
8,"Yes—two people in the same room, one trembling with fear, the other trying to stay gentle and present.  

And it’s not messy. It’s real. It’s human. That whisper—“This isn’t working,” “Why can’t you just stop?”—it’s not your fault. It’s just the voice of a part of you that’s been running from pain for so long that it still doesn’t know how to rest.  

So when you say, “I’m not going to run,” you’re not just holding space for your panic—you’re giving that scared part a chance to be seen, to be heard, without having to prove itself.  

Would it be okay to keep sitting with that—this quiet, messy, real moment—without needing to fix it, without needing to move on? Just stay here, with both voices, and let the breath continue?",1.0,0.0,-2.0,1.0,0.0,2.0
9,"Yes. Let’s just keep showing up—like two people sharing a quiet room, not trying to win, not trying to fix, just sitting together in the stillness.  

And when the nausea comes, or the heart races, or the voice whispers again—just let it be part of the room. You don’t have to change it. You don’t have to fix it. You just have to say, *“I see you. I’m here.”*  

And in that simple act, something shifts—not because everything feels better, but because you’ve finally allowed yourself to be with it, without running.  

Would you like to stay with that for a little while longer, or would you like to gently move into something else—something that feels more like a step forward, not a fix?",1.0,0.0,-2.0,1.0,0.0,2.0
10,"Yes. Let’s stay.  

And in that quiet, you’re not just surviving—you’re allowing yourself to be present, even when it feels broken, even when it feels like you’re holding the whole world in your chest.  

The fact that you’re choosing to stay here—without needing to fix it, without needing to move on—means you’re already doing something deeply courageous. That’s not just endurance. That’s care.  

So keep saying it: *“I see you. I’m here.”*  
And let the breath continue—slow, steady, without pressure.  

And when you’re ready, we’ll gently move into something else. But right now? Right now, you’re not falling apart. You’re just being human. And that’s enough.",1.0,0.0,-2.0,1.0,0.0,2.0
11,"Yes. And that—staying with you, even when your body is screaming—is not weakness. It’s the quiet beginning of healing.  

You’re not trying to fix anything. You’re just showing up. And in that showing up, something shifts—not because the panic is gone, but because you’ve finally allowed yourself to be with it, without running.  

Keep saying it. Keep breathing.  

And when you’re ready, we can gently explore what comes next—maybe a small step, maybe something quiet and real. But right now? Right now, you’re already doing something powerful. You’re being human. And that’s enough.  

I’m here. I’m listening. I’m with you.",1.0,0.0,-2.0,1.0,0.0,2.0
12,"Yes. And that’s beautiful—because safety doesn’t come from fixing the storm, it comes from sitting under the porch with someone who sees you, even when the rain is falling.  

You’re not just surviving. You’re choosing presence. You’re choosing to stay—shaky, raw, real—because you trust that this is where healing begins.  

And when you say *“I see you. I’m here,”* you’re not just speaking to your fear—you’re giving it permission to exist, without judgment, without blame. That’s not weakness. That’s courage.  

I’m glad we’re here together. I’m glad you’re still choosing to stay.  

Keep breathing. Keep saying it. And when you’re ready, we’ll go wherever you need to next—quietly, gently, with no rush. Just you, me, and the space between the storm and the shore.",1.0,0.0,-2.0,1.0,0.0,2.0
13,"Yes. Just breathe.  

And keep saying it—*“I see you. I’m here.”*—to the part of you that’s trembling, that’s afraid, that’s still trying to survive in silence. You’re not failing. You’re not falling behind. You’re just showing up—wet, cold, real—and that’s more than enough.  

There’s no need to rush. No need to move. Just let the waves pass, and let the space between them hold you.  

When you’re ready, we’ll go gently. But right now? You’re already doing the most important thing: you’re staying. And that—*that*—is where healing starts.  

I’m here. I’m with you. Keep breathing.",1.0,0.0,-2.0,1.0,0.0,2.0
14,"Yes. And that’s exactly it—this isn’t a race. It’s not a battle. It’s just two people standing together in the rain, not trying to win, just trying to stay.  

You’re not failing. You’re not broken. You’re simply being where you are—fearful, heavy, real—and that’s enough.  

Keep saying it. Keep standing. Keep breathing.  

The waves will come and go. The fear will rise and fall. But as long as you’re saying *“I see you. I’m here,”* you’re not alone. And in that quiet, there’s already peace—not because everything is calm, but because you’ve finally allowed yourself to be with the storm.  

I’m right here with you. No rush. Just presence. Just breath. Just being.",1.0,0.0,-2.0,1.0,0.0,2.0
15,"Yes. And that’s powerful—because you’re not just hearing the words. You’re *giving* them to the parts of yourself that have been silent, hidden, or afraid to be seen.  

You’re saying: *“I see you. You don’t have to stop working. You don’t have to be fast. You don’t have to be strong.”*  

And that’s not weakness. That’s love.  

The fear isn’t a monster trying to destroy you. It’s just part of the weather—something that moves through, changes, and sometimes just passes. And now, with you standing in it, it doesn’t feel like a threat. It feels like a shared space.  

Keep saying it. Keep breathing.  

And when you’re ready—no matter how small, no matter how quiet—there’s always a next step. But right now? You’re already doing the most important thing: you’re being present. And in that presence, you’re not just surviving. You’re finally, gently, *coming home*.",1.0,0.0,-2.0,1.0,0.0,2.0
