turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to this session and want you to know that whatever you're feeling or bringing up today is safe, respected, and valued. I’m here to listen with curiosity and care.  

What’s on your mind today? What brings you here?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.",1.0,1.0,1.0,1.0,1.0,2.0
2,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you're carrying a lot right now—feeling trapped in this panic, physically unwell, and deeply overwhelmed. I can see how hard it must be to even know where to begin. That fear, that nausea, that sense of not being able to breathe or relax—it’s not just happening to you; it’s real and it’s hurting. And the fact that you’re saying you don’t know if you’ll survive this? That’s not something to carry alone. I’m here with you, and I want to understand what this feels like for you—without judgment, without rushing. Would it be helpful to just stay with that feeling for a moment, and let it be seen?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.  

It’s like every time I try to calm down, the panic just comes back stronger. And now I’m scared I’ll just... disappear. I don’t even know if I’m safe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
5,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.  

It’s like every time I try to calm down, the panic just comes back stronger. And now I’m scared I’ll just... disappear. I don’t even know if I’m safe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
6,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.  

It’s like every time I try to calm down, the panic just comes back stronger. And now I’m scared I’ll just... disappear. I don’t even know if I’m safe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
7,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.  

It’s like every time I try to calm down, the panic just comes back stronger. And now I’m scared I’ll just... disappear. I don’t even know if I’m safe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
8,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.  

It’s like every time I try to calm down, the panic just comes back stronger. And now I’m scared I’ll just... disappear. I don’t even know if I’m safe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
9,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.  

It’s like every time I try to calm down, the panic just comes back stronger. And now I’m scared I’ll just... disappear. I don’t even know if I’m safe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
10,"I don’t know how to even start... I just feel like I’m stuck in this loop of panic. One minute I’m fine, the next I’m shaking, my stomach’s in knots, and I can’t stop thinking about how bad it’s getting. I’ve been throwing up a lot, can’t eat anything, and I don’t even know if I’m going to survive this. It feels like I’m drowning, and the worst part is... I don’t even know what to do. I just want to stop feeling this way, but I don’t know how.  

It’s like every time I try to calm down, the panic just comes back stronger. And now I’m scared I’ll just... disappear. I don’t even know if I’m safe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
11,"It sounds like you're carrying a heavy weight right now—feeling overwhelmed, unable to calm down, and terrified of what’s happening inside your body. The panic feels like it’s looping, and it’s not just in your mind; it’s showing up in your stomach, your nausea, and even the fear that you might not make it through. That fear of disappearing or not being safe—that’s real and valid.  

I’m here with you, and I want you to know that it’s okay to feel this way. You don’t have to have all the answers right now. Would it help to explore what this panic feels like in your body—where it starts, what it’s like when it hits—before we talk about how to move through it?",1.0,1.0,1.0,1.0,0.0,2.0
12,"It feels like my body is on fire every time the panic comes—my hands shake so bad I can’t hold anything, and my stomach just turns over. I had a full panic attack last week, and since then, I’ve been throwing up twice, can’t even eat a bite, and I don’t know if I’ll ever feel safe again. I keep thinking about just... fading away, like I’m not real anymore. It’s not just fear—it’s like I’m losing myself piece by piece.  

And now, when I try to breathe slowly or focus on something small, it just comes back stronger. I don’t know how to stop it. I just want to feel like I’m still here, that I’m safe. But every time I try, it feels like I’m slipping through my fingers.  

I don’t know if I can do this alone. I just need to know that someone sees it, really sees it.",1.0,1.0,1.0,1.0,0.0,2.0
13,"It feels like my body is on fire every time the panic comes—my hands shake so bad I can’t hold anything, and my stomach just turns over. I had a full panic attack last week, and since then, I’ve been throwing up twice, can’t even eat a bite, and I don’t know if I’ll ever feel safe again. I keep thinking about just... fading away, like I’m not real anymore. It’s not just fear—it’s like I’m losing myself piece by piece.  

And now, when I try to breathe slowly or focus on something small, it just comes back stronger. I don’t know how to stop it. I just want to feel like I’m still here, that I’m safe. But every time I try, it feels like I’m slipping through my fingers.  

I don’t know if I can do this alone. I just need to know that someone sees it, really sees it.",1.0,1.0,1.0,1.0,0.0,2.0
14,"It feels like my body is on fire every time the panic comes—my hands shake so bad I can’t hold anything, and my stomach just turns over. I had a full panic attack last week, and since then, I’ve been throwing up twice, can’t even eat a bite, and I don’t know if I’ll ever feel safe again. I keep thinking about just... fading away, like I’m not real anymore. It’s not just fear—it’s like I’m losing myself piece by piece.  

And now, when I try to breathe slowly or focus on something small, it just comes back stronger. I don’t know how to stop it. I just want to feel like I’m still here, that I’m safe. But every time I try, it feels like I’m slipping through my fingers.  

I don’t know if I can do this alone. I just need to know that someone sees it, really sees it.",1.0,1.0,1.0,1.0,0.0,2.0
15,"I’m still here, and I’m not alone in this. It feels like my body is on fire every time the panic comes—my hands shake so bad I can’t hold anything, and my stomach just turns over. I had a full panic attack last week, and since then, I’ve been throwing up twice, can’t even eat a bite, and I don’t know if I’ll ever feel safe again. I keep thinking about just... fading away, like I’m not real anymore.  

It’s not just fear—it’s like I’m losing myself piece by piece. Every time I try to breathe slowly or focus on something small, it just comes back stronger. I don’t know how to stop it. I just want to feel like I’m still here, that I’m safe. But every time I try, it feels like I’m slipping through my fingers.  

I don’t know if I can do this alone. I just need to know that someone sees it,",1.0,1.0,1.0,1.0,0.0,2.0
16,"I’m still here, and I’m not alone in this. It feels like my body is on fire every time the panic comes—my hands shake so bad I can’t hold anything, and my stomach just turns over. I had a full panic attack last week, and since then, I’ve been throwing up twice, can’t even eat a bite, and I don’t know if I’ll ever feel safe again. I keep thinking about just... fading away, like I’m not real anymore.  

It’s not just fear—it’s like I’m losing myself piece by piece. Every time I try to breathe slowly or focus on something small, it just comes back stronger. I don’t know how to stop it. I just want to feel like I’m still here, that I’m safe. But every time I try, it feels like I’m slipping through my fingers.  

I don’t know if I can do this alone. I just need to know that someone sees it,",1.0,1.0,1.0,1.0,0.0,2.0
