turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I really appreciate you taking the time to meet with me today. I'm here to listen, to understand, and to support you in whatever way feels most helpful for you. How are you feeling right now? What brings you in today?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that—what you're describing feels so real and deeply felt. It sounds like your body and mind are carrying a lot of tension, and that sudden wave of fear, even without a clear trigger, must have felt overwhelming. It’s not weird at all to feel like you’re losing control—your body is trying to warn you, and that’s valid. What would you like to explore more about right now—how that feeling of being on edge, or the fear of your body betraying you, or maybe how it feels to be in that moment of panic?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like those thoughts—about the cat, about the vet, about what might have happened silently—feel like they’re pulling you into a loop where nothing feels safe, even when there’s no real danger. That irrational spike, even with such a small trigger, must feel like a violation of your own sense of control. What would it feel like to just sit with that worry without trying to fix it or push it away? Would that be something you’d like to explore a little more?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you're carrying a deep sense of responsibility—and fear—that your mind and body are trying to protect you, even when the answers feel distant or impossible. The fact that you’re so attuned to the smallest details, especially when it comes to your daughter’s marks, shows how much you care, and how much that care is tied to your own sense of safety. What would it feel like to say, *“I’m not responsible for every outcome,”* and just let yourself feel that worry without needing to prove it’s wrong?",-1.0,-1.0,-2.0,1.0,0.0,1.0
4,"It sounds like you're carrying the weight of wanting to protect everyone—your daughter, your friend, yourself—so deeply that it’s hard to separate what you *can* control from what you *can’t*. That fear of failing, of not being enough, is real and it makes perfect sense. What would it feel like to just say, *“I’m not safe in this moment, and that’s okay,”* and let yourself rest in that truth without needing to fix it?",1.0,1.0,1.0,1.0,1.0,2.0
5,"It sounds like the fear you're feeling isn’t just about the cat or the marks—it’s about the deep uncertainty of whether you can keep showing up as a safe, steady presence for the people you love. That fear of losing that connection, of not being enough, is really powerful. What would it feel like to simply say, *“I’m scared right now, and that’s all I need to say,”* without adding a solution or trying to prove it’s not true?",1.0,0.0,0.0,1.0,0.0,2.0
6,"It sounds like you're carrying the weight of trying to be perfect—like every silence or pause in your mind is a failure, and every moment of stillness is a risk. But just saying *“I’m scared right now, and that’s all I need to say”* isn’t about giving up—it’s about honoring how much you’re already doing. You’re showing up with care, with attention, with fear. That’s not weakness. That’s deep presence. What would it feel like to let that stillness breathe, without needing to fill it with answers?",1.0,0.0,0.0,1.0,0.0,2.0
7,"It sounds like that pressure in your chest isn’t just physical—it’s the body’s way of holding onto the fear that if you stop checking, you’ll lose the connection to safety. But what if that quiet isn’t about losing control, but about re-creating a space where you can finally feel your own presence without needing to prove it? What would it feel like to take one small breath—just one—and say, *“I’m here. I’m scared. I don’t have to fix this right now.”* And then let that breath stay, without moving?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so brave—trying to step off that diving board while wearing heavy shoes, and still choosing to take that first breath. What if you just let that breath fill your lungs, and then slowly exhale—not to escape the fear, but to say, *“I am here. I am not running. I am not fixing. I am simply present in this moment.”* Would it feel possible to just stay with that for ten seconds, without needing to move or check or explain?",1.0,0.0,0.0,1.0,0.0,2.0
9,"What if, for those ten seconds, the silence wasn’t empty—but full of your own breath, your own heartbeat, and the quiet truth that you’re already holding space for what’s happening, without needing to fix it? That stillness wouldn’t erase the fear—it would just let it sit beside you, like a friend you’ve known for a long time, without needing to speak. Would that feel possible, even if it’s just a tiny moment?",1.0,0.0,0.0,1.0,0.0,2.0
10,"Just breathing with it—without pushing it away or trying to control it—would feel like coming home to a part of yourself that’s been waiting to be seen. Not fixed, not solved, just known. And in that quiet, you’d find a kind of safety that doesn’t come from answers, but from simply being with the fear without needing to change it. Would that feel like a small step toward peace—even if it’s just a breath?",1.0,0.0,0.0,1.0,0.0,2.0
11,"Like you're holding onto something tender and alive—something that’s not broken, just quiet. And even if it feels fragile, that fragility isn’t weakness. It’s proof that you’re choosing to be present, not just reacting. Would it feel possible to just let that hum continue, even if it’s shaky, even if it’s not perfect? Just one breath with it, and then another?",1.0,0.0,0.0,1.0,0.0,2.0
12,"You’re doing something beautiful by naming it, holding it, and just letting it be—not chasing it, not hiding from it. That breath wasn’t just air—it was a quiet act of courage, like saying, *“I see you. I’m here. I’m not running.”* And even with the buzzing, the image of the cat, the tightness in your chest—it’s still just part of the landscape now, not the whole world. Would you like to keep going with that breath, or would you prefer to pause and see what else is on your mind?",1.0,0.0,0.0,1.0,0.0,2.0
