turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, it's okay to share it without judgment. I’m here to listen with care and curiosity.  

What brings you in today? What’s on your mind?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"That sounds really heavy—feeling like your body is reacting so strongly to formal situations, especially when you’re already carrying so much emotionally. It’s not dramatic or lazy at all; it’s a real physical response to something that’s been building up for years.  

And it’s okay that you’re exhausted—your body and mind have been carrying this for a long time. When those symptoms come up, they’re not just “stress” in a simple way—they’re signals that something deeper needs space and attention.  

What would it feel like if you just allowed yourself to sit with that panic, without trying to fix it right away?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It’s so clear how much that one moment—fainting during blood draw—has shaped your relationship with assessments, even though you know it’s not something that defines who you are. That fear isn’t just about the test; it’s about your body’s memory of that moment, and how it now feels like a warning sign.  

And it’s not unfair that you feel terrified—your body is reacting to something real, even if it’s not life-threatening. The fact that you’re trying to control it, even by hyperventilating or focusing too hard, shows how much you care—and how deeply you want to protect yourself from falling.  

What would it feel like if you allowed yourself to just *feel* that fear, without trying to fix it or push through it right now?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That’s such a powerful way to put it—feeling like a child in the middle of a storm, helpless and afraid of the wind, even when you know you can’t stop it. And you’re absolutely right: that moment with the blood draw wasn’t just a medical event. It became a story your body and mind keep replaying, like a memory that’s now part of your internal landscape.  

The ringing in your head, the pounding, the feeling of being small—it’s not a flaw. It’s your body’s way of saying, *“I’m trying to protect you, but I’m overwhelmed.”* And that’s not weakness. That’s survival.  

Would it be helpful to talk a little more about how that moment with the blood draw shaped your sense of safety—or how you’ve been trying to make sense of it since?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so important that you’re seeing that moment not just as something that happened, but as a turning point—the moment your body learned to *feel* fear in a way that now shapes everything you do.  

And it’s not just about needles or pressure—it’s about your body remembering what it felt like to lose control, to stop existing for a second. That wasn’t a failure. It was a signal, and your nervous system has been trying to protect you ever since.  

So when you’re sitting in an assessment now, and your body starts to react—your heart races, your vision blurs—it’s not just stress. It’s your body saying, *“I’m still waiting to be safe.”*  

Would it be helpful to explore what it would feel like if you allowed yourself to say, *“I’m still learning how to feel safe again,”* instead of *“I have to stay strong or I’ll fail”?*",1.0,0.0,0.0,1.0,0.0,2.0
5,"You’re absolutely right—that shift from *“I have to stay strong”* to *“I’m still learning”* is not easy. It’s not about failing—it’s about finally giving yourself permission to be *present* with what you’re feeling, without needing to prove anything.  

And yes, saying “I’m still learning” doesn’t mean you’re failing. It means you’re honoring the truth of your body’s experience. It means you’re not demanding perfection, or control, or strength—you’re just allowing yourself to be in the middle of the storm, quietly.  

And when your brain says, *“No, you’re lying,”* that’s not a sign of weakness. That’s your nervous system trying to protect you from the fear it still carries. But you don’t have to fight that voice. You can just say, *“I hear you. I’m still learning. I’m not trying to fix this right now—I’m just trying to be with it.”*  

Would it be helpful to try that one sentence—“I’m still learning”—in a quiet moment, without pressure, just to see how it feels in your body?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You're so honest—and that’s exactly what makes this work. It *does* feel simple, even when it’s deeply true. And yes, it’s like trying to drink water while drowning: the act of doing it is the first step, not the end.  

If you sit down tomorrow, no test, no pressure, just whispering *“I’m still learning”*—even if your heart races or your mind jumps back to the blood draw—*that’s not failure*. That’s your body responding to the truth you’re finally naming.  

And if your brain says, *“You’re being naive,”* or *“You’ll fail,”*—that’s not a threat. It’s just the old story trying to protect you again. But you don’t have to believe it. You can just say, *“I’m still learning,”* and then pause. Let it sit. Let your body feel what it feels.  

Would it be okay to try that tomorrow, just for five minutes? And if it feels hard, or if you feel overwhelmed—no pressure to “do it right.” Just to *try*. That’s enough.",1.0,0.0,0.0,1.0,0.0,2.0
7,"You’re so aware—your fear isn’t about failing. It’s about the moment when the silence becomes full of noise, and you start hearing the old story again. That’s not weakness. That’s your nervous system *trying to survive* in a new way.  

And yes—those thoughts coming up *after* you say “I’m still learning” are not a sign of failure. They’re signs that you’ve finally opened the door. The panic isn’t about the words. It’s about the fact that you’re finally allowing yourself to feel what you’ve been avoiding.  

So if you sit in that quiet space, even with the thoughts rising, *that’s exactly what helps*. The tension doesn’t go away instantly—it might feel like it’s getting worse at first. But over time, the body learns that *this* is safe. That the panic doesn’t mean you’re failing. It means you’re present.  

Would it be okay to just try it tomorrow—no pressure, no expectation of results—just to let the silence hold space for the noise? And if it feels hard, you can pause, breathe, and say, *“I’m still learning,”* again. That’s enough.",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re absolutely right—the silence doesn’t have to be peaceful. It can be loud, messy, and full of voices arguing. And that’s exactly where growth begins.  

And no, if your heart hammers, if you shake, if you start to hyperventilate—*that doesn’t mean you failed*. That means the old system is still trying to protect you. But you didn’t break it. You just said, *“I’m still learning,”* and that act—no matter what happens after—is already a victory.  

You don’t have to “succeed” at the five minutes. You just have to show up. And if you do, even if your body reacts, you’re not failing—you’re *experiencing* what healing looks like.  

And yes, if you don’t feel ready for the test next week, that’s okay too. You don’t have to be ready. You just have to be present.  

So tomorrow, when you sit there—whether your heart races or you feel shaky—just say, *“I’m still learning,”* and then let it go. No judgment. No pressure. Just presence.  

And if you feel like you can’t do it, that’s okay too.",1.0,0.0,0.0,1.0,0.0,2.0
9,"You're so perceptive—your hope isn’t really about the storm stopping *right now*. It’s about the space that comes after. The quiet that doesn’t feel like a void, but like a room with a window open, where the wind is still there, but you can see the sky.  

Maybe the hope isn’t that the panic vanishes. Maybe it’s that after you say *“I’m still learning,”* you start to realize—*this is not the end*. The storm doesn’t have to be loud to be real. And even when it’s loud, you don’t have to be the one in charge of it.  

So maybe the shift isn’t in the storm itself, but in how you’re sitting with it. Not fighting it. Not running from it. Just *being* with it—like a witness, like a friend who says, *“I see you. I’m here. I’m still learning with you.”*  

Would it be okay to just carry that image with you—of sitting in the room, with the storm still there, but now with a soft voice saying, *“I’m still learning”*—and let it stay there, even if the storm doesn’t quiet down right away?",1.0,0.0,0.0,1.0,0.0,2.0
