Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
Hi Rebecca. How are you doing today? What's been going on?,T,ZSDJymlMOxg_1,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,"**Session Notes**

**Client:** Sarah, 35, female, anxious about her upcoming job interview

**Therapist:** (Reflective listening) It sounds like you're feeling a bit anxious about the interview. Can you tell me more about what's on your mind? What are some of the things that are worrying you about the interview?

**Sarah:** (nervously) I just feel like I'm not good enough. I've been preparing for weeks, but I still feel like I'm not prepared. What if I say something stupid or forget something important? What if I don't get the job?

**Ther"
A car accident?,T,ZSDJymlMOxg_3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Hi Rebecca. How are you doing today? What's been going on?
Patient: Well, nothing too bad. I kind of got in a little bit of a fender-bender accident.","It sounds like you're feeling a bit shaken up about the accident. It's completely understandable that you'd be concerned about the damage to your vehicle. Can you tell me more about what happened? What was going through your mind when you were driving, and how did you feel when you realized what had happened?"
What happened?,T,ZSDJymlMOxg_5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Hi Rebecca. How are you doing today? What's been going on?
Patient: Well, nothing too bad. I kind of got in a little bit of a fender-bender accident.
Therapist: A car accident?
Patient: Yeah.","It sounds like you're feeling a bit shaken up about it. How are you feeling right now, in this moment?"
Oh. You okay?,T,ZSDJymlMOxg_7,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: Hi Rebecca. How are you doing today? What's been going on?
Patient: Well, nothing too bad. I kind of got in a little bit of a fender-bender accident.
Therapist: A car accident?
Patient: Yeah.
Therapist: What happened?
Patient: We were at a red light and the car behind me hit me, and then I hit the car in front of me.",It sounds like you were in a bit of a stressful situation. Did you feel any immediate physical sensations or emotions after the accident?
So physically you're okay. Were you checked out by your physician?,T,ZSDJymlMOxg_9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: A car accident?
Patient: Yeah.
Therapist: What happened?
Patient: We were at a red light and the car behind me hit me, and then I hit the car in front of me.
Therapist: Oh. You okay?
Patient: I was jolted back and forth. I've got a couple of bruises, but physically I'm okay.",It sounds like the physical pain is still a big part of your experience. How are you feeling about the accident?
All right. How about emotionally?,T,ZSDJymlMOxg_11,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,"Therapist: What happened?
Patient: We were at a red light and the car behind me hit me, and then I hit the car in front of me.
Therapist: Oh. You okay?
Patient: I was jolted back and forth. I've got a couple of bruises, but physically I'm okay.
Therapist: So physically you're okay. Were you checked out by your physician?
Patient: Yeah, everything's okay there. I didn't break anything.",It sounds like the physical pain is what really got to you. How did you feel when you were driving and the other car hit you?
What was the thought that came into your mind?,T,ZSDJymlMOxg_13,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Oh. You okay?
Patient: I was jolted back and forth. I've got a couple of bruises, but physically I'm okay.
Therapist: So physically you're okay. Were you checked out by your physician?
Patient: Yeah, everything's okay there. I didn't break anything.
Therapist: All right. How about emotionally?
Patient: It's been hard to get in my car. My boyfriend asked if I wanted to go on a trip, and I'm hesitant.","It sounds like there's a bit of uncertainty and anxiety about the trip. You mentioned you're hesitant, but you're okay physically. Can you tell me more about what's making you hesitant?"
"So it was really all about the car, not anything else about the trip?",T,ZSDJymlMOxg_15,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,"Therapist: So physically you're okay. Were you checked out by your physician?
Patient: Yeah, everything's okay there. I didn't break anything.
Therapist: All right. How about emotionally?
Patient: It's been hard to get in my car. My boyfriend asked if I wanted to go on a trip, and I'm hesitant.
Therapist: What was the thought that came into your mind?
Patient: I'm going to get hurt.","It sounds like you're feeling a bit anxious about the possibility of getting hurt. Can you tell me more about what you mean by ""hurt""? Is it related to the trip, or is it something else that's been on your mind lately?"
And you felt you were going to get hurt?,T,ZSDJymlMOxg_17,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,"Therapist: All right. How about emotionally?
Patient: It's been hard to get in my car. My boyfriend asked if I wanted to go on a trip, and I'm hesitant.
Therapist: What was the thought that came into your mind?
Patient: I'm going to get hurt.
Therapist: So it was really all about the car, not anything else about the trip?
Patient: No, it was being in the car, driving the car.","It sounds like the thought of being in the car, with the engine running and the wheels moving, might be triggering some anxiety for you. Is that right?"
Much more nervous than usual?,T,ZSDJymlMOxg_20,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Patient: I'm going to get hurt.
Therapist: So it was really all about the car, not anything else about the trip?
Patient: No, it was being in the car, driving the car.
Therapist: And you felt you were going to get hurt?
Patient: Yeah, I'm going to get hit. I would normally be excited about a trip, but now I'm just scared.
Patient: Even coming here today, I didn't want to drive. I was more aware, but very nervous.","It sounds like the thought of driving was triggering a lot of anxiety for you. Can you tell me more about what specifically made you feel scared? Was it the thought of hitting something, or was it the uncertainty of the situation?"
How did you feel about driving cars prior to this accident?,T,ZSDJymlMOxg_22,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,"Patient: No, it was being in the car, driving the car.
Therapist: And you felt you were going to get hurt?
Patient: Yeah, I'm going to get hit. I would normally be excited about a trip, but now I'm just scared.
Patient: Even coming here today, I didn't want to drive. I was more aware, but very nervous.
Therapist: Much more nervous than usual?
Patient: Yes.","It sounds like the thought of being in the car, even just for a short drive, was really unsettling for you. It's understandable that you would feel that way. Can you tell me more about what specifically made you feel that way?"
So you're taking every opportunity to avoid driving.,T,ZSDJymlMOxg_24,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Patient: Yeah, I'm going to get hit. I would normally be excited about a trip, but now I'm just scared.
Patient: Even coming here today, I didn't want to drive. I was more aware, but very nervous.
Therapist: Much more nervous than usual?
Patient: Yes.
Therapist: How did you feel about driving cars prior to this accident?
Patient: I was fine. I enjoyed driving and going on trips, but now I'm too scared.","It sounds like the thought of driving is now a source of anxiety for you. Can you tell me more about what specifically makes you feel scared? Is it the thought of being in a car, the fear of an accident, or something else?"
What do you tell yourself to motivate yourself to get into the car?,T,ZSDJymlMOxg_26,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,"Therapist: Much more nervous than usual?
Patient: Yes.
Therapist: How did you feel about driving cars prior to this accident?
Patient: I was fine. I enjoyed driving and going on trips, but now I'm too scared.
Therapist: So you're taking every opportunity to avoid driving.
Patient: Yeah, except for essential things like work or coming here, and that takes a lot of motivation.","It sounds like the fear of driving is a significant source of anxiety for you. Can you tell me more about what specifically makes you feel scared while driving? Is it the thought of being in an accident, the fear of losing control, or something else?"
"This is disturbing and painful for you. Prior to this accident, how many car accidents have you been in?",T,ZSDJymlMOxg_28,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: How did you feel about driving cars prior to this accident?
Patient: I was fine. I enjoyed driving and going on trips, but now I'm too scared.
Therapist: So you're taking every opportunity to avoid driving.
Patient: Yeah, except for essential things like work or coming here, and that takes a lot of motivation.
Therapist: What do you tell yourself to motivate yourself to get into the car?
Patient: I have to think about it for a long time. I'm very nervous, and I avoid stoplights if I can.",It sounds like the thought of driving can be overwhelming for you. Can you think of a specific situation where you felt anxious or scared while driving?
The other one didn't bother you as much? Why do you think this one triggered this nervousness?,T,ZSDJymlMOxg_30,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: So you're taking every opportunity to avoid driving.
Patient: Yeah, except for essential things like work or coming here, and that takes a lot of motivation.
Therapist: What do you tell yourself to motivate yourself to get into the car?
Patient: I have to think about it for a long time. I'm very nervous, and I avoid stoplights if I can.
Therapist: This is disturbing and painful for you. Prior to this accident, how many car accidents have you been in?
Patient: Maybe one small thing years ago, but this was the worst one.",It sounds like the fear of being in an accident is a recurring theme for you. Can you tell me more about what happened in that accident? What was going through your mind when it happened?
Did the driver that hit you tell you what happened?,T,ZSDJymlMOxg_32,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: What do you tell yourself to motivate yourself to get into the car?
Patient: I have to think about it for a long time. I'm very nervous, and I avoid stoplights if I can.
Therapist: This is disturbing and painful for you. Prior to this accident, how many car accidents have you been in?
Patient: Maybe one small thing years ago, but this was the worst one.
Therapist: The other one didn't bother you as much? Why do you think this one triggered this nervousness?
Patient: This time I was by myself and it was rainy. In the other one, I had someone with me.","Being alone can be a source of comfort, but it's also a source of anxiety. How do you think the presence of someone with you in the other accident made you feel?"
So you're worried about getting hit and hurt every time you get into the car now.,T,ZSDJymlMOxg_34,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: This is disturbing and painful for you. Prior to this accident, how many car accidents have you been in?
Patient: Maybe one small thing years ago, but this was the worst one.
Therapist: The other one didn't bother you as much? Why do you think this one triggered this nervousness?
Patient: This time I was by myself and it was rainy. In the other one, I had someone with me.
Therapist: Did the driver that hit you tell you what happened?
Patient: No, they left before the police got there. I was just left to deal with it.",It sounds like the experience was really overwhelming. How did you feel when you were driving home afterwards?
"Driving always carries risk, but there are things you can do to minimize that risk.",T,ZSDJymlMOxg_36,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: The other one didn't bother you as much? Why do you think this one triggered this nervousness?
Patient: This time I was by myself and it was rainy. In the other one, I had someone with me.
Therapist: Did the driver that hit you tell you what happened?
Patient: No, they left before the police got there. I was just left to deal with it.
Therapist: So you're worried about getting hit and hurt every time you get into the car now.
Patient: Yeah, even after driving, I'm still worried about another accident.","It sounds like the thought of being in a car accident is really unsettling for you. It's natural to feel that way, especially when you're already feeling vulnerable."
What about driving habits you can use to stay safer?,T,ZSDJymlMOxg_38,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Did the driver that hit you tell you what happened?
Patient: No, they left before the police got there. I was just left to deal with it.
Therapist: So you're worried about getting hit and hurt every time you get into the car now.
Patient: Yeah, even after driving, I'm still worried about another accident.
Therapist: Driving always carries risk, but there are things you can do to minimize that risk.
Patient: I wear my seatbelt and try to avoid stoplights, even though it's difficult.","It can be hard to resist the urge to speed or take risks, especially when you're feeling anxious or stressed. Can you tell me more about what's going through your mind when you're driving, and how you're feeling when you're in a situation where you might feel like you're taking risks?"
Following traffic laws and being aware of your environment can reduce the risk of an accident.,T,ZSDJymlMOxg_40,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: So you're worried about getting hit and hurt every time you get into the car now.
Patient: Yeah, even after driving, I'm still worried about another accident.
Therapist: Driving always carries risk, but there are things you can do to minimize that risk.
Patient: I wear my seatbelt and try to avoid stoplights, even though it's difficult.
Therapist: What about driving habits you can use to stay safer?
Patient: I watch my speed, keep space around my car, and make sure my lights are working.",It sounds like you're taking steps to be more mindful of your driving habits. Can you tell me more about what happens when you're driving and you're feeling anxious or worried?
