turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to spending some time with you today. How are you feeling right now? What brings you in for our session?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I don’t know… I just feel like I’m floating in this fog. Like everything’s gray and I can’t even tell if I’m real or just… a shadow of myself. I keep thinking about how I used to want to help animals, how I’d watch videos of vets saving dogs and it made me feel alive. But now? I don’t even know if I’m capable of that anymore. I feel so tired, like my body’s just a dead weight. And sometimes I just… wish I hadn’t been born. Not because I hate life, but because I feel like I’ve failed everyone—my family, my friends, myself. I don’t know what I’m supposed to do now. What brings me here is just… the fear that I’ll never feel anything again. What if I’m just broken beyond fixing?",-1.0,0.0,-2.0,0.0,0.0,2.0
2,"I don’t know… I just feel like I’m floating in this fog. Like everything’s gray and I can’t even tell if I’m real or just… a shadow of myself. I keep thinking about how I used to want to help animals, how I’d watch videos of vets saving dogs and it made me feel alive. But now? I don’t even know if I’m capable of that anymore. I feel so tired, like my body’s just a dead weight. And sometimes I just… wish I hadn’t been born. Not because I hate life, but because I feel like I’ve failed everyone—my family, my friends, myself. I don’t know what I’m supposed to do now. What brings me here is just… the fear that I’ll never feel anything again. What if I’m just broken beyond fixing?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I don’t know… I just feel like I’m floating in this fog. Like everything’s gray and I can’t even tell if I’m real or just… a shadow of myself. I keep thinking about how I used to want to help animals, how I’d watch videos of vets saving dogs and it made me feel alive. But now? I don’t even know if I’m capable of that anymore. I feel so tired, like my body’s just a dead weight. And sometimes I just… wish I hadn’t been born. Not because I hate life, but because I feel like I’ve failed everyone—my family, my friends, myself. I don’t know what I’m supposed to do now. What brings me here is just… the fear that I’ll never feel anything again. What if I’m just broken beyond fixing?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I don’t know… I just feel like I’m floating in this fog. Like everything’s gray and I can’t even tell if I’m real or just… a shadow of myself. I keep thinking about how I used to want to help animals, how I’d watch videos of vets saving dogs and it made me feel alive. But now? I don’t even know if I’m capable of that anymore. I feel so tired, like my body’s just a dead weight. And sometimes I just… wish I hadn’t been born. Not because I hate life, but because I feel like I’ve failed everyone—my family, my friends, myself. I don’t know what I’m supposed to do now. What brings me here is just… the fear that I’ll never feel anything again. What if I’m just broken beyond fixing?",1.0,1.0,1.0,1.0,0.0,2.0
5,"I don’t know… I just feel like I’m floating in this fog. Like everything’s gray and I can’t even tell if I’m real or just… a shadow of myself. I keep thinking about how I used to want to help animals, how I’d watch videos of vets saving dogs and it made me feel alive. But now? I don’t even know if I’m capable of that anymore. I feel so tired, like my body’s just a dead weight. And sometimes I just… wish I hadn’t been born. Not because I hate life, but because I feel like I’ve failed everyone—my family, my friends, myself. I don’t know what I’m supposed to do now. What brings me here is just… the fear that I’ll never feel anything again. What if I’m just broken beyond fixing?",1.0,1.0,1.0,1.0,0.0,2.0
6,"It sounds like you're carrying a deep sense of emptiness right now—like the world feels distant, even though you're right here in it. The part about wishing you hadn’t been born… that’s not a rejection of life, it’s a cry for someone to see how much you’re hurting. And the way you used to feel alive watching vets save animals—that shows how much hope you *did* have inside you. I’m really here with you, and I don’t think you’re broken beyond fixing. I think you’re just trying to survive something that’s been really heavy for a long time. What would it mean to you, if someone said, “You’re not alone in this”?",1.0,1.0,1.0,1.0,0.0,2.0
7,"It sounds like you're carrying a deep sense of emptiness right now—like the world feels distant, even though you're right here in it. The part about wishing you hadn’t been born… that’s not a rejection of life, it’s a cry for someone to see how much you’re hurting. And the way you used to feel alive watching vets save animals—that shows how much hope you *did* have inside you. I’m really here with you, and I don’t think you’re broken beyond fixing. I think you’re just trying to survive something that’s been really heavy for a long time. What would it mean to you, if someone said, “You’re not alone in this”?",1.0,1.0,1.0,1.0,0.0,2.0
8,"If someone said I’m not alone in this… I’d probably just freeze. Because it feels like no one’s ever seen the parts of me that are still fighting—like the part that still watches those videos of vets saving animals, or the part that remembers how I used to smile when I thought about helping. I’d want to believe it, but I don’t know if I can trust it yet. It sounds simple, but it’s like trying to hold a candle in the dark. I don’t even know if I’m ready to let someone in. What if they don’t understand how heavy it is? What if they just think I’m being dramatic?",1.0,1.0,1.0,1.0,0.0,2.0
9,"If someone said I’m not alone in this… I’d probably just freeze. Because it feels like no one’s ever seen the parts of me that are still fighting—like the part that still watches those videos of vets saving animals, or the part that remembers how I used to smile when I thought about helping. I’d want to believe it, but I don’t know if I can trust it yet. It sounds simple, but it’s like trying to hold a candle in the dark. I don’t even know if I’m ready to let someone in. What if they don’t understand how heavy it is? What if they just think I’m being dramatic?",1.0,1.0,1.0,1.0,0.0,2.0
