Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"All right, so let's, if we could, let's talk about the moment in the presentation again. I want to try to help you develop some strategies to bring those anxiety symptoms down.",T,o2Cv6Mlp3KY_2,0.0,0.0,-2.0,0.0,0.0,2.0,-1,-1,-2,0,0,1,,"Hi, Carly. I'm Angie. How are you doing today? How things been going since we last met? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the"
"Let's actually go right before the moment. So you're still sitting down and you're getting ready to present, let's just say you're second to present like we've talked about, and you're thinking they're going to see me as anxious, they're going to think I don't belong here.",T,o2Cv6Mlp3KY_4,0.0,0.0,-2.0,0.0,0.0,2.0,1,1,1,1,1,2,"Therapist: All right, so let's, if we could, let's talk about the moment in the presentation again. I want to try to help you develop some strategies to bring those anxiety symptoms down.
Patient: Okay.","Hi, Carly. I'm Angie. How are you doing today? How things been going since we last met? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the last session? How things been going since the"
"So these thoughts occur because you have an expectation, a rule, an attitude that you've brought into that class. It's perfectly natural, everyone has these beliefs. They combine with the stressor of the presentation and classmates watching, and result in these automatic thoughts.",T,o2Cv6Mlp3KY_5,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,0,2,"Therapist: All right, so let's, if we could, let's talk about the moment in the presentation again. I want to try to help you develop some strategies to bring those anxiety symptoms down.
Patient: Okay.
Therapist: Let's actually go right before the moment. So you're still sitting down and you're getting ready to present, let's just say you're second to present like we've talked about, and you're thinking they're going to see me as anxious, they're going to think I don't belong here.","Okay. So you're sitting there, you're getting ready to present, and you're thinking, 'They're going to see me as anxious,' and you're thinking, 'They're going to think I don't belong here.' And what's it like to think that? Tell me about it. Tell me what it feels like to think that."
"And just like the beliefs, they're not good or bad, they're just thoughts. Actually, they're fairly understandable and natural thoughts.",T,o2Cv6Mlp3KY_7,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,1,2,"Therapist: All right, so let's, if we could, let's talk about the moment in the presentation again. I want to try to help you develop some strategies to bring those anxiety symptoms down.
Patient: Okay.
Therapist: Let's actually go right before the moment. So you're still sitting down and you're getting ready to present, let's just say you're second to present like we've talked about, and you're thinking they're going to see me as anxious, they're going to think I don't belong here.
Therapist: So these thoughts occur because you have an expectation, a rule, an attitude that you've brought into that class. It's perfectly natural, everyone has these beliefs. They combine with the stressor of the presentation and classmates watching, and result in these automatic thoughts.
Patient: Okay.",So the thought is 'I don't belong here' and the feeling is shame. And how long has this been going on?
"The problem is that they lead to symptoms. You're sitting there and thinking, 'They're going to see that I'm anxious. They're going to think I'm not good enough.' What reaction do you have when you have that thought?",T,o2Cv6Mlp3KY_9,-1.0,0.0,-2.0,0.0,0.0,1.0,-1,-1,-2,0,0,1,"Patient: Okay.
Therapist: Let's actually go right before the moment. So you're still sitting down and you're getting ready to present, let's just say you're second to present like we've talked about, and you're thinking they're going to see me as anxious, they're going to think I don't belong here.
Therapist: So these thoughts occur because you have an expectation, a rule, an attitude that you've brought into that class. It's perfectly natural, everyone has these beliefs. They combine with the stressor of the presentation and classmates watching, and result in these automatic thoughts.
Patient: Okay.
Therapist: And just like the beliefs, they're not good or bad, they're just thoughts. Actually, they're fairly understandable and natural thoughts.
Patient: Mhm.","But they're not true. And if you could just pause and think, 'I'm having the thought that they're going to judge me, but that's not true.' And you can remember that you've been in this situation before and you've survived it. You've survived the judgment, you've survived the criticism. And you can remember that you've survived it before and that it doesn't mean that you're a bad person, that it doesn't mean that you're anxious, that it doesn't mean that you're a failure. And that you've survived it before. And that you can survive it again. And that you"
"Okay, so distressing symptoms.",T,o2Cv6Mlp3KY_11,1.0,1.0,1.0,1.0,0.0,2.0,-1,-1,-2,-1,-1,1,"Therapist: So these thoughts occur because you have an expectation, a rule, an attitude that you've brought into that class. It's perfectly natural, everyone has these beliefs. They combine with the stressor of the presentation and classmates watching, and result in these automatic thoughts.
Patient: Okay.
Therapist: And just like the beliefs, they're not good or bad, they're just thoughts. Actually, they're fairly understandable and natural thoughts.
Patient: Mhm.
Therapist: The problem is that they lead to symptoms. You're sitting there and thinking, 'They're going to see that I'm anxious. They're going to think I'm not good enough.' What reaction do you have when you have that thought?
Patient: I guess I'm very observant, I start looking around, I'm sweating. I'm having physical responses and looking around to see if anyone's already looking at me, like hyper-vigilance.",Okay. So you're looking around to see if people have noticed. And what do you do when you think they have noticed? Tell me about it.
What's something that you could say to yourself in that moment that would maybe get in between that thought and that reaction?,T,o2Cv6Mlp3KY_13,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,1,1,1,0,2,"Therapist: And just like the beliefs, they're not good or bad, they're just thoughts. Actually, they're fairly understandable and natural thoughts.
Patient: Mhm.
Therapist: The problem is that they lead to symptoms. You're sitting there and thinking, 'They're going to see that I'm anxious. They're going to think I'm not good enough.' What reaction do you have when you have that thought?
Patient: I guess I'm very observant, I start looking around, I'm sweating. I'm having physical responses and looking around to see if anyone's already looking at me, like hyper-vigilance.
Therapist: Okay, so distressing symptoms.
Patient: Yeah.","And how about the other side? How about the side of being able to do it? How about the side of being able to present? Tell me about that, tell me about the side of being able to do it. Tell me about the side of being able to present. Tell me about the side of being able to do it. Tell me about the side of being able to do it. Tell me about the side of being able to do it. Tell me about the side of being able to do it. Tell me about the side of being able to do it. Tell me about the side of being able to do it."
"Okay. So some deep breathing, looking over your notes, kind of focusing on that and realizing they're not really looking at you anyway at that moment. You bring your notes with you to class?",T,o2Cv6Mlp3KY_15,1.0,1.0,1.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: The problem is that they lead to symptoms. You're sitting there and thinking, 'They're going to see that I'm anxious. They're going to think I'm not good enough.' What reaction do you have when you have that thought?
Patient: I guess I'm very observant, I start looking around, I'm sweating. I'm having physical responses and looking around to see if anyone's already looking at me, like hyper-vigilance.
Therapist: Okay, so distressing symptoms.
Patient: Yeah.
Therapist: What's something that you could say to yourself in that moment that would maybe get in between that thought and that reaction?
Patient: Well, I think in that moment most people are looking at the person who's presenting and not at me. I could maybe take some deep breaths or try to calm myself down, maybe look over my notes one more time, because they're all watching the person presenting, not me.","Okay, so you're thinking, 'Everyone's looking at me, I'm going to say something stupid.' And then you're reacting with anxiety. And what's the thought that gets in between? What's the thought that you could say to yourself? 'Everyone's looking at me, I'm going to say something stupid.' And then you're reacting with anxiety. And what's the thought that you could say to yourself? 'Everyone's looking at me, I'm going to say something stupid.' And then you're reacting with anxiety. And what's the thought that you could say to yourself? 'Everyone's looking at me,"
"Okay, so you always have those with you. And it's just a matter of can you focus your attention on them?",T,o2Cv6Mlp3KY_17,-1.0,0.0,-2.0,0.0,0.0,1.0,1,1,1,1,0,2,"Therapist: Okay, so distressing symptoms.
Patient: Yeah.
Therapist: What's something that you could say to yourself in that moment that would maybe get in between that thought and that reaction?
Patient: Well, I think in that moment most people are looking at the person who's presenting and not at me. I could maybe take some deep breaths or try to calm myself down, maybe look over my notes one more time, because they're all watching the person presenting, not me.
Therapist: Okay. So some deep breathing, looking over your notes, kind of focusing on that and realizing they're not really looking at you anyway at that moment. You bring your notes with you to class?
Patient: I mean, like usually I have index cards or maybe some stats on something that I want to look over, like some numbers or something I don't want to forget.","Okay. And how about the deep breathing? How about you try to do some deep breathing? And maybe you can write that down too, you know, 'take deep breaths' or 'calm down' or whatever you think would be most useful to you. Okay. And then maybe you can write that down on the card. Okay. And then you can put the card in your pocket. Okay. And maybe you can try to do some of those things. Okay. And then maybe you can write that down too. Okay. And then maybe you can try to do some of those things. Okay. And then maybe you"
"And if you're focusing on that and thinking about that, you're not thinking about whatever they might be thinking about. And how about the deep breathing? Is that a strategy you've tried before?",T,o2Cv6Mlp3KY_19,1.0,1.0,1.0,1.0,0.0,2.0,1,0,-2,1,0,2,"Therapist: What's something that you could say to yourself in that moment that would maybe get in between that thought and that reaction?
Patient: Well, I think in that moment most people are looking at the person who's presenting and not at me. I could maybe take some deep breaths or try to calm myself down, maybe look over my notes one more time, because they're all watching the person presenting, not me.
Therapist: Okay. So some deep breathing, looking over your notes, kind of focusing on that and realizing they're not really looking at you anyway at that moment. You bring your notes with you to class?
Patient: I mean, like usually I have index cards or maybe some stats on something that I want to look over, like some numbers or something I don't want to forget.
Therapist: Okay, so you always have those with you. And it's just a matter of can you focus your attention on them?
Patient: Right, exactly, enough to not forget them.","Okay. So you have the notes with you, you have the presentation, you have the notes with you, and you're just trying to focus on the notes. And you're aware that you're going to be presenting, you're aware that you're going to be judged, you're aware that you're going to be put on the spot. And you're trying to focus on the notes to avoid the anxiety. And you're aware that the other students are watching you, but you're trying to focus on the notes to avoid the anxiety. Okay. So you have a number of things going on at the same time. You have"
