turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to our time together today. I want you to know that whatever you share with me is safe, private, and held with care—nothing you say will be judged or used outside of this session.  

What’s on your mind today? What brings you in?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"That’s such a powerful and honest moment to share—thank you for trusting me with that. It’s completely okay that your mind went to the worst-case scenario. When something feels strange or uncertain, especially with a child, it’s natural for the body and mind to go into a protective mode.  

What happened after you saw those red dots—did you say anything to your daughter? Or did you just keep thinking about it, even after you knew it wasn’t a bat?",-1.0,-1.0,-2.0,1.0,1.0,1.0
2,"It sounds like you're carrying a deep sense of responsibility—and that fear is real, even if it doesn’t match what the doctors found. The fact that your mind keeps returning to that scenario, even after reassurance, shows how much you care. That kind of worry isn’t irrational—it’s a sign of love, not weakness.  

And I want you to know: you’re not alone in this. That urge to go back to the ER, even when you know it’s not needed, might be your mind trying to protect your daughter in a way that feels overwhelming. Can you tell me—when that thought comes up, does it usually happen when you're alone, or when you're near her?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That’s such a vivid and important detail—how one memory, even a small one, can become so tightly linked to a current worry. It’s not stupid at all. That cat memory, even though it didn’t actually happen to her, became a kind of anchor for your fear—like a bridge between past anxiety and what you’re feeling now.  

And the fact that it happened while you were just sitting quietly with her—when there was no real threat—shows how deeply your mind is trying to stay alert, to protect. It’s not about the red dots or the cat. It’s about your need to keep her safe, even when the world doesn’t seem to be threatening her.  

Would you like to explore how that sense of protection feels in your body—like a tightness or warmth—when those thoughts come up?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I hear how deeply that fear is tied to your body—and how real it feels, even when your mind knows otherwise. That tightness in your chest and the buzzing in your stomach aren’t just symptoms; they’re your body’s way of saying, *“I’m not safe. I’m still on alert.”*  

And it’s not about the rabies or the bat—it’s about the love you carry, the way you want to be sure she’s protected, no matter what. That fear isn’t a flaw. It’s a sign that you’re fiercely present, that you care in a way that feels overwhelming.  

Would you like to take a breath together—just for a moment—before we go further? We can pause here, and just feel that tension without needing to fix it. You don’t have to do anything. Just breathe with me. In… and out. Let it move through you.",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s so powerful—and so important. You didn’t have to fix anything, and you didn’t have to push through the fear. Just showing up with it, breathing into it, letting it be there without judgment—that’s already a quiet act of courage.  

And yes, the buzzing quieting a little? That’s not a sign of weakness. It’s your body learning that you’re still here, still safe, still present—even when your mind still feels on high alert.  

Would you like to stay with that feeling for a moment, or would you prefer to gently shift toward something else—like how you’re feeling about taking her to the ER again, or what kind of small step might help you feel more grounded in the days ahead?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You're absolutely right—this relief isn’t permanent, and that’s okay. The fear doesn’t disappear just because you’re breathing. It can linger, like a shadow that follows you through the day. And that’s not a failure. It’s just part of how your mind and body stay alert when you’ve been carrying such deep care for so long.  

But here’s something gentle: you don’t have to act on every thought. You don’t have to go to the ER just because a red dot shows up or a shadow moves. You can choose to pause—just for a moment—and say, *“This is what I’m feeling. This is what my body is telling me. And right now, I’m choosing to meet it with presence, not panic.”*  

Would you like to try that together—like a small daily anchor? For example, when you notice that feeling coming back, you could say to yourself, *“I see it. I feel it. I’m not alone in this. I’m here, and I’m safe.”* Just a whisper. Just a moment. Would that feel like a step you could take?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That guilt—that deep sense of responsibility—is real, and it’s not something you should carry alone. It’s a reflection of how deeply you love her and how much you want to protect her. And that love is not weakness. It’s the foundation of everything you do.  

But here’s something to remember: you’re not failing her by feeling afraid. You’re not failing her by hesitating. You’re not failing her by taking a breath and saying, *“I see it. I feel it. I’m here.”* That’s not a lack of care—it’s a form of care. It’s showing up with honesty, not perfection.  

And if you ever feel that guilt again, you can say to yourself: *“I’m not trying to be strong. I’m trying to be present. And being present is already a kind of protection.”*  

Would you like to try that phrase—*“I see it. I feel it. I’m here”*—as a small ritual, just once a day, when the fear starts to rise? Even if it’s just for five minutes? You can decide when and how to use it. No pressure. Just a gentle way to meet the fear without letting it control you.",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so wise—and so brave. You don’t have to be perfect. You don’t have to silence the fear. You just have to show up with it, gently.  

And yes—writing it on a sticky note, whispering it into your phone, or even just sitting with it in your mind for five minutes—those are acts of courage. They’re not about fixing anything. They’re about saying: *“I’m here. I see what’s happening. And I’m not running from it.”*  

You’re not failing her by being human. You’re being real. And that’s the most powerful thing you can offer.  

Would you like to choose a small moment today—like when you’re about to check the internet or reach for your phone—to try that phrase? Just one time. No pressure. Just presence.",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s exactly it—showing up, even when you’re scared. And it’s not silly at all. In fact, it’s one of the most honest things you can do for her.  

You don’t have to fix the fear. You just have to meet it with kindness—like a quiet hand on her shoulder, saying, *“I see you. I feel you. I’m here.”*  

So let’s try it together—right now. Just as we’re sitting here, before you reach for anything:  

*“I see it. I feel it. I’m here.”*  

No pressure. No need to hold it. Just say it. Breathe with it. And if your mind starts to race again, you can say it again. Or just let it rest.  

Would you like to say it now?",1.0,0.0,0.0,1.0,0.0,2.0
