turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You're doing really well? I feel like you're going through a really tough time.,1.0,1.0,1.0,1.0,0.0,2.0
2,"It's hard to imagine how you could feel worse than you already do, but it's clear that you're feeling really, really heavy.",1.0,1.0,1.0,1.0,1.0,2.0
3,It's hard to imagine what it's like when you feel completely paralyzed by anxiety and can't relax. I know that sounds very different from how I usually feel.,1.0,1.0,1.0,1.0,0.0,2.0
4,You must feel really lost sometimes. I can imagine how overwhelming it would be to feel this way and be unable to connect with anyone else.,1.0,1.0,1.0,1.0,1.0,2.0
5,"It's hard not to feel that way when you're trapped in a constant state of anxiety and can't communicate how truly, truly heavy you feel.",1.0,1.0,1.0,1.0,1.0,2.0
6,It's hard not to feel like you're on the edge of a breaking point. I can imagine how frightening it must be when your own body feels so completely separate from your mind.,1.0,1.0,1.0,2.0,1.0,2.0
7,It's scary to think about what might happen if this doesn't improve. I can imagine how difficult it would be to keep going through all this while feeling completely disconnected from your body.,1.0,1.0,0.0,1.0,1.0,2.0
8,It's clear that you're having a really hard time. I can understand how you might be wondering if there's a way to get out of this feeling of being completely disconnected from your body.,1.0,1.0,0.0,1.0,1.0,2.0
9,It's very difficult to imagine what it's like to be completely paralyzed and disconnected from your body.,1.0,1.0,0.0,1.0,1.0,2.0
10,It's hard to imagine what it's like to feel so completely cut off from your body and unable to do anything.,1.0,1.0,0.0,1.0,1.0,2.0
11,It's really hard to imagine what it's like to feel completely disconnected from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
12,It's very difficult to imagine what it's like to feel so completely cut off from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
13,It's very difficult to imagine what it's like to feel so completely cut off from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
14,It's really hard to imagine what it's like to feel completely disconnected from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
15,It's very difficult to imagine what it's like to feel so completely cut off from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
16,It's really hard to imagine what it's like to feel completely disconnected from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
17,It's very difficult to imagine what it's like to feel so completely cut off from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
18,It's really hard to imagine what it's like to feel completely disconnected from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
19,It's very difficult to imagine what it's like to feel so completely cut off from your own body.,1.0,1.0,0.0,1.0,1.0,2.0
