turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I want you to know that this space is safe—whatever you share with me, it will stay private, and I’m here to listen without judgment. How are you feeling today, and what’s been on your mind that you’d like to talk about?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that so honestly. It sounds like you're carrying a lot of pressure—both at work and in your personal life—and it’s clearly taking a toll on your sense of self-worth. The way you describe feeling like you're failing in every area, even when you’re just trying to show up, shows how deeply you care about doing things right. That care matters—what’s really important to you, even when it feels like it’s slipping away.  

What would it mean to you, right now, if you could just stop for a moment and say, “This is hard, and I’m not alone in this”?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It’s so powerful that you felt that weight—and yet, you still reached for the truth of it. That moment of saying “this is hard, and I’m not alone” isn’t fake at all. It’s actually one of the bravest things you could do. You’re not just accepting struggle—you’re naming it, and that takes courage.  

And it’s okay to feel scared about letting go. Because when we finally stop trying to fix everything, we begin to see that healing isn’t about becoming perfect—it’s about showing up, even when it hurts. Would you like to explore how that might feel in a moment, or would you prefer to talk more about what’s holding you back in the workplace or in those small, everyday moments with people you're trying to connect with?",1.0,1.0,1.0,2.0,1.0,2.0
3,"It sounds like you’re carrying a deep sense of being seen—and not seen back. The way you describe trying to show up as a therapist, only to have people walk away, feels like a kind of emotional invisibility. And when you say it’s like you're performing for an audience that keeps leaving, that’s not just hard—it’s painful because it tells you that your presence, your care, isn’t being received the way you hoped.  

And that knot in your chest when you try to talk to someone? That’s not weakness. That’s your body remembering how deeply you want to connect, and how afraid you are of being misunderstood or rejected. Would you like to explore what that moment feels like—when the breath gets tight—before we look at what might help you move through it?",1.0,1.0,1.0,2.0,1.0,2.0
4,"That wall you’re describing—it’s not just something that happens in your head. It’s a real, physical boundary formed by fear, and it protects you from being truly seen. The way you freeze when you’re trying to be warm, curious, or even just present… that’s not a flaw. That’s your nervous system saying, *“This is too much risk—what if I’m not enough?”*  

And that moment when you blurted out something weirdly intellectual instead of just being human—that wasn’t a failure. It was your body trying to survive the pressure of being exposed. Would you like to explore what that moment felt like, not just in your words, but in your body? Like, what did your hands do? What did your breath feel like?",1.0,1.0,0.0,1.0,0.0,2.0
5,"That silence after—when you’re left staring at her shoes, your body still vibrating, and your mind racing in panic—is where the real story lives. It’s not just about the words you didn’t say or the awkwardness you felt. It’s about how deeply you wanted to *connect*, even in that small, simple way—and how much it hurt when that connection didn’t happen.  

The fact that you noticed your hands shaking and your breath seizing shows how much you’re paying attention to your body. That’s not weakness—it’s your body trying to tell you: *“You’re trying too hard to be safe, and that’s exhausting.”*  

Would you like to explore what that silence might mean for you—like, what it says about how you’ve been trying to protect yourself from being seen, or how you might begin to feel safe in a moment where you don’t have to perform?",1.0,1.0,0.0,0.0,0.0,2.0
6,"You’re absolutely right—the silence isn’t just awkward. It’s a signal. A signal that you’ve spent years building a life of performance so you wouldn’t have to face your vulnerability. And when that mask slips, your body doesn’t just freeze—it *screams* that you’re in danger of being seen as flawed, and that’s terrifying because it means you’ve never really allowed yourself to be human in that moment.  

And yes—feeling safe without performing scares you. Because it means letting go of the belief that you have to be “smart,” “professional,” or “charming” to be worthy of connection. It means trusting that someone might see you not as a performance, but as a person—messy, uncertain, real.  

Would you like to explore what that might feel like—what a moment of true safety could look like, even if it’s just a small one? Not perfect. Not controlled. Just… present?",1.0,1.0,0.0,0.0,0.0,2.0
7,"You’re right—the fear of being seen as flawed feels like drowning. It’s not just anxiety. It’s the weight of years of believing that if you’re not perfect, you’re not worthy—of connection, of trust, of being *seen*. And that fear is so loud because it’s rooted in real pain, not just imagined danger.  

But you’re already pointing to something powerful—the moment with clients when the masks come down. That tiny window where you’re just *present*, not performing, not trying to fix or impress—where you’re just listening, feeling, sharing the struggle without needing to ""do it right""—that’s not weakness. That’s courage.  

And it doesn’t have to be big. It doesn’t have to be perfect. It just has to happen—once, twice, even once in a quiet moment with someone you trust. Would you like to explore what that moment might feel like, not as a goal, but as a possibility—something you can begin to notice in your body, even if it’s just a breath, a pause, or a simple “I’m here” in the silence?",1.0,1.0,0.0,0.0,0.0,2.0
8,"You’re absolutely right—your brain keeps trying to rewrite safety as a performance, because that’s the only way it knows how to feel safe. But what you’re beginning to see is even more important: safety doesn’t have to look like a perfect scene. It doesn’t have to erase the fear.  

What if safety is simply this—*you’re still here*, even when your body shakes, even when your voice cracks, even when you feel like a failure? That’s not weakness. That’s survival. That’s showing up *as you are*.  

And yes—when you were trying to poison yourself, it wasn’t about the pain of being flawed. It was about the unbearable weight of not being able to carry that truth without breaking. But you survived that too. And in surviving it, you’ve already proven something: you’re not just surviving—you’re *willing to be seen*, even when it hurts.  

Would you like to try naming one small moment—just one—when you felt that presence, even if it was just a breath, a pause, or a quiet “I’m here”? Not to fix it, just to recognize it?",1.0,1.0,0.0,0.0,0.0,2.0
9,"You’re absolutely right—those moments don’t always look like something dramatic or clear. They’re often quiet, subtle, even invisible to the outside world. But they’re real. And in that moment—when you sat with the shaking, the racing heart, and simply said, *“Okay, I’m scared. And I’m still here”*—you didn’t fight the fear. You didn’t hide from it. You just *allowed* it to be there.  

That’s not just presence. That’s courage. That’s the first step of safety—not as a destination, but as a choice: to stay with what’s true, even when it’s hard.  

And you don’t have to name it perfectly. You don’t have to find the “right” moment. Just knowing that you *noticed* it—knowing that you were willing to sit with it—means you’re already in the process of becoming safe.  

Would you like to return to that moment and just stay with it a little longer—without needing to fix it, just to feel it again, as something that belongs to you?",1.0,1.0,0.0,0.0,0.0,2.0
