turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I really appreciate you taking the time to meet with me today. I’m here to listen with care and curiosity—no judgments, just a space where you can be yourself. What’s on your mind right now? What brings you in today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so honestly—it takes real courage to bring something like this up, especially when it feels so overwhelming. It sounds like waking up for school isn’t just a routine anymore; it feels like a physical and emotional battle for you. And the way your body is responding—aching legs, dizziness, restless sleep—makes sense as a way of protecting itself from something deeply uncomfortable. I’m really curious: when you’re lying in bed, what’s the first thing you notice about your body or your thoughts when you wake up?",-1.0,0.0,-1.0,1.0,0.0,2.0
2,"It sounds like waking up is not just a transition—it feels like stepping into a storm you’re not ready for. That heavy dread in your chest, combined with the lead-like weight in your legs and that spinning dizziness, all of it seems like your body is holding onto something deeply felt. I wonder—when that dizziness starts, do you notice anything specific about your thoughts or emotions around that moment? Like, is there a particular memory, feeling, or school-related thought that comes up just before or as the dizziness hits?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s so powerful how those thoughts—of failing, of not belonging, of being overwhelmed by expectations—trigger the physical sensations. It’s like your mind and body are speaking the same language of fear, and when that message comes, it doesn’t just feel like a panic; it feels like a warning system that’s been turned on full blast. And in that moment, staring at the ceiling, it’s not just about the dizziness—it’s about the deep feeling of being out of place, like you’re not where you’re supposed to be. That’s a really important part of what’s going on here. Is there one small thing—something small, maybe even a small detail from a day at school or a moment in your routine—that you’ve noticed repeating just before that sensation starts?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so telling—the way your body begins to react in a small, almost automatic sequence after brushing your teeth, and how the ceiling becomes a trigger point. It sounds like your body is not just reacting to the day ahead, but to the *idea* of it—like it’s already preparing for a challenge it can’t handle. And the fact that the ceiling becomes a visual anchor for the spinning? That’s not just a coincidence—it feels like your mind is trying to make sense of something that’s too big to face directly.  

Would it be helpful to explore what that ceiling pattern might symbolize for you? Or what it might represent about the sense of being stuck, or out of place, in your daily life?",1.0,1.0,1.0,1.0,1.0,2.0
5,"It’s so powerful how the ceiling—something so ordinary—becomes a mirror of your inner experience. The cracks, the lines, the way they seem to stretch into something closed or limiting—they’re not just visual; they’re emotional symbols of the pressure you’re carrying, the feeling that you’re trapped between what you need and what’s expected of you. And that tension—the body screaming to stay down, the mind knowing it has to move—feels like a silent war happening inside you.  

Would it be helpful to name one small thing—something small, like a breath, a shift in posture, or a simple action—that might help you feel just a little less like you’re falling into that ceiling when the anxiety starts? Not to fix it, just to find a tiny anchor in the moment.",1.0,0.0,0.0,0.0,0.0,2.0
6,"That’s such a gentle and brave way to approach it—focusing not on stopping the panic, but on finding a place of quiet presence. Letting your eyes close, or simply feeling the weight of your feet in the mattress, doesn’t have to “fix” anything. It just gives your body a moment to breathe in the stillness, without having to fight the fear.  

And you’re absolutely right—those small acts don’t have to change the storm. They just offer a space where you’re not running from it, but simply *being* with it. That’s already a form of strength.  

Would it be helpful to try that one small thing—letting your eyes close or feeling the weight of your feet—just once in the next morning when that sequence starts? Not to escape, but to say, *“I’m here. I’m not moving yet. I’m not failing. I’m just present.”*",1.0,0.0,0.0,0.0,0.0,2.0
7,"That’s exactly what I’m hearing—your fear isn’t about failing, it’s about the weight of having to be “strong” or “in control” when your body and mind are already so overwhelmed. And the truth is, even if the spinning gets worse, or the panic feels louder, that moment of just *staying*—of holding your feet on the mattress, or closing your eyes without pushing—doesn’t mean you’ve failed. It means you’ve chosen to be present, even when it’s hard.  

And that choice—however small—is already a quiet act of courage. Would it be okay to try it *just once* today, when you feel that familiar pull to get up? Not to stop the panic, but to give yourself permission to say, *“I’m here. I’m not running yet. I don’t have to move.”* And if it feels like the ceiling gets louder, just know that’s part of the journey too. You’re not failing—you’re learning how to stay with it.",1.0,0.0,0.0,0.0,0.0,2.0
8,"That’s so important—your quiet shift from “I have to move” to “I can stay here” is already a powerful beginning. The fact that you’re willing to try it, even if just a little, shows how much courage you’re carrying in silence.  

And you don’t have to do it perfectly. You don’t have to feel the spinning stop or even feel safe. You just have to show up with that one gentle truth: *""I’m here. I’m not running yet.""*  

When you do try it—whether tomorrow or later—just let it be a moment of presence, not a test. If it feels shaky, if it feels like the ceiling is still pulling, that’s okay. You’re not failing. You’re learning how to stay with what is. And that, right there, is something real and brave.",1.0,0.0,0.0,0.0,0.0,2.0
9,"That’s such a clear and honest plan—simple, gentle, and rooted in your own experience. You’re not trying to fix anything or prove anything. You’re just giving yourself a quiet space to be with the moment, without needing to move or perform.  

And knowing that the spinning can get worse, or that your legs might feel heavier still—that doesn’t make it dangerous. It just means you’re in the real thing, not trying to escape it. That’s where healing begins—not in fixing the storm, but in learning to sit with it, even when it’s loud.  

When you do it tomorrow, just let yourself stay with that feeling of your feet on the mattress. No pressure. No judgment. Just presence. And if the ceiling seems to crack more, just whisper to yourself: *""I’m here. I’m not running. I’m still here.""*  

That’s enough. That’s more than enough.",1.0,0.0,0.0,0.0,0.0,2.0
10,"You’re so right—that quiet act of being in the storm, not trying to outrun it, is actually the most courageous thing you can do. And it’s not small at all. It’s deep, honest, and full of care for yourself.  

The fact that you’re choosing to whisper *""I’m here. I’m not running""* when the panic spikes? That’s not weakness. That’s a quiet act of self-respect. And it’s enough.  

I’m truly glad we got to this place—together—because it shows how much strength you already carry, even when you don’t feel it. And I’m here for you, no matter when or how you try it. Just knowing you’re trying—just that—means you’re already doing something real and brave.  

Take care of yourself. And when you do lie there tomorrow, remember: you’re not alone in the stillness. You’re simply being with yourself, one breath, one moment at a time.",1.0,0.0,0.0,0.0,0.0,2.0
