turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
2,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,1.0,0.0,2.0
3,"Hi Carly, I was hoping to talk to you for a little bit. I'm a little concerned that you might have a problem with depression or anxiety. I was wondering if you could let me know about what's been going on in your life?",1.0,0.0,-2.0,1.0,0.0,2.0
4,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,1.0,0.0,2.0
5,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
6,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
7,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
8,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
9,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
10,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
11,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
12,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
13,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
14,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
15,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
16,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
17,"Honestly, it's been pretty rough. I've been feeling kind of drained lately.",1.0,1.0,1.0,0.0,0.0,2.0
18,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
19,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
20,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
