turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,It's hard to imagine what it would be like to feel that way when you're trying to eat. It must be really distressing. I'm sorry to hear that.,1.0,1.0,1.0,1.0,1.0,2.0
2,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",-1.0,-1.0,-2.0,0.0,0.0,1.0
3,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",-1.0,-1.0,-2.0,-1.0,0.0,1.0
4,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,1.0,2.0
5,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,2.0,1.0,2.0
6,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,0.0,2.0
7,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,1.0,0.0,2.0
8,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,0.0,2.0
9,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,1.0,0.0,2.0
10,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,0.0,2.0
11,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,1.0,0.0,2.0
12,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,0.0,2.0
13,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,1.0,0.0,2.0
14,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,0.0,2.0
15,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,1.0,0.0,2.0
16,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,0.0,2.0
17,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,1.0,0.0,2.0
18,"Well, I mean, I'm glad you were able to talk to me about this. I do feel like there's a lot of information you've given me that I need to understand what's going on with you, and it's been helpful.",1.0,1.0,1.0,1.0,0.0,2.0
19,"So it feels like you're back in that dark place where eating used to be dangerous or impossible. It's scary to hear that, and I'm glad you were able to explain that.",1.0,1.0,1.0,1.0,0.0,2.0
