turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’d like to take a moment to just breathe with you and create a space where you feel safe to share whatever’s on your mind. I’m here to listen without judgment, and to honor whatever you’re carrying today.  

What brings you in today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that—your words carry so much truth and warmth. It’s completely valid that even after a moment of connection and joy, the old fears still echo, like echoes in a quiet room.  

It sounds like you’re holding space for both the relief and the lingering tension—both the love you felt with your husband and the deep-seated fear that still lives in your body. That’s not a weakness—it’s a sign you’re deeply aware, and that awareness is already a form of strength.  

What would it mean, for you, to just *be* with that fear today—without trying to push it away or fix it?",-1.0,-1.0,-2.0,0.0,0.0,1.0
2,"I can feel how much that voice still carries weight—how it’s not just a memory, but something that lives in the quiet moments, especially when you’re alone.  

And it’s so brave of you to say that even now, when you’re with your husband and feeling safe, that voice still whispers. That doesn’t mean you’re broken—it means you’ve carried this pain for a long time, and you’re still trying to hold your ground.  

What would it feel like, if for just five minutes, you could sit with that voice—without fighting it, without pushing it away—and just let it be there, like a shadow in the room? Not to change it, just to notice it, and then breathe through it?",1.0,1.0,-2.0,1.0,1.0,2.0
3,"It’s completely understandable that you’re wondering what happens *after*—because that’s where the real work begins.  

The shadow doesn’t vanish just by being seen. It doesn’t disappear. But when you sit with it without fighting, you’re not giving it power—you’re creating space. And in that space, your body can finally rest, even if just for a moment.  

And if it waits? That’s okay. It’s not a failure. It’s just part of the story. You’re not trying to erase it—you’re learning to carry it, gently, like a friend who’s been silent for years.  

Would it be helpful to try that five-minute pause today—just to see what happens when you let it sit there, without needing to change it? Or would you want to explore something else first?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I hear how deeply you’re afraid of what might happen *after*—and that fear isn’t weak, it’s just human. It makes sense that you’d want a safety net, not because you’re avoiding the work, but because you’ve been carrying this for so long and your body still remembers how it felt to be overwhelmed.  

What if, instead of trying to ""be with"" it all at once, we start small—just with a moment of stillness, and then a gentle return to your body’s rhythm? Like, you could sit with that voice for five minutes, and when it feels heavy or loud, you simply return to your breath. Not to fix it, just to notice: *“I’m here. I’m not running. I’m not fighting. I’m just breathing.”*  

And if it comes back later? That’s not a failure. It’s just part of the journey. You’re not trying to make it go away—you’re learning to meet it, again and again, without losing yourself.  

Would you like to try that—just a small pause today, with your breath as your anchor? And if it feels too much, we can pause and come back to it another time?",1.0,0.0,1.0,1.0,0.0,2.0
5,"That’s so wise—and so brave—to name it: *“I’m here”* as a quiet promise to yourself.  

And yes, if you start feeling too much, you don’t have to do anything. Just say, *“Stop,”* and return to your breath. That’s not a failure. That’s just your body and mind saying, *“I need to rest.”* And that’s perfectly okay.  

You’re not trying to conquer the shadow—you’re learning to walk beside it, with your breath as your compass.  

Would you like to try that small pause today? Just five minutes, with your breath as your anchor, and no pressure to stay in it or move through it? I’ll be here with you, just listening, whenever you need to come back.",1.0,0.0,1.0,1.0,0.0,2.0
6,"Absolutely. That’s exactly what we’re doing—small, gentle, and safe.  

You’re not trying to fix anything. You’re just showing up with your breath, and that’s already a form of courage.  

So, let’s begin:  
Take a deep breath in through your nose… and slowly let it out through your mouth.  
Notice how your body feels right now—just as it is.  

If the voice comes in, or if you feel the old tension in your chest, just say to yourself: *“I’m here. I’m safe. I’m breathing.”*  

And if it gets loud or heavy—no need to push it away. Just say, *“Stop,”* and return to your breath.  

We’re not racing through anything. We’re just walking together, slowly, gently.  

Would you like to go ahead with that now? Or would you prefer to pause and come back when you're ready?",1.0,0.0,1.0,1.0,0.0,2.0
7,"That’s so powerful—how clearly you’re naming what’s happening, without needing to change it.  

It sounds like that old voice is still there, whispering, but now you’re not running from it. You’re sitting with it, and in that stillness, you’re holding space for it—without needing to fight, or fix, or escape.  

And it’s true—this feels different. Not because the fear has vanished, but because you’ve chosen to meet it *as it is*, not as something to be defeated. That shift—just sitting in the chair instead of being strapped down—it’s already healing.  

Would you like to stay with that breath for a little longer? Or would you prefer to gently return to your normal rhythm now—just noticing how your body feels, without pressure to move? You’re in control. And you’re doing it beautifully.",1.0,0.0,1.0,1.0,0.0,2.0
8,"That’s such a quiet but profound shift—feeling the difference between being *strapped down* and being *in your body*, choosing to breathe.  

It’s not about silencing the voice. It’s about saying, *“I’m still here. I’m still present. I’m not losing control—because I’m not running.”*  

And yes, another minute—just let the breath move with you, slow and steady. Let the voice stay, and let your hands shake, and let your shoulders settle.  

When it feels like the weight is just a little lighter, you can say to yourself: *“I’m here. I’m breathing. I’m safe.”*  

And if it gets louder or heavier—just say *“Stop”* and return. You don’t have to carry it. You just have to be with it, and then gently come back.  

Would you like to keep going with that breath, one more minute? Or would you like to take a small step back and notice how you feel now—without adding more time?",1.0,0.0,1.0,1.0,0.0,2.0
9,"That’s so true—feeling the trembling in your hands, not as a sign of failure, but as a sign of *presence*.  

It’s not numbness anymore. It’s *feeling*. And that’s where healing begins. You’re not just surviving—you’re noticing, you’re witnessing, and you’re choosing to stay.  

So let’s keep going—just one more minute.  
In through your nose…  
Out through your mouth…  
Slow and steady.  

The voice may whisper, “You’re broken,” or “They won’t stop,” but you’re not reacting. You’re simply sitting with it. And in that stillness, you’re holding space for yourself—not to fix it, but to *be* with it.  

And if at any moment it feels too much—just say *“Stop”* and return to your breath.  

You’re not falling. You’re learning to walk on the edge of the cliff—without losing your footing.  

Would you like to go ahead with that final breath? Or would you like to pause and simply notice how you feel now?",1.0,0.0,1.0,1.0,0.0,2.0
