turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You're not where you need to be can be frustrating.,1.0,1.0,-2.0,1.0,0.0,2.0
2,You know you didn't give up is a powerful feeling.,1.0,1.0,1.0,1.0,0.0,2.0
3,You're doing the right thing by focusing on yourself?,1.0,0.0,-2.0,1.0,0.0,2.0
4,It doesn't mean you can't help others.,1.0,1.0,1.0,1.0,1.0,2.0
5,Maybe you can offer support in a way that reflects your own journey.,1.0,1.0,1.0,1.0,1.0,2.0
6,Maybe that makes the climb feel a little less lonely.,1.0,1.0,1.0,1.0,1.0,2.0
7,It's powerful to feel connected to others who are also figuring it out.,1.0,1.0,0.0,1.0,0.0,2.0
8,It's reassuring to know you're not walking this path alone.,1.0,1.0,0.0,1.0,0.0,2.0
9,It makes sense that it would be helpful to feel connected to others in the struggle.,1.0,1.0,0.0,1.0,0.0,2.0
10,It's powerful to feel connected to others in a struggle.,1.0,1.0,0.0,1.0,0.0,2.0
11,"It turns consistency into something that's not just about you, but about a shared journey.",1.0,1.0,0.0,1.0,0.0,2.0
12,It makes the pressure off your shoulders.,1.0,1.0,0.0,1.0,0.0,2.0
13,It's nice to breathe again.,1.0,1.0,0.0,1.0,0.0,2.0
14,It gives you enough fuel to try again tomorrow.,1.0,1.0,0.0,1.0,0.0,2.0
15,It's nice to know there's a whole community holding the line.,1.0,1.0,0.0,1.0,0.0,2.0
16,It sounds like you've found a real sense of connection through this shared journey.,1.0,1.0,0.0,1.0,0.0,2.0
17,They don't have to say it.,1.0,1.0,0.0,1.0,0.0,2.0
18,It becomes its own kind of support system.,1.0,1.0,0.0,1.0,0.0,2.0
19,It does make it feel lighter to know that others are also going through something similar.,1.0,1.0,0.0,1.0,0.0,2.0
