Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Eric, I see you did the homework this week.",T,I1F4hvfRC50_1,0.0,0.0,-2.0,0.0,0.0,2.0,-1,-1,-2,-1,-1,-1,,"Hi, Sherry. I'm your counselor today. Can you tell me how you are doing today?"
That's great. Let me take a look at it. Why don't you walk me through this?,T,I1F4hvfRC50_3,1.0,1.0,1.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: Eric, I see you did the homework this week.
Patient: I did, yeah.","Okay. And how about when you were younger? How about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger, how about when you were younger"
Exactly.,T,I1F4hvfRC50_5,1.0,1.0,1.0,1.0,0.0,2.0,1,0,0,1,0,2,"Therapist: Eric, I see you did the homework this week.
Patient: I did, yeah.
Therapist: That's great. Let me take a look at it. Why don't you walk me through this?
Patient: Okay. So the thing I wrote about, I heard about this job opening for a line cook at this noodle place close to my house. I thought it was something I could actually do. I ended up driving to the place and sitting in the parking lot in my car for a while trying to talk myself into going in, and I ended up just driving back home. When I got back home, I was feeling pretty sad and kind of depressed. I know you said to do these things when my mood changed.","You did a lot of good things today. I'm proud of you. I'd like to take a moment to write down some of the things that you did really well. I see that you wrote about the job opportunity and your feelings about it. You also mentioned that you were sad and depressed, and that you wrote about those feelings. You also mentioned that you were thinking about the opportunity to write about the job opportunity and that you were sad and depressed. You also mentioned that you were thinking about the opportunity to write about the job opportunity and that you were sad and depressed. You also mentioned that you were thinking about the opportunity to write"
"I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?",T,I1F4hvfRC50_7,1.0,0.0,-2.0,1.0,0.0,2.0,-1,-1,-2,0,0,1,"Therapist: Eric, I see you did the homework this week.
Patient: I did, yeah.
Therapist: That's great. Let me take a look at it. Why don't you walk me through this?
Patient: Okay. So the thing I wrote about, I heard about this job opening for a line cook at this noodle place close to my house. I thought it was something I could actually do. I ended up driving to the place and sitting in the parking lot in my car for a while trying to talk myself into going in, and I ended up just driving back home. When I got back home, I was feeling pretty sad and kind of depressed. I know you said to do these things when my mood changed.
Therapist: Exactly.
Patient: So I started trying to get some of those thought things that you wanted. I just don't think I'm going to get the job. There's no way. Why are they going to hire me? So I don't know why I should try. What's the point? It feels like everyone else is going to be more qualified than me. I haven't worked in years, I didn't graduate college. I don't want to just get rejected again.",It's understandable that you'd feel this way. How about when you think about the other side of the coin? What about the possibility that you could get the job?
So which of those thoughts do you want to focus on? Because you had several there.,T,I1F4hvfRC50_9,1.0,1.0,-2.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: That's great. Let me take a look at it. Why don't you walk me through this?
Patient: Okay. So the thing I wrote about, I heard about this job opening for a line cook at this noodle place close to my house. I thought it was something I could actually do. I ended up driving to the place and sitting in the parking lot in my car for a while trying to talk myself into going in, and I ended up just driving back home. When I got back home, I was feeling pretty sad and kind of depressed. I know you said to do these things when my mood changed.
Therapist: Exactly.
Patient: So I started trying to get some of those thought things that you wanted. I just don't think I'm going to get the job. There's no way. Why are they going to hire me? So I don't know why I should try. What's the point? It feels like everyone else is going to be more qualified than me. I haven't worked in years, I didn't graduate college. I don't want to just get rejected again.
Therapist: I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?
Patient: Okay.",So let's start with the evidence for the thought. You said you don't think you're going to get the job. What evidence supports that?
What's the point in trying? That sounds good. So what's the evidence for the thought?,T,I1F4hvfRC50_11,1.0,0.0,0.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Exactly.
Patient: So I started trying to get some of those thought things that you wanted. I just don't think I'm going to get the job. There's no way. Why are they going to hire me? So I don't know why I should try. What's the point? It feels like everyone else is going to be more qualified than me. I haven't worked in years, I didn't graduate college. I don't want to just get rejected again.
Therapist: I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?
Patient: Okay.
Therapist: So which of those thoughts do you want to focus on? Because you had several there.
Patient: I think the 'what's the point in trying'.",Okay. So what's the evidence for the thought that 'what's the point in trying'? And what's the evidence against it?
"Well, let's get this down.",T,I1F4hvfRC50_13,1.0,0.0,-2.0,1.0,0.0,2.0,-1,-1,-2,-1,-1,1,"Therapist: I hear you. So I think you did a great job filling out the three columns. What I'd like to do today is move on to the fourth column, which is the rational response. We want to take an alternative point of view here. To help you do that, there are a couple of questions you can ask yourself. One is, what's the evidence for the thought, and the other is, what's the evidence against the thought?
Patient: Okay.
Therapist: So which of those thoughts do you want to focus on? Because you had several there.
Patient: I think the 'what's the point in trying'.
Therapist: What's the point in trying? That sounds good. So what's the evidence for the thought?
Patient: That's where all the evidence is. I'm unemployed, I'm depressed...",You're unemployed and you're depressed. How about the evidence for 'I'm not worth being friends with'? How about the evidence for 'I'm not worth being a good person'?
"Well, it sounds like you have a lot of evidence supporting the thought. Anything else?",T,I1F4hvfRC50_15,1.0,1.0,1.0,1.0,0.0,2.0,-1,0,-2,1,0,2,"Therapist: So which of those thoughts do you want to focus on? Because you had several there.
Patient: I think the 'what's the point in trying'.
Therapist: What's the point in trying? That sounds good. So what's the evidence for the thought?
Patient: That's where all the evidence is. I'm unemployed, I'm depressed...
Therapist: Well, let's get this down.
Patient: Unemployed, I'm depressed. I just quit anyway. That's what's happened in all my other jobs. I'd probably stop showing up. I don't think I'd do a very good job even if I went. They're just going to pick somebody else. I don't have the energy.","So you're going to stop showing up because you're unemployed, you're depressed, and you don't have the energy. And what's the evidence for thatarry that?"
Right. So let's tackle the other question. What's the evidence against the thought?,T,I1F4hvfRC50_17,1.0,0.0,-2.0,1.0,0.0,2.0,-1,0,-2,1,0,2,"Therapist: What's the point in trying? That sounds good. So what's the evidence for the thought?
Patient: That's where all the evidence is. I'm unemployed, I'm depressed...
Therapist: Well, let's get this down.
Patient: Unemployed, I'm depressed. I just quit anyway. That's what's happened in all my other jobs. I'd probably stop showing up. I don't think I'd do a very good job even if I went. They're just going to pick somebody else. I don't have the energy.
Therapist: Well, it sounds like you have a lot of evidence supporting the thought. Anything else?
Patient: I think that's it. It feels like a pretty solid case to me.",It's a pretty solid case. And you've been working on it for a while. How about when you look at the other side? What about the evidence that would counter the thought?
"Yeah, the evidence against 'what's the point.' It's kind of tough coming up with something. A lot of people when they get depressed have difficulty coming up with evidence opposing that particular thought. It seems like you were able to come up with a lot of evidence supporting the thought. Let's see if we can put our heads together and maybe come up with some evidence against the thought. I can ask you a couple of questions that might help you. Is there a time when you weren't depressed when you went and started working?",T,I1F4hvfRC50_19,1.0,1.0,1.0,1.0,1.0,2.0,-1,0,-2,0,0,2,"Therapist: Well, let's get this down.
Patient: Unemployed, I'm depressed. I just quit anyway. That's what's happened in all my other jobs. I'd probably stop showing up. I don't think I'd do a very good job even if I went. They're just going to pick somebody else. I don't have the energy.
Therapist: Well, it sounds like you have a lot of evidence supporting the thought. Anything else?
Patient: I think that's it. It feels like a pretty solid case to me.
Therapist: Right. So let's tackle the other question. What's the evidence against the thought?
Patient: Evidence that there is a point?","Yeah, what's the evidence that there is a point to the thought?"
