turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're feeling paralyzed and overwhelmed. It's hard to make progress when you can't even get out of bed, and it seems like no matter what you try, you feel stuck in that state.",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're feeling completely stuck and overwhelmed. You have this sense of paralysis and a lack of energy, and it's hard to move forward even with small steps.",1.0,1.0,-2.0,1.0,0.0,2.0
3,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and a lack of energy, and it's hard to move forward even with small steps.",1.0,1.0,1.0,1.0,1.0,2.0
4,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and a lack of energy, and it's hard to move forward even with small steps.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You feel completely stuck and overwhelmed, paralyzed and exhausted. It's hard to move forward, and even trying to break down tasks doesn't help.",1.0,1.0,1.0,1.0,1.0,2.0
6,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
7,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
8,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
9,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
10,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
11,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
12,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
13,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
14,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
15,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
16,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
17,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
18,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
19,"It's clear that you're feeling completely stuck and overwhelmed. You have this sense of being paralyzed and exhausted, and it's hard to move forward even with small steps.",1.0,0.0,0.0,1.0,0.0,2.0
