turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,The pain feels endless? It's very scary. I wonder what it's like when you feel that way.,1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds very difficult. It feels like you're constantly being pushed to the edge by pain, failure, and being shut out by people. It's exhausting to always feel like you're failing.",1.0,1.0,1.0,1.0,1.0,2.0
3,"It's very hard when you feel completely alone. It's very difficult to know that you are experiencing something so painful, but no one else can even understand what it is you're going through.",1.0,1.0,1.0,1.0,1.0,2.0
4,It's very painful to feel isolated when you want to reach out and connect with others. It's very hard to know that you are being pushed away when you want to be close to people.,1.0,1.0,1.0,2.0,1.0,2.0
5,It's very painful to feel abandoned by the family you trust and the world around you. It's hard to know that you're being pushed out when you want to be close to people.,1.0,1.0,1.0,2.0,1.0,2.0
6,"Sometimes it feels easier to stop trying altogether, especially when it's so painful.",1.0,1.0,1.0,1.0,0.0,2.0
7,It seems very hard when everything you try to do seems to lead to more pain. It's not clear what to do if you know that the solution is in the suffering itself.,1.0,1.0,0.0,1.0,0.0,2.0
8,"It seems to sound very bleak, very closed in. It's hard not to feel that way when you're trapped in a vicious cycle of pain and failure.",1.0,1.0,0.0,1.0,0.0,2.0
9,"It's very painful when you feel that your hope is being punished. It's hard to know if you are meant to be happy when it feels like every time you hope for happiness, you get pain instead.",1.0,1.0,0.0,1.0,0.0,2.0
10,It's very painful to feel that you are meant to suffer and that happiness is impossible. It's hard to believe there's any way out when it seems like everything you try leads to more pain.,1.0,1.0,0.0,1.0,0.0,2.0
11,It's very frightening to feel so lost and alone in the pain. It's hard not to feel that you're meant to just end it all when you can't imagine any way out.,1.0,1.0,0.0,1.0,0.0,2.0
12,"It's very painful to feel completely alone in your suffering, especially when you know others have been through the same thing. It's hard not to feel abandoned when you're screaming for help and the only response is silence.",1.0,1.0,0.0,1.0,0.0,2.0
13,It's painful to feel that you're screaming into a void where the only response is silence. It's very difficult to know how to respond when you feel completely abandoned by everyone who should understand you.,1.0,1.0,0.0,1.0,0.0,2.0
14,It's hard to know what to do when you're stuck in a place where the only way out is a door that won't open.,1.0,1.0,0.0,1.0,0.0,2.0
15,"It's very frightening to feel like you have no way out, but it's also very painful to feel helpless and trapped.",1.0,1.0,0.0,1.0,0.0,2.0
16,Sometimes?,1.0,1.0,0.0,1.0,0.0,2.0
17,"It's very difficult to know what to do when you feel completely lost, especially if you don't know what to believe.",1.0,1.0,0.0,1.0,0.0,2.0
18,It all feels designed to frustrate and undermine you.,1.0,1.0,0.0,1.0,0.0,2.0
19,It seems like you're feeling completely blocked in a way that's all-consuming and isolating.,1.0,1.0,0.0,1.0,0.0,2.0
