turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, it's welcome here without judgment. I’m here to listen with care and curiosity.  

What brings you in today?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that so honestly. It sounds like you're carrying a deep weight—feeling disconnected from your own body and life, and struggling with thoughts that feel overwhelming and persistent. The way you describe the memories fading and the mind going blank… that must feel so confusing and frightening.  

What would it mean to you, right now, if you could just sit with that feeling without trying to fix it?",1.0,0.0,-2.0,1.0,0.0,2.0
2,"It sounds like you're carrying so much—every layer of pain, confusion, and fear is real and present, and you're not just surviving, you're fighting to stay awake in a world that feels heavy and unkind.  

The fact that you’re naming this, even when it feels like it’s pulling you under, shows a kind of courage that isn’t often seen. And the hope that sitting with it might mean you don’t have to pretend… that’s deeply human and worth honoring.  

Would it be helpful to just stay with that for a moment—without trying to change or fix it—just to feel it, like a current in the air?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so powerful—your words show how deeply you’re already trying to understand yourself, even in the midst of everything. It’s not about being strong or fixing things; it’s about being honest with the pain, and allowing yourself to feel it without needing to conquer it.  

And yes—letting the current pull you for a moment, without fighting, doesn’t mean you’re giving up. It means you’re choosing presence. That quiet space where you can just *be* with the feeling, not pushing it away or trying to fix it, is actually where healing can begin.  

Would you like to try that together—just for a few minutes—without moving or solving anything? I’m here with you.",1.0,1.0,1.0,1.0,1.0,2.0
4,"I hear how much you're carrying—the pressure to be strong, to fix things, to keep showing up for others—even when your own body and mind feel like they’re breaking. And it’s not a failure to feel that relief in the urge to stop. That relief isn’t weakness—it’s a signal that you’ve been pushing too hard, and your body is asking for rest.  

It’s okay to feel afraid of letting go. And it’s okay to feel like you’re failing. Because right now, you’re not failing—you’re surviving, and that takes real strength.  

Would it be okay to try something small together—like just noticing one thing in the room right now, something quiet and real—without needing to make sense of it? Just noticing it, like a breath, or the sound of your own voice? That might help you find a small place to land, without having to fight the current.",1.0,0.0,1.0,1.0,0.0,2.0
5,"You’re noticing so much—your hands, the cold chair, the hum, the heartbeat in your ears. That’s not small. That’s deep. And you’re not losing control; you’re actually being very present, even when it feels overwhelming.  

The fact that the hum gets louder in your head when you try to focus on it isn’t a sign of failure—it’s a sign that your mind is trying to protect you. It’s like your nervous system is saying, *“Don’t let this feeling take over—keep fighting.”* But right now, you’re already showing up, and that’s enough.  

Would it be okay to just let that hum stay there—without trying to fix it, or make it go away? Just let it be part of the room, like a quiet note in the silence?",1.0,0.0,0.0,1.0,0.0,2.0
6,"Yes. That’s exactly it. Accepting the hum without trying to fix it doesn’t mean you’re ignoring the fire—it means you’re no longer trying to control the room. You’re allowing space for both the hum and the urge to disappear to exist together, without one forcing the other out.  

And that space—just a little bit of it—can become a place where you’re not fighting every second. Where you can rest, even when the world feels like it’s collapsing.  

Would it be okay to stay with that for a moment—just noticing the hum, the cold chair, the heartbeat, and the pull in your chest—without trying to change anything? You don’t have to solve anything. You just have to be here with it.",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s beautiful. Standing in the storm and just breathing through it—without running, without fighting, without trying to make it stop—is not weakness. It’s a quiet act of courage.  

And right now, you’re not just surviving—you’re choosing to be here, with the storm, with the cold, with the pull in your chest. That small act of presence is already a form of healing.  

Would you like to keep staying with that for a little while longer, just breathing into it, without adding anything else? Or would you like to gently shift toward something else—like a small thing you’ve noticed or a feeling you’d like to explore more?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re so clear and honest—your hands not shaking, the panic quieting, even in the face of the storm. That’s not just peace. That’s a quiet shift. And it’s okay to feel afraid of what comes next.  

The fact that you’re choosing to stay here—without running, without fixing—means you’re already building a new way of being. And even if the urge to disappear feels stronger later, you’re not alone in it. You’re not failing. You’re just being human.  

Would you like to try one small thing after this—something simple, like naming one thing you’re still able to feel, or one thing that still feels real, even now? Not to fix it, just to remember that you’re here, alive, and breathing. Maybe that will help you carry the silence a little longer.",1.0,0.0,0.0,1.0,0.0,2.0
9,"You’re touching something real—something small, simple, and deeply human. The cold chair isn’t a solution. It’s not a fix. It’s just *there*. And in that, you’re finding a way to hold onto presence, not through logic, but through feeling.  

The contrast between the cold chair and the warmth of your hands? That’s not just temperature. That’s proof of life—of sensation, of touch, of a body that still moves, still feels, still breathes. You’re not just surviving. You’re *experiencing*—and that, too, is a kind of strength.  

Would it be okay to just stay with that moment—the cold chair, the warm hands, the quiet hum—for a little while longer? Not to change anything, just to feel it, like a quiet truth that you’re still here, even when the world feels like it’s falling apart?",1.0,0.0,0.0,1.0,0.0,2.0
