Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi, Kyle. How you doing today?",T,yNqaUMiU0Dk_1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,,"Hi, Sherry. Can you tell me how things are going?"
Not bad. Thanks for asking. What brings you in?,T,yNqaUMiU0Dk_3,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,"Therapist: Hi, Kyle. How you doing today?
Patient: I'm doing all right. Not doing too bad. How are you, Dr. Galante?","I'm doing well, thanks for asking. How things are going this week?"
So you came into therapy today because your girlfriend pressured you.,T,yNqaUMiU0Dk_5,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,"Therapist: Hi, Kyle. How you doing today?
Patient: I'm doing all right. Not doing too bad. How are you, Dr. Galante?
Therapist: Not bad. Thanks for asking. What brings you in?
Patient: My girlfriend saw your ad for smoking cessation and she's been nagging me for weeks to come talk to you, so I figured I would just come in so she'd stop bugging me.",You came in because your girlfriend asked you to?
So you weighed the cost-benefit and decided to come in.,T,yNqaUMiU0Dk_7,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Hi, Kyle. How you doing today?
Patient: I'm doing all right. Not doing too bad. How are you, Dr. Galante?
Therapist: Not bad. Thanks for asking. What brings you in?
Patient: My girlfriend saw your ad for smoking cessation and she's been nagging me for weeks to come talk to you, so I figured I would just come in so she'd stop bugging me.
Therapist: So you came into therapy today because your girlfriend pressured you.
Patient: Yeah, it's easier for me to spend 45 minutes with you compared to hours of her nagging me through the week.",It makes sense. How's it feel to spend time with your girlfriend?
Her goal would be for you to stop smoking. Tell me what your goal is.,T,yNqaUMiU0Dk_9,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,"Therapist: Not bad. Thanks for asking. What brings you in?
Patient: My girlfriend saw your ad for smoking cessation and she's been nagging me for weeks to come talk to you, so I figured I would just come in so she'd stop bugging me.
Therapist: So you came into therapy today because your girlfriend pressured you.
Patient: Yeah, it's easier for me to spend 45 minutes with you compared to hours of her nagging me through the week.
Therapist: So you weighed the cost-benefit and decided to come in.
Patient: Yeah, it's covered by insurance. It's just 45 minutes of my time.",It makes sense. How about your girlfriend? How is she doing?
So you don't have a goal of quitting smoking?,T,yNqaUMiU0Dk_11,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: So you came into therapy today because your girlfriend pressured you.
Patient: Yeah, it's easier for me to spend 45 minutes with you compared to hours of her nagging me through the week.
Therapist: So you weighed the cost-benefit and decided to come in.
Patient: Yeah, it's covered by insurance. It's just 45 minutes of my time.
Therapist: Her goal would be for you to stop smoking. Tell me what your goal is.
Patient: I don't really have one. I don't think smoking's that bad. It's never bothered me. My only goal is to have her stop bugging me.",So you don't see smoking as a problem. Do you see the problem with her nagging you?
Can you tell me about some of the other good things about smoking?,T,yNqaUMiU0Dk_13,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,"Therapist: So you weighed the cost-benefit and decided to come in.
Patient: Yeah, it's covered by insurance. It's just 45 minutes of my time.
Therapist: Her goal would be for you to stop smoking. Tell me what your goal is.
Patient: I don't really have one. I don't think smoking's that bad. It's never bothered me. My only goal is to have her stop bugging me.
Therapist: So you don't have a goal of quitting smoking?
Patient: Not at all. There's so many good things about smoking. It gives me one-on-one time with my boss at work, so that makes it completely worth it.",It sounds like you're really enjoying smoking. Do you have any thoughts about quitting?
"So the way you're presenting it, smoking has been a positive thing in your life.",T,yNqaUMiU0Dk_15,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Her goal would be for you to stop smoking. Tell me what your goal is.
Patient: I don't really have one. I don't think smoking's that bad. It's never bothered me. My only goal is to have her stop bugging me.
Therapist: So you don't have a goal of quitting smoking?
Patient: Not at all. There's so many good things about smoking. It gives me one-on-one time with my boss at work, so that makes it completely worth it.
Therapist: Can you tell me about some of the other good things about smoking?
Patient: It's how I meet people. I carry cigarettes but no lighter, so I have to ask for a light. It's a way in to meet groups of people.",It's a way in to meet people. And you mentioned it's a way to meet people at work. Can you tell me about how it's a way to meet people at work?
Are there any negative aspects to smoking?,T,yNqaUMiU0Dk_17,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: So you don't have a goal of quitting smoking?
Patient: Not at all. There's so many good things about smoking. It gives me one-on-one time with my boss at work, so that makes it completely worth it.
Therapist: Can you tell me about some of the other good things about smoking?
Patient: It's how I meet people. I carry cigarettes but no lighter, so I have to ask for a light. It's a way in to meet groups of people.
Therapist: So the way you're presenting it, smoking has been a positive thing in your life.
Patient: Yeah, and I only do it socially.","It's a social thing. And you mentioned the health risks, you mentioned the financial risk, but you said the social risk is the least of your worries. You mentioned the health risk is the most important. Can you tell me about the health risk?"
So you don't seem like you're too worried about the negative aspects.,T,yNqaUMiU0Dk_19,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Can you tell me about some of the other good things about smoking?
Patient: It's how I meet people. I carry cigarettes but no lighter, so I have to ask for a light. It's a way in to meet groups of people.
Therapist: So the way you're presenting it, smoking has been a positive thing in your life.
Patient: Yeah, and I only do it socially.
Therapist: Are there any negative aspects to smoking?
Patient: Everyone knows it's unhealthy, but I don't smoke a lot. I might have a heavy cough on Mondays and Tuesdays, but it's usually gone by Wednesday.",You mentioned it's a social thing. Can you tell me about the social aspect?
"On a scale of one to ten, where one is not important and ten is extremely important, how important is it to you to stop smoking?",T,yNqaUMiU0Dk_21,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,"Therapist: So the way you're presenting it, smoking has been a positive thing in your life.
Patient: Yeah, and I only do it socially.
Therapist: Are there any negative aspects to smoking?
Patient: Everyone knows it's unhealthy, but I don't smoke a lot. I might have a heavy cough on Mondays and Tuesdays, but it's usually gone by Wednesday.
Therapist: So you don't seem like you're too worried about the negative aspects.
Patient: It's unhealthy, but the benefit of being able to meet new people through smoking is better than giving it up for health reasons.",It sounds like you're more concerned about the social aspect than the health risks. Do you have any other questions?
So not particularly important.,T,yNqaUMiU0Dk_23,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Are there any negative aspects to smoking?
Patient: Everyone knows it's unhealthy, but I don't smoke a lot. I might have a heavy cough on Mondays and Tuesdays, but it's usually gone by Wednesday.
Therapist: So you don't seem like you're too worried about the negative aspects.
Patient: It's unhealthy, but the benefit of being able to meet new people through smoking is better than giving it up for health reasons.
Therapist: On a scale of one to ten, where one is not important and ten is extremely important, how important is it to you to stop smoking?
Patient: Maybe like a two. It would be cool to get rid of the cough, but that's not worth everything else I get from smoking.","It's important to you, but not as important as the benefits you mentioned. Do you know about any other risks of smoking?"
"On that same scale, how confident are you that you could quit smoking?",T,yNqaUMiU0Dk_25,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,"Therapist: So you don't seem like you're too worried about the negative aspects.
Patient: It's unhealthy, but the benefit of being able to meet new people through smoking is better than giving it up for health reasons.
Therapist: On a scale of one to ten, where one is not important and ten is extremely important, how important is it to you to stop smoking?
Patient: Maybe like a two. It would be cool to get rid of the cough, but that's not worth everything else I get from smoking.
Therapist: So not particularly important.
Patient: No.",It's not important to you. Do you smoke a lot?
"So stopping smoking is not important to you, but you're fairly confident you could if you decided to.",T,yNqaUMiU0Dk_27,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: On a scale of one to ten, where one is not important and ten is extremely important, how important is it to you to stop smoking?
Patient: Maybe like a two. It would be cool to get rid of the cough, but that's not worth everything else I get from smoking.
Therapist: So not particularly important.
Patient: No.
Therapist: On that same scale, how confident are you that you could quit smoking?
Patient: Probably like an eight or a nine. I gave it up for a month recently and didn't even crave it, but I missed the social aspect, so I started again.",So you've tried quitting before. What were your thoughts about quitting when you tried?
"Based on that, what would be a goal? How could we spend this time so it would be productive?",T,yNqaUMiU0Dk_29,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,"Therapist: So not particularly important.
Patient: No.
Therapist: On that same scale, how confident are you that you could quit smoking?
Patient: Probably like an eight or a nine. I gave it up for a month recently and didn't even crave it, but I missed the social aspect, so I started again.
Therapist: So stopping smoking is not important to you, but you're fairly confident you could if you decided to.
Patient: Yeah.","It sounds like quitting smoking is not important to you, but you're confident you could if you decided to. Do you have any thoughts about whether quitting is important to you?"
To help her understand why smoking works for you. Any other relational goals?,T,yNqaUMiU0Dk_31,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: On that same scale, how confident are you that you could quit smoking?
Patient: Probably like an eight or a nine. I gave it up for a month recently and didn't even crave it, but I missed the social aspect, so I started again.
Therapist: So stopping smoking is not important to you, but you're fairly confident you could if you decided to.
Patient: Yeah.
Therapist: Based on that, what would be a goal? How could we spend this time so it would be productive?
Patient: I guess it would help to figure out ways to explain to my girlfriend the things I get from smoking so she realizes why I do it.","It would be productive to spend time thinking about how you could explain to your girlfriend the things you get from smoking. We can talk about it next week and see how it goes. Thanks Brooke, thanks Lisa."
Productive communication and productive arguments.,T,yNqaUMiU0Dk_33,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,"Therapist: So stopping smoking is not important to you, but you're fairly confident you could if you decided to.
Patient: Yeah.
Therapist: Based on that, what would be a goal? How could we spend this time so it would be productive?
Patient: I guess it would help to figure out ways to explain to my girlfriend the things I get from smoking so she realizes why I do it.
Therapist: To help her understand why smoking works for you. Any other relational goals?
Patient: We've been fighting a lot because of the smoking. Maybe figure out ways to communicate better or have productive fights that don't last for days.",It sounds like you want to work on the relationship side. How about the smoking side? What about quitting?
"One goal would be to illustrate the advantages of smoking to your girlfriend, and another would be to work on your relational style so you can end an argument without feeling like you're at a stalemate.",T,yNqaUMiU0Dk_35,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Based on that, what would be a goal? How could we spend this time so it would be productive?
Patient: I guess it would help to figure out ways to explain to my girlfriend the things I get from smoking so she realizes why I do it.
Therapist: To help her understand why smoking works for you. Any other relational goals?
Patient: We've been fighting a lot because of the smoking. Maybe figure out ways to communicate better or have productive fights that don't last for days.
Therapist: Productive communication and productive arguments.
Patient: Right, yeah.",It sounds like you have a lot of good goals here. How about we talk about how to work on these goals next week? We can see how things are going and make any changes if needed. Does that sound good?
