turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You feel incredibly tired.,1.0,1.0,1.0,1.0,1.0,2.0
2,"You're feeling trapped in a cycle that's hard to break. The exhaustion, the heavy feeling, the drinking, the debt, the political uncertainty, and now the army draft—it all seems overwhelming.",1.0,1.0,1.0,1.0,1.0,2.0
3,You're wondering if you're doing anything right.,0.0,0.0,-2.0,0.0,0.0,2.0
4,You feel lucky to even have a life.,1.0,1.0,1.0,1.0,1.0,2.0
5,You're lucky to have thought about it enough to write this post.,1.0,1.0,1.0,1.0,1.0,2.0
6,You wish you could just stop it all.,1.0,1.0,1.0,1.0,1.0,2.0
7,You think about ways to end up dead.,1.0,0.0,0.0,1.0,0.0,2.0
8,They seem to be stronger now than before.,1.0,0.0,0.0,1.0,0.0,2.0
9,You feel the same way now.,1.0,0.0,0.0,1.0,0.0,2.0
10,It's been hard to stay focused on what's going on.,1.0,0.0,0.0,1.0,0.0,2.0
11,Sometimes you wonder if you're experiencing a psychotic episode.,1.0,0.0,0.0,1.0,0.0,2.0
12,It seems overwhelming.,1.0,0.0,0.0,1.0,0.0,2.0
13,You feel separated from your own life.,1.0,0.0,0.0,1.0,0.0,2.0
14,You feel like they're not really there.,1.0,0.0,0.0,1.0,0.0,2.0
15,You feel broken.,1.0,0.0,0.0,1.0,0.0,2.0
16,You think about the pieces being too broken to be fixed.,1.0,0.0,0.0,1.0,0.0,2.0
17,Even just feel normal again?,1.0,0.0,0.0,1.0,0.0,2.0
18,You try to pretend?,1.0,0.0,0.0,1.0,0.0,2.0
19,Part of you hopes it will end.,1.0,0.0,0.0,1.0,0.0,2.0
