turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You feel like you're in a prison.,-1.0,-1.0,-2.0,0.0,0.0,1.0
2,"It's very tough to be stuck in a place where you can't afford to go, especially when you have a 17-year-old son who wants to do things that cost money. It's frustrating.",1.0,1.0,1.0,1.0,1.0,2.0
3,So it sounds like you're feeling completely trapped and overwhelmed. You're stuck in a situation where you feel completely helpless and hopeless. It's very difficult to try to envision how anything could change.,1.0,1.0,1.0,1.0,1.0,2.0
4,It does sound very difficult. It's hard to imagine a way forward that's not just more of the same prison-like situation.,1.0,1.0,1.0,1.0,1.0,2.0
5,"You feel trapped in this way, but it's very difficult to imagine how anything could change.",1.0,1.0,1.0,1.0,1.0,2.0
6,"You're the one who sees the trap, but it's very difficult to imagine how to get out of it.",1.0,1.0,1.0,1.0,1.0,2.0
7,"The hopelessness is very clear. It's hard to imagine a way out, and it's very difficult to find energy to try to make something happen.",1.0,1.0,0.0,1.0,0.0,2.0
8,"Sometimes you wonder if it would be better to just stay that way, in the old way.",1.0,1.0,0.0,1.0,0.0,2.0
9,It's clear you're struggling with the question of whether it might be better to just stay that way in the past.,1.0,1.0,0.0,1.0,0.0,2.0
10,It's a very difficult situation to be in.,1.0,1.0,0.0,1.0,0.0,2.0
11,You feel very heavy.,1.0,1.0,0.0,1.0,0.0,2.0
12,You're feeling very heavy and overwhelmed.,1.0,1.0,0.0,1.0,0.0,2.0
13,It's very scary to feel like you're on the edge of a cliff.,1.0,1.0,0.0,1.0,0.0,2.0
14,You feel trapped between wanting to jump and needing to stay for your family.,1.0,1.0,0.0,1.0,0.0,2.0
15,You feel like you're holding back something terrible.,1.0,1.0,0.0,1.0,0.0,2.0
16,You don't think you can stay strong.,1.0,1.0,0.0,1.0,0.0,2.0
17,You're going to burn out.,1.0,1.0,0.0,1.0,0.0,2.0
18,You're trying to hold up a sky.,1.0,1.0,0.0,1.0,0.0,2.0
19,The air around you is thinning.,1.0,1.0,0.0,1.0,0.0,2.0
