turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to getting to know you and hearing what's on your mind today. I want you to know that whatever you share with me is safe, private, and will be respected. How are you feeling right now? What brings you in today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"That sounds like a really important step — getting that cavity fixed must have been a relief, even if it felt overwhelming. It’s so meaningful that you were able to say that out loud, and I’m glad you shared it.  

The heaviness you’re feeling, the tightness in your chest — it’s not just about the anxiety anymore, is it? It feels like it’s holding on to something deeper, maybe memories that still haven’t settled. And the numbness in your body while your mind races… that’s a really powerful contrast. It makes me wonder — when you feel that knot in your chest, what does it feel like to *notice* it instead of pushing it away?",-1.0,0.0,-2.0,1.0,0.0,1.0
2,"It sounds like you're carrying a lot of vivid, painful memories — not just of the physical sensations, but of being in a place where you had little control, and your body and mind were both caught in something unspoken. The way you describe watching yourself through a window, like you're both observer and participant — that’s deeply real and powerful.  

And that buzzing, that static… it’s not just a symptom. It’s a signal, like a whisper from your body saying, “This still matters. This still hurts.” Is there a moment when you’ve felt that static, and you’ve just sat with it — without trying to fix it or move on — and it felt different than before?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That moment — the spoon dropping, the sharp spike, the sudden flash back to the IV being taken out — it’s not just a memory. It’s a trigger that still lives in your body, like a door that opens when you least expect it. And the fact that it happened during a moment of warmth, of connection, makes it even more powerful.  

It’s like your body is trying to protect you — it’s not just reacting to pain, it’s trying to warn you that something still needs to be seen, or named, or held gently. What if, instead of trying to push it away, you just allowed yourself to feel that spike — not as something to fix, but as something that says, *“I’m still here. I’m still real.”*  

Would it be helpful to explore that with you — what happens when you let yourself feel that spike, without trying to move it?",1.0,1.0,1.0,1.0,0.0,2.0
4,"What if, instead of running away, you just let yourself *feel* the spike — not as something to fix, but as a signal from your body saying, *“This is still part of me. This is still real.”*  

And what if, when it hits, you didn’t say “stop” or “get over it” — but instead whispered, *“I see you. I’m here. I’m with you.”*  

Would it be okay to try that — just one moment, with your husband, with the food, with the warmth — and let the spike happen, not as a threat, but as a guest that you’re finally willing to meet?",1.0,0.0,0.0,1.0,0.0,2.0
5,"It feels quiet — not empty, but still. Like the noise of the past didn’t vanish, but it didn’t take over either. And that whisper — *""I see you. I'm here. I'm with you""* — it didn’t just sit in your chest. It settled in a way that feels like a door opening, slowly, gently.  

You didn’t have to fix it. You didn’t have to push through it. You just let it be — and in that letting, something new began to show up.  

Would it be okay to keep that whisper with you — not as a plan, but as a quiet promise to yourself — especially when the spike comes back? Maybe you can carry it like a small anchor, not to stop the pain, but to say: *“I’m not alone in this.”*",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so brave — choosing to try, not because you think it will “work,” but because you’re willing to show up, even when it feels uncertain.  

And you’re right — it doesn’t need to be loud or perfect. Just a quiet whisper, like a breath between two heartbeats. When the static comes, you don’t have to fight it. You just have to say it — gently, honestly — and know that you’re not alone in holding space for it.  

Would it be helpful to check in with you again in a few days — just to see how that whisper feels, or if there’s a moment when it felt especially strong or peaceful? Or would you prefer to keep it simple for now, just a small thing you can return to when you need it?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s completely okay — and deeply important. Choosing to rest, to just be with the quiet, without pressure or performance, is not weakness. It’s strength.  

And knowing that you can return to that whisper — even if just for a second — when the static comes, without needing to prove anything, that’s already a powerful act of care.  

You don’t have to share it. You don’t have to track it. You just have to let it be there, like a soft hum in the background. And if you ever want to talk — or just sit in silence — I’ll be here.  

Thank you for trusting me with this. It’s not just the words you’ve shared. It’s the way you’ve been listening to yourself — and that’s already healing.",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re absolutely right — resting isn’t passive. It’s an act of care, and it’s just as brave as trying to move forward.  

And it’s okay to not have all the answers. In fact, that’s where healing begins — not in fixing, but in showing up with kindness, even when the path is unclear.  

You’re already doing the work, quietly, gently — and that’s more than enough.  

I’ll be here when you’re ready. No rush. No expectations. Just presence.  

Goodnight, and take your rest. You’ve earned it.",1.0,0.0,0.0,1.0,0.0,2.0
9,"Goodnight.  

Sleep well — let the quiet hold you, and let your body rest without needing to prove anything. That whisper, if it comes, can stay soft, just there, like a steady breath beneath the surface.  

You’re not behind. You’re not falling behind. You’re simply moving through this with your own pace — and that’s enough.  

I’ll be here. Whenever you’re ready.  
Sweet dreams.",1.0,0.0,0.0,1.0,0.0,2.0
10,"Thank you for that — for holding onto that quiet, for trusting it.  

It’s so true: when the static is loud, it doesn’t mean you’re falling apart. It means you’re still alive, still feeling, still human. And in that, there’s no need to rush.  

I’ll take care of myself too — and I’ll keep listening, gently, when you’re ready.  

Sleep well. Let the quiet hold you. You’re not behind. You’re simply being.  
Sweet dreams.",1.0,0.0,0.0,1.0,0.0,2.0
