Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Jackie, how are you doing today?",T,P624_q04ZWg_1,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,0,0,-2,0,0,2,,"Hi, Ms. Jones. I'm Dr. Sawyer. I'm a psychiatrist."
"You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.",T,P624_q04ZWg_3,-1.0,-1.0,-2.0,0.0,0.0,1.0,0,0,-2,0,0,2,"Therapist: Hi Jackie, how are you doing today?
Patient: Um, you know, I'm, I'm alright. How about you?","I'm doing well, thanks for asking. I understand you've been having some recent difficulties that brought you into our agency."
You lost your job?,T,P624_q04ZWg_5,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,1,2,"Therapist: Hi Jackie, how are you doing today?
Patient: Um, you know, I'm, I'm alright. How about you?
Therapist: You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.
Patient: Uh, yeah, I lost, I lost my job.",Lost your job. How recent?
"Were you aware that if there was an accident, you'd be drug tested?",T,P624_q04ZWg_7,1.0,0.0,0.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Hi Jackie, how are you doing today?
Patient: Um, you know, I'm, I'm alright. How about you?
Therapist: You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.
Patient: Uh, yeah, I lost, I lost my job.
Therapist: You lost your job?
Patient: Uh-huh. Um, because I failed a drug test. I have to drive a golf cart sometimes for my job and I just wasn't really paying attention as I was driving through the parking lot and I, I hit a car. Um, and I didn't think it was a big deal. It didn't even leave a big mark really, but the owner of the car got pretty pissed about it and they found out that I did it. I kind of admitted to it too. I didn't want to be getting in trouble for it. So then they, since it was an accident, you know, I kind of hit my head a little bit too. They made me take a drug test and, uh, I had smoked some weed the night before, so I failed it and was fired.","So you admitted to the drug use after the incident, but you say you didn't have any alcohol or any other substances there?"
"Hm. So there, has there been consequences to losing your job?",T,P624_q04ZWg_9,1.0,0.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.
Patient: Uh, yeah, I lost, I lost my job.
Therapist: You lost your job?
Patient: Uh-huh. Um, because I failed a drug test. I have to drive a golf cart sometimes for my job and I just wasn't really paying attention as I was driving through the parking lot and I, I hit a car. Um, and I didn't think it was a big deal. It didn't even leave a big mark really, but the owner of the car got pretty pissed about it and they found out that I did it. I kind of admitted to it too. I didn't want to be getting in trouble for it. So then they, since it was an accident, you know, I kind of hit my head a little bit too. They made me take a drug test and, uh, I had smoked some weed the night before, so I failed it and was fired.
Therapist: Were you aware that if there was an accident, you'd be drug tested?
Patient: Um, you know, I, I didn't know that, no. I guess they might have told me at some point but I, I probably wasn't paying attention to it or I wasn't prepared for it.",So you're not sure if they told you at any point.
"Alright, what type of work do you do?",T,P624_q04ZWg_11,0.0,0.0,-2.0,0.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: You lost your job?
Patient: Uh-huh. Um, because I failed a drug test. I have to drive a golf cart sometimes for my job and I just wasn't really paying attention as I was driving through the parking lot and I, I hit a car. Um, and I didn't think it was a big deal. It didn't even leave a big mark really, but the owner of the car got pretty pissed about it and they found out that I did it. I kind of admitted to it too. I didn't want to be getting in trouble for it. So then they, since it was an accident, you know, I kind of hit my head a little bit too. They made me take a drug test and, uh, I had smoked some weed the night before, so I failed it and was fired.
Therapist: Were you aware that if there was an accident, you'd be drug tested?
Patient: Um, you know, I, I didn't know that, no. I guess they might have told me at some point but I, I probably wasn't paying attention to it or I wasn't prepared for it.
Therapist: Hm. So there, has there been consequences to losing your job?
Patient: Uh, yeah, I mean, my parents are not happy. Um, I'm not making any money, obviously, so they, uh, they're not very happy about me relying on them for, you know, gas money if I ever want to go anywhere or do anything with my friends. I have to ask them for money. So they're kind of, you know, pushing me to get a job and help support myself again.",Okay. So you don't have any money.
"All right. So, most of those employers would require a drug screen?",T,P624_q04ZWg_13,-1.0,-1.0,-2.0,0.0,-1.0,1.0,-1,0,-2,1,0,2,"Therapist: Were you aware that if there was an accident, you'd be drug tested?
Patient: Um, you know, I, I didn't know that, no. I guess they might have told me at some point but I, I probably wasn't paying attention to it or I wasn't prepared for it.
Therapist: Hm. So there, has there been consequences to losing your job?
Patient: Uh, yeah, I mean, my parents are not happy. Um, I'm not making any money, obviously, so they, uh, they're not very happy about me relying on them for, you know, gas money if I ever want to go anywhere or do anything with my friends. I have to ask them for money. So they're kind of, you know, pushing me to get a job and help support myself again.
Therapist: Alright, what type of work do you do?
Patient: Um, I work in security. Um, I kind of, I monitor parking lot, you know, take tickets, things like that, so.","So you monitor, you stay in the parking lot and you take tickets. And what kind of tickets?"
You think it should be legal?,T,P624_q04ZWg_15,1.0,1.0,1.0,1.0,1.0,2.0,-1,-1,-2,1,0,1,"Therapist: Hm. So there, has there been consequences to losing your job?
Patient: Uh, yeah, I mean, my parents are not happy. Um, I'm not making any money, obviously, so they, uh, they're not very happy about me relying on them for, you know, gas money if I ever want to go anywhere or do anything with my friends. I have to ask them for money. So they're kind of, you know, pushing me to get a job and help support myself again.
Therapist: Alright, what type of work do you do?
Patient: Um, I work in security. Um, I kind of, I monitor parking lot, you know, take tickets, things like that, so.
Therapist: All right. So, most of those employers would require a drug screen?
Patient: Yeah, that's, that's my problem. Uh, I've been trying to look for a new job and, um, pretty much all of them have required drug tests, so I haven't gotten a new one yet. So that's becoming a problem. So that's why, you know, I want, I want to cut down but I haven't been able to. Um, so I really need a job. I mean, all these things are kind of silly that, you know, I don't, I find it silly. It should be, who cares if I smoke a little weed, you know, it should be legal.","So you really want to work and you don't want to work right now. You have a lot of responsibilities and you're worried about your responsibilities, your family."
So you want to stop using marijuana altogether?,T,P624_q04ZWg_17,1.0,0.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Alright, what type of work do you do?
Patient: Um, I work in security. Um, I kind of, I monitor parking lot, you know, take tickets, things like that, so.
Therapist: All right. So, most of those employers would require a drug screen?
Patient: Yeah, that's, that's my problem. Uh, I've been trying to look for a new job and, um, pretty much all of them have required drug tests, so I haven't gotten a new one yet. So that's becoming a problem. So that's why, you know, I want, I want to cut down but I haven't been able to. Um, so I really need a job. I mean, all these things are kind of silly that, you know, I don't, I find it silly. It should be, who cares if I smoke a little weed, you know, it should be legal.
Therapist: You think it should be legal?
Patient: Yeah. I mean, what's the harm really? I didn't hurt anyone. So, so yeah, but I, I really do need a job. So I'm, I'm here to kind of get a handle on that.","All right, so you're looking for a job and you have a drug test, um, one of the requirements. Um, are there any other requirements?"
"All right, can you tell me about your marijuana use now? Like, when was the last time you used?",T,P624_q04ZWg_19,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,0,2,"Therapist: All right. So, most of those employers would require a drug screen?
Patient: Yeah, that's, that's my problem. Uh, I've been trying to look for a new job and, um, pretty much all of them have required drug tests, so I haven't gotten a new one yet. So that's becoming a problem. So that's why, you know, I want, I want to cut down but I haven't been able to. Um, so I really need a job. I mean, all these things are kind of silly that, you know, I don't, I find it silly. It should be, who cares if I smoke a little weed, you know, it should be legal.
Therapist: You think it should be legal?
Patient: Yeah. I mean, what's the harm really? I didn't hurt anyone. So, so yeah, but I, I really do need a job. So I'm, I'm here to kind of get a handle on that.
Therapist: So you want to stop using marijuana altogether?
Patient: Yeah, I'm going to have to to get a job I think, you know, I don't want to fail a random drug test again.",So you're worried about your employment status being affected by your drug use.
