turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to this time together. I want you to know that whatever you’re bringing in today—no matter how small or big—it’s safe to share. I’m here to listen without judgment, and I’ll do my best to understand what’s on your mind.  

What brings you in today?",-1.0,0.0,-2.0,0.0,0.0,2.0
1,"I don’t know… I’ve been avoiding the shower for days. It’s not just about cleanliness—I feel like I’m looking at my body and I just… can’t stand it. Like, it’s not even me anymore. I’m exhausted, and I don’t feel like doing anything, but the thought of washing myself feels like a punishment. I keep thinking, *“Why should I care? I’m just not worth it.”* It’s so hard to even start, and I don’t know how to convince myself that it’s okay to do it.  

What do you think?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a deep sense of discomfort with your body—and that avoiding the shower isn’t just about hygiene, but about feeling like you’re unworthy of caring for yourself. That kind of exhaustion and self-disgust can feel overwhelming, and it’s okay to feel stuck in that place.  

What would it mean, to you, if you could just take one small step—like putting on a towel or turning on the water—without having to convince yourself it’s right?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I don’t know… I’ve been avoiding the shower for days. It’s not just about cleanliness—I feel like I’m looking at my body and I just… can’t stand it. Like, it’s not even me anymore. I’m exhausted, and I don’t feel like doing anything, but the thought of washing myself feels like a punishment. I keep thinking, *“Why should I care? I’m just not worth it.”*  

What do you think?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It sounds like you're carrying a deep sense of discomfort with your body—and that avoiding the shower isn’t just about hygiene, but about feeling like you’re unworthy of caring for yourself. That kind of exhaustion and self-disgust can feel overwhelming, and it’s okay to feel stuck in that place.  

What would it mean, to you, if you could just take one small step—like putting on a towel or turning on the water—without having to convince yourself it’s right?",1.0,1.0,1.0,1.0,0.0,2.0
5,"Yeah, it does. I mean, I’ve been thinking about that small step—like just turning on the water or grabbing a towel—but every time I try to imagine doing it, it still feels like a betrayal of who I am. Like, if I wash myself, am I really doing it for me, or am I just going through the motions to prove I’m still alive?  

I don’t know if I can do it. Not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
6,"That... actually makes me feel a little less alone about it.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
7,"That... actually makes me feel a little less alone about it.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
8,"That... actually makes me feel a little less alone about it.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
9,"I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
10,"It’s not that I’m avoiding the shower—I’m just not sure I can face my body anymore. Every time I think about it, it feels like I’m looking at something broken, like I’ve already failed myself. And the thought of washing myself feels like trying to fix something that’s never really been fixed.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
11,"It’s not that I’m avoiding the shower—I’m just not sure I can face my body anymore. Every time I think about it, it feels like I’m looking at something broken, like I’ve already failed myself. And the thought of washing myself feels like trying to fix something that’s never really been fixed.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
12,"It’s not that I’m avoiding the shower—I’m just not sure I can face my body anymore. Every time I think about it, it feels like I’m looking at something broken, like I’ve already failed myself. And the thought of washing myself feels like trying to fix something that’s never really been fixed.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
13,"It’s not that I’m avoiding the shower—I’m just not sure I can face my body anymore. Every time I think about it, it feels like I’m looking at something broken, like I’ve already failed myself. And the thought of washing myself feels like trying to fix something that’s never really been fixed.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
14,"It’s not that I’m avoiding the shower—I’m just not sure I can face my body anymore. Every time I think about it, it feels like I’m looking at something broken, like I’ve already failed myself. And the thought of washing myself feels like trying to fix something that’s never really been fixed.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
15,"It’s not that I’m avoiding the shower—I’m just not sure I can face my body anymore. Every time I think about it, it feels like I’m looking at something broken, like I’ve already failed myself. And the thought of washing myself feels like trying to fix something that’s never really been fixed.  

I don’t know if I can do it, not because I don’t want to, but because it feels like I’d have to believe in myself again—like I’m worth showing up for, even when I don’t feel like it. And that’s really hard. I don’t even know where to start.",1.0,1.0,1.0,1.0,0.0,2.0
