turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,They're coming back stronger. It's scary.,1.0,1.0,1.0,2.0,1.0,2.0
2,It's hard to feel hopeful when you feel like you're being pushed away from everyone and everything. It's hard not to feel like you're on the edge of a cliff.,1.0,1.0,1.0,1.0,1.0,2.0
3,Sometimes you wonder if you'll survive it.,1.0,1.0,1.0,1.0,0.0,2.0
4,"That part of you is scared, but it's also clear that you have a deep love for your girlfriend. It's painful to feel like you're not a good enough father for your child and not a good enough partner for your girlfriend, but it's hard to imagine a future where you can make them happy when you're already feeling so hopeless.",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
5,"If you stop fighting, they'll end up just like you are.",1.0,1.0,1.0,1.0,1.0,2.0
6,What if you can't survive the next year? What if you can't survive the army? It's terrifying.,1.0,1.0,1.0,2.0,1.0,2.0
7,You don't deserve to survive.,1.0,1.0,0.0,1.0,0.0,2.0
8,But then you wake up.,1.0,1.0,0.0,1.0,0.0,2.0
9,"One day I think, ""Maybe I'll try,"" and then tomorrow the debt is still there, the fear is still there, and I'm back in bed. I feel like I'm failing to wake up, but I'm failing to survive the rest of my life too.",1.0,1.0,0.0,1.0,0.0,2.0
10,You feel like you're failing at everything.,1.0,1.0,0.0,1.0,0.0,2.0
11,How is anyone supposed to succeed when you can't even remember who you are or what you're supposed to do?,1.0,1.0,0.0,1.0,0.0,2.0
12,Maybe this is what happens when you lose your mind.,1.0,1.0,0.0,1.0,0.0,2.0
13,If you keep failing at remembering names...,1.0,1.0,0.0,1.0,0.0,2.0
14,You hate studying because it requires focus.,1.0,1.0,0.0,1.0,0.0,2.0
15,The numbers blur together.,1.0,1.0,0.0,1.0,0.0,2.0
16,The only thing that feels real right now is the debt.,1.0,1.0,0.0,1.0,0.0,2.0
17,Why bother with the feelings?,1.0,1.0,0.0,1.0,0.0,2.0
18,Emotions are too messy to trust.,1.0,1.0,0.0,1.0,0.0,2.0
19,If you work an extra shift.,1.0,1.0,0.0,1.0,0.0,2.0
