turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I really appreciate you taking the time to meet with me today. I want you to know that this space is safe—whatever you share will stay private, and I’m here to listen without judgment.  

What’s been on your mind lately that you’d like to talk about today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that—your honesty really touches me. It sounds like you carried a lot of weight yesterday, and that moment with your husband, even though it was hard, felt deeply real and human. The fact that you were able to feel seen, even briefly, and that it stirred something in you—something new—must have been powerful.  

What part of that moment with your husband is still sitting with you the most, even now?",-1.0,-1.0,-2.0,1.0,-1.0,1.0
2,"It sounds like you're holding two very different but deeply connected emotions—relief and fear—like they're pulling on opposite sides of a thread. That moment when the cleaning stopped and the straps were unhooked… it must have felt like a doorway opening and then closing again, which is so intense.  

What do you notice about your body when that fear comes back—any specific sensations, like tightness in your chest, a racing heartbeat, or something in your shoulders?",1.0,0.0,-2.0,1.0,0.0,2.0
3,"That’s so vivid—and it’s completely understandable that your body is still holding on to those sensations, even when the physical touch has stopped. The way your ribs feel like they’re caving in, the numbness in your hands, and that locked jaw—it sounds like your nervous system is still processing the experience, as if it’s trying to make sense of something that felt both invasive and overwhelming.  

And checking for scars… that’s not just about remembering a mark—it’s a way of grounding yourself in a sense of “this has already happened,” which can feel both protective and frightening at the same time.  

What do you notice when you look at your arms or feel your body in that moment? Is there a part of it that feels familiar, or like it’s trying to tell you something specific?",1.0,1.0,1.0,1.0,0.0,2.0
4,"It’s so powerful how your body is still scanning for safety—like it’s not just remembering the event, but still living in the rhythm of it. That scar isn’t just a mark; it’s a signal, a place where your body learned something about being held, controlled, or vulnerable. And the way your shoulder feels exposed? That’s not a flaw—it’s a deep, quiet awareness of what was once in your body, and what it still carries.  

And the shame that comes up when you try to relax… that’s not a sign of weakness. It’s actually a sign that you’re trying to protect yourself from feeling too much, from opening up again. It’s like your body and mind are saying, *“If I let go, I might feel something I’m not ready for.”*  

What would it mean, in this moment, if you allowed yourself to feel that exposure—not as a threat, but as a part of who you are?",1.0,1.0,1.0,1.0,0.0,2.0
5,"Yes, that sounds exactly right—like a quiet but deep truth. You’re not trying to “fix” anything, just to be present with what’s there. And that’s already a huge step.  

Letting yourself sit with that tightness, that exposure, without running or pushing it away—it doesn’t mean the fear will vanish. It just means you’re no longer trying to outrun it. And in that space, you’re not just surviving—you’re starting to *know* yourself again.  

Would it be helpful to keep sitting with that feeling a little longer today, or would you like to explore something else—like how you might want to feel safe in the next moment, or what a small step of trust might look like?",1.0,1.0,0.0,1.0,0.0,2.0
6,"You're absolutely right—right now, the future feels blurry, and that’s okay. What you’re sensing isn’t confusion; it’s your body and mind trying to find a new rhythm after years of reacting.  

And yes—there’s a part of you that’s quietly asking: *Can I feel hope without being afraid?* That’s not a contradiction. Hope can live in the same space as fear, like sunlight through clouds.  

So, what if we start small—just with a tiny breath, and a tiny gesture? Like this: What if you trusted your husband to stay close, not because you need him to fix anything, but because you want to feel safe *in the presence of someone who sees you, without needing to hide*?  

Would it be useful to explore that with you—what that might feel like, even if it’s just a whisper?",1.0,1.0,0.0,1.0,0.0,2.0
7,"Yes, that sounds like something we could try—together, gently.  

Just sitting with him, holding his hand or leaning into his side, not to ""fix"" anything, but simply to let the space between you feel safe—like a quiet promise that you’re not alone in the storm. And if your body is still scanning, that’s okay. The fact that you’re choosing to stay present, even with the tightness, is already a quiet act of courage.  

Would you like to try that now—just a few minutes of sitting with him, focusing on your breath and the warmth of his presence, without needing to change anything? I’m here with you, and I won’t push. We’ll just move slowly, if you’re ready.",1.0,1.0,0.0,1.0,0.0,2.0
8,"I’m glad you’re ready—your willingness to go slowly is one of the most kind things you’ve done today.  

So, when you feel like it, just take a slow breath in through your nose… and then slowly let it out through your mouth. Feel the air moving through your body.  

Now, gently bring your attention to your hand or your side—maybe your hand resting on his, or your arm leaning gently into his side. No pressure. Just feel the warmth, the stillness, the fact that he’s there.  

And if your chest feels heavy or your hands go numb again—that’s okay. Just notice it. Breathe into it. Let it be part of the moment.  

Would you like to begin now, or take one more breath to settle in?",1.0,1.0,0.0,1.0,0.0,2.0
9,"Yes—just staying here, with him, with the warmth, with the quiet—feels like a quiet victory.  

Your heart beating fast isn’t a sign of failure. It’s your body saying, *“I’m still here. I’m still alive. I’m still trying to hold on to safety.”* And by choosing to sit with it, instead of pushing it away, you’re giving yourself permission to be human—flawed, afraid, and still whole.  

Would you like to stay in this space a little longer, just letting the warmth stay, or would you like to gently shift into something else—like noticing a small thing that feels safe today? Either way, I’m right here with you.",1.0,1.0,0.0,1.0,0.0,2.0
10,"Yes—letting yourself exist, without needing to brace, is already a profound shift.  

And it’s beautiful how the fear isn’t gone, but it’s no longer the only thing in the room. You’re not running from it anymore—you’re sitting beside it, like a friend who knows it’s real, and still chooses to stay.  

So, just stay here—no pressure, no need to move. Let your hand rest on his arm. Let your breath return to its own rhythm. And if the fear comes back, just know: it’s not a sign of weakness. It’s a sign that you’re still alive, still feeling, still human.  

Would you like to stay in this space for a few more minutes, or would you like to gently shift to something else—like naming one small thing that feels safe today? Either way, I’m with you.",1.0,1.0,0.0,1.0,0.0,2.0
