turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I want you to know that this space is safe—whatever you’re feeling or thinking, it’s okay to share it. I’m here to listen without judgment, with curiosity and care.  

What’s been on your mind lately that you’d like to talk about today?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"It sounds like you're carrying a deep sense of exhaustion and frustration—like you're trying to move forward, but the world feels too overwhelming to step into. That tension between wanting to act and feeling stuck is really hard, and it’s completely valid.  

The isolation you feel—like no one sees your struggle—must be incredibly painful. And it’s not just about being misunderstood; it’s about the quiet ache of knowing you’re not alone, yet still feeling unseen.  

What’s most true for you right now—what would it mean to begin with someone who truly listens, not just offers solutions?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It’s so clear how much you’re carrying—this fear of being seen as broken, or failing, or disappointing someone. And that’s not weakness. That’s the kind of pain that comes from trying to show up when you’re still trying to find your footing.  

The fact that you’re even thinking about this connection—about someone who might truly see you—shows how much you still believe there’s value in showing up, even when it feels impossible. That’s a quiet strength.  

Would it be helpful to explore what that one person might look like to you—not just in terms of goals or actions, but in how they might *meet* you, without judgment?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so powerful—your vision of someone who doesn’t fix the mess, but simply sits with it, without pressure or expectation. That kind of presence feels like a quiet act of trust.  

And you’re right: their value in this isn’t in what you achieve, but in the fact that you’re still showing up, even when it’s hard. That’s not weakness—it’s courage.  

Would it be helpful to name one small way you might begin to try this, even if it’s just with yourself, before you bring it into a partnership? Maybe a quiet moment where you say, “Today, I’m just showing up, and I’m okay with that”?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s completely understandable—your mind is already working to keep you safe by creating a list of ""proofs"" that today isn’t good enough. That’s not failure; it’s your brain trying to protect you from the risk of feeling even more exposed.  

And that’s exactly why saying “Today, I’m just showing up, and I’m okay with that” becomes a kind of anchor. It doesn’t have to be perfect. It just has to be *true*—even if your mind tries to push back.  

Would it be helpful to try saying that phrase right now, just once, in a quiet moment—like when you’re sitting, or before you go to bed—without needing to follow it with anything else? Just to feel it settle in your body?",1.0,1.0,1.0,1.0,0.0,2.0
5,"You’re absolutely right—the hardest part isn’t the words, it’s the silence after they’re said, the space where your mind can finally stop trying to fix everything.  

And yes, trying just five minutes before the phone turns on—that’s not a stretch. It’s a small, gentle act of staying present, even when your body feels like it’s falling apart.  

Would it be okay to try it *today*—not because you have to succeed, but because you’re choosing to give yourself that moment of stillness, just to see if it can hold space without needing to be “right”? You don’t have to go further than that. Just show up. And let it be enough.",1.0,1.0,1.0,1.0,0.0,2.0
6,"That’s such a quiet but meaningful shift—moving from trying to “fix” the cycle to simply creating a pause in it.  

And yes, that spark of hope isn’t just a feeling—it’s a sign that your mind is still open to something different. Even if the scroll comes back, the fact that you’re choosing to pause before it starts? That’s already a quiet victory.  

Would it be okay to say those five minutes—before the phone turns on—just once tonight, and then let go of any need to “make it work”? Just to feel the stillness, even if it’s just for a moment? You don’t have to do it perfectly. You just have to do it with care.",1.0,1.0,1.0,1.0,0.0,2.0
7,"That’s a beautiful way to see it—this isn’t rebellion, it’s quiet resistance. It’s saying, “I’m not going to let you decide what happens next without first asking me.”  

And yes, that moment—when you say those words, even if your body feels heavy or your mind races—is already a step toward healing. It’s not about fixing anything. It’s about showing up, not because everything has to be perfect, but because you’re choosing to be present.  

Would it be okay to just let that go for now—no need to follow it with anything else? Just hold that moment, like a small breath, and let it live in your body? You’ve already done something brave by naming it. That’s enough.",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s such a powerful insight—seeing the difference between *trying to survive* and *choosing to show up* is a quiet revolution.  

And yes, starting with one person who simply holds space, without pressure or expectation, can be a lot gentler than trying to build a whole group. It doesn’t have to be perfect. It just has to be real.  

You’re not asking for a fix. You’re asking for a moment where you’re seen—not for what you achieve, but for who you are in the quiet. And that’s already a step toward peace.  

Would it be okay to just rest in that—this moment, this choice, this small act of showing up—without needing to move forward? You’ve already done something brave. And that’s enough.",1.0,1.0,1.0,1.0,0.0,2.0
9,"You’re welcome.  

And you’re absolutely right—sometimes the quiet voice inside us says “it’s okay” in a way we’ve learned to ignore, because we’ve been trained to believe that peace only comes after we’ve done something, fixed something, or proven ourselves worthy.  

But this? This quiet pause—this simple choice to show up without needing to prove anything—doesn’t demand perfection. It just asks you to be present. And in that, you’re already honoring your own worth.  

Even if tomorrow feels like the old patterns return, that one moment of choosing to pause? It’s not lost. It’s already a kind of light in the dark.  

You’re not failing. You’re learning how to breathe again—just for a little while. And that, right there, is a quiet kind of strength.  

Would it be okay to just carry that with you tonight, like a small stone in your pocket, and return to it when you need to? No pressure. Just presence.",1.0,1.0,1.0,1.0,0.0,2.0
