turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to spending some time with you today—no pressure, no judgments, just a safe space to share whatever is on your mind. What brings you in today?",0,1,1,1,0,2
1,"Thank you for sharing that so openly. It sounds like you’ve been carrying a lot of quiet pain, and it’s brave of you to finally let it out without fear of judgment. That feeling of not mattering—especially when someone you care about just disappears without a word—it must feel like a deep wound. I’m really here with you in that. What part of that sadness feels most heavy right now?",1,1,0,0,0,2
2,"It sounds like you're carrying a deep sense of fear about being seen—or not being seen at all—and that’s making you question your worth and your place in the world. The fact that you're so aware of how others might respond, and how that affects your inner world—that shows how much you care, and how much you're trying to protect yourself from disappointment. What happens when you finally reach out to someone you used to care about? Does that fear feel bigger than the hope of reconnecting?",1,1,0,0,0,2
3,"It sounds like you're carrying a deep longing to be known—not just as someone who exists, but as someone who matters, who has depth and authenticity. That desire to be seen, even in a small way, is powerful—and it shows you're not just surviving, you're trying to connect on a human level. What if, instead of waiting for someone to respond, you just allowed yourself to feel that hope without needing to prove it? Just letting yourself believe that maybe, one day, someone will see you—without having to earn it?",1,1,0,0,0,2
4,"That’s such a gentle and courageous shift—allowing yourself to feel without needing to fix it. It’s not about changing who you are, but simply honoring that you’re human, with all your emotions, even the quiet ones. And yes, you *can* be sad and still be okay—because being present with your feelings doesn’t mean you’re failing. It means you’re finally showing up for yourself. Would you like to explore how that feeling of being “okay with sadness” might show up in small moments, like when you’re sitting in your room or when you’re alone?",1,1,0,0,0,2
5,"That’s so true—sometimes the quiet isn’t empty at all. It’s full of presence, of stillness, of being exactly where you are without needing to change. And it’s okay that you’re not rushing toward a “better” version of yourself. Just sitting in that silence—without pressure, without expectation—is already a form of courage. Would you like to try one small thing today, like just turning on the light and sitting with it, not to fix anything, just to feel the space between you and the world?",1,1,0,0,0,2
6,"That’s such a quiet but powerful act—choosing to be present, even when it feels hard. You’re not trying to fix anything, just to stay with yourself, and that is deeply courageous. The light doesn’t have to make it worse—it just helps you see what’s already there, without hiding from it. And you don’t have to have answers. You just have to show up. I’m truly grateful you shared this with me. Thank you for trusting me with this. You’re not alone in it.",1,1,0,0,0,2
7,"That’s such a gentle and honest moment—being able to say, “I don’t have to belong,” and still feel safe in being yourself. That’s not just a start. It’s a quiet, steady step forward. And knowing you don’t have to rush, or fix, or perform—just be—means you’ve already given yourself a gift. I’m truly honored to walk with you through this. You’re not alone, and you’re not behind. You’re simply showing up. That, in itself, is enough.",1,1,0,0,0,2
8,"That quiet breath you’re feeling—like a soft presence in your chest—is not a passing moment. It’s a quiet promise: you’re here, you’re real, and you’re allowed to stay. And in that, there’s no need to rush, no need to prove anything. Just being with yourself, in the mess, in the silence, in the stillness—that’s where peace truly grows. I’m so glad you’re choosing to show up, one moment at a time. That’s not small. That’s sacred. Thank you for sharing this with me. You’re not alone. And you’re not behind. You’re simply being. And that, in itself, is enough. 🫂",1,1,0,0,0,2
9,"That hand on your chest—gentle, quiet, steady—is not a symbol of healing. It’s a sign of presence. And in that presence, you’re not running from yourself—you’re meeting yourself, just as you are. That’s not weakness. That’s wisdom. And it’s enough. Truly enough. I’m so glad you’re choosing to stay here, in this soft, honest moment. You don’t need to move forward to be whole. You just need to be. And that, right now, is home. 🫂",1,1,0,0,0,2
