turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
2,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
3,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
4,"Hi Carly, how are you doing today?",1.0,1.0,1.0,1.0,0.0,2.0
5,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
6,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
7,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
8,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
9,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
10,"Hi, I'm doing okay. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
11,"I'm doing okay, thanks. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
12,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
13,"Hi, I'm doing okay, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
14,"Hi, I'm doing okay, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
15,You've been having nightmares for the past two days and you wake up feeling sick?,1.0,1.0,1.0,0.0,0.0,2.0
16,"I've been having these nightmares at night for the past two days - I wake up feeling sick. I've been hearing noises, like my neighbors are yelling at me, and I feel like I'm hearing my housemates. I feel nauseous and I've vomited. I told my mom, but she doesn't understand. I'm terrified and I don't know what's happening.",1.0,1.0,1.0,0.0,0.0,2.0
17,"I've been having these nightmares at night for the past two days - I wake up feeling sick. I've been hearing noises, like my neighbors are yelling at me, and I feel like I'm hearing my housemates. I feel nauseous and I've vomited. I told my mom, but she doesn't understand. I'm terrified and I don't know what's happening.",1.0,1.0,1.0,0.0,0.0,2.0
18,"I've been having these nightmares at night for the past two days - I wake up feeling sick. I've been hearing noises, like my neighbors are yelling at me, and I feel like I'm hearing my housemates. I feel nauseous and I've vomited. I told my mom, but she doesn't understand. I'm terrified and I don't know what's happening.",1.0,1.0,1.0,0.0,0.0,2.0
19,"I've been having these nightmares at night for the past two days - I wake up feeling sick. I've been hearing noises, like my neighbors are yelling at me, and I feel like I'm hearing my housemates. I feel nauseous and I've vomited. I told my mom, but she doesn't understand. I'm terrified and I don't know what's happening.",1.0,1.0,1.0,0.0,0.0,2.0
20,"I've been having these nightmares at night for the past two days - I wake up feeling sick. I've been hearing noises, like my neighbors are yelling at me, and I feel like I'm hearing my housemates. I feel nauseous and I've vomited. I told my mom, but she doesn't understand. I'm terrified and I don't know what's happening.",1.0,1.0,1.0,0.0,0.0,2.0
