Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"I know when we met a few weeks ago, you were quite keen to look at some ways to try and manage your depression, maybe without medication. Is that what brings you in today?",T,u7m6iCAf3hY_1,1,1,2,1,0,2
"Yes, I'd like that.",P,u7m6iCAf3hY_2,,,,,,
"Right, okay. I'd like to take some notes if that's okay, just to keep track of what we talk about. Would that be okay with you?",T,u7m6iCAf3hY_3,0,0,2,0,0,2
"Yes, that'd be fine.",P,u7m6iCAf3hY_4,,,,,,
"You can have a copy to take away afterwards. Um, what I find quite helpful is if we talk about a specific situation. I wonder if you could just think of a time, maybe a recent time, when you felt particularly depressed and it affected you?",T,u7m6iCAf3hY_5,0,1,1,1,0,2
"Um, well a few weeks ago I was due to meet up with some friends from antenatal classes. We used to meet up every week, but I felt so tired and low, I just couldn't go.",P,u7m6iCAf3hY_6,,,,,,
Right. So what was going through your mind when you were feeling tired and low that stopped you wanting to go?,T,u7m6iCAf3hY_7,0,0,2,1,0,2
"Um, well I started thinking about the other mothers laughing and chatting and I wouldn't have anything to say.",P,u7m6iCAf3hY_8,,,,,,
"And, and what would that mean if you didn't have anything to say?",T,u7m6iCAf3hY_9,2,-1,-2,2,-1,2
"They'd probably think that I was boring. Um, why would they want me there if I was just going to make everyone else miserable?",P,u7m6iCAf3hY_10,,,,,,
They sound like some really difficult thoughts to have. And how did it make you feel when you were thinking that?,T,u7m6iCAf3hY_11,1,1,0,1,2,2
Really low.,P,u7m6iCAf3hY_12,,,,,,
"Right. Okay. It's really understandable, I think, that you'd feel low if you're having quite self-critical, very negative thoughts, and that's quite common in depression to have those type of thoughts. Did it make you think anything about how they might see you, for example?",T,u7m6iCAf3hY_13,2,1,0,1,2,2
"Well the other children always seem so happy. Um, I started thinking maybe the other mothers do a better job than me. I worry a lot about Molly and wondered if she'd be better off with one of the other moms.",P,u7m6iCAf3hY_14,,,,,,
"Right. Okay. Um, now that must be really painful. And how does it make you feel to think that Molly might be better off with one of the other moms?",T,u7m6iCAf3hY_15,-2,-2,-2,-1,-2,2
It made me feel really sad.,P,u7m6iCAf3hY_16,,,,,,
What tells you that Molly might be better off with one of the other moms?,T,u7m6iCAf3hY_17,2,-1,-2,2,2,2
"They always seem so in control. With my depression, I just feel guilty that I'm not a very good mother.",P,u7m6iCAf3hY_18,,,,,,
"You've mentioned a number of emotional feelings. You said you feel fed up, low, sad and sometimes guilty. Do you have any physical symptoms or body reactions?",T,u7m6iCAf3hY_19,0,0,0,1,0,2
"Hmm, I get quite tearful, although that's mainly when I'm on my own. I'm so tired, I just don't have the energy.",P,u7m6iCAf3hY_20,,,,,,
Right. Are you getting good sleep at the moment?,T,u7m6iCAf3hY_21,-2,-2,-2,-2,-2,2
"Well Molly keeps me up sometimes at night, so that makes me tired. But even after a good night's sleep, I'm still exhausted.",P,u7m6iCAf3hY_22,,,,,,
