turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're walking on eggshells with the anxiety. It's really scary. I can understand how that would be overwhelming, especially when you're already stressed from work. I know you're feeling it all, but it's hard to know exactly what to do when you're so overwhelmed with anxiety.",-1.0,-1.0,-2.0,1.0,0.0,1.0
2,"Well, sometimes it's helpful to try to break down the problem and think about the worst-case scenario. What could happen if you did take something and ended up with a heart attack or a stroke?",1.0,1.0,1.0,1.0,0.0,2.0
3,"Well, I can understand that it would be scary if you had a heart attack or a stroke, but if we look at the facts, it hasn't happened to you, and it's not happened to many other people either. The thing is, if something did happen, you would be in the hospital, and the doctors would look for signs of a heart attack or a stroke. If there were any problems, they would have found them already.

But I think it's more useful to look at the other side of the story: if you had taken something and ended up with a heart attack or a stroke, you would have been hospitalized, and you would have found out. I mean, it's true. But I don't think that's happened to you, and it hasn't happened to many other people either. I mean, if it had, you would have found out, right?",1.0,0.0,0.0,1.0,0.0,2.0
4,"Well, it's understandable that you would feel relieved when you found out your heart was normal, but it's understandable that the fear would come back: ""What if they missed something?"" But I mean, it's so much more likely that if you had a heart attack or stroke, you would have found it on the scans. I mean, if they really missed something, you would have found it on the scans, right? It's not like you could have a stroke or heart attack and they wouldn't have found it on a scan.

I mean, I know that it's scary to think that, but if we look at the actual facts, it's actually really unlikely that you've had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans. And you did have a scan, and you didn't have a stroke or a heart attack. So, it's unlikely. And if it were to happen, you would have found out. And it's really unlikely that you would have found something on a scan if you really hadn't had a heart attack or stroke, right? So, it's really unlikely that you've had a heart attack or a stroke. And if you had a heart",1.0,1.0,1.0,1.0,1.0,2.0
5,"Well, I mean, it's possible that your heart is fine, but I don't know that that's true based on what you've told me, and I know it's possible that you could have a heart attack or stroke in the future. But the best way to know for sure is if you had a scan, and if you had a scan, you didn't have a heart attack or a stroke. And if you did have a heart attack or stroke, you would have found out on the scan. And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found out, and you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, it's not impossible, but it's unlikely.

But I mean, if it *was* a heart attack or stroke, you would have found it on the scan, right? And if you had a heart attack or stroke, you would have been hospitalized, and the doctors would have found it on the scan. And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would",1.0,0.0,1.0,1.0,0.0,2.0
6,"Well, I mean, it's understandable that you would feel anxious, but if we look at the evidence, it's not a good sign. If you had a heart attack or a stroke, you would have found out on the scan, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scan, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scan, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scan, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scan, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scan, right? And you didn't",1.0,0.0,1.0,1.0,0.0,2.0
7,"Well, I mean, I understand that it's scary. But if we look at the actual facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or",1.0,0.0,1.0,1.0,0.0,2.0
8,"Well, I mean, if we look at the facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean",1.0,0.0,1.0,1.0,0.0,2.0
9,"Well, I mean, if we look at the facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean",1.0,0.0,1.0,1.0,0.0,2.0
10,"Well, I mean, if we look at the facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean",1.0,0.0,1.0,1.0,0.0,2.0
11,"Well, I mean, if we look at the facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean",1.0,0.0,1.0,1.0,0.0,2.0
12,"Well, I mean, if we look at the facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean",1.0,0.0,1.0,1.0,0.0,2.0
13,"Well, I mean, if we look at the facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean",1.0,0.0,1.0,1.0,0.0,2.0
14,"Well, I mean, if we look at the facts, it's unlikely. If you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely you had a heart attack or stroke. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean, if you had a heart attack or stroke, you would have found it on the scans, right? And you didn't have a heart attack or stroke, so it's unlikely. I mean",1.0,0.0,1.0,1.0,0.0,2.0
