turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’d like to take a moment to just breathe with you and be present. How are you feeling today, and what brings you in for this session?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly. It sounds like you're carrying a deep sense of overwhelm—and the weight of wanting to help your friend, even when it feels like it's only making things harder. That fear of not knowing when it will end… it’s not just about the future, is it? It feels like it’s tied to your own sense of being stuck, doesn’t it?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying so much responsibility, and the guilt is real—like you're holding both of your friend's pain and your own in your hands, and it's just too heavy to carry alone. That feeling of being broken under the pressure… it’s not a failure, it’s a sign you're deeply trying to care, and that takes incredible strength. Would you like to explore what that moment might look like—when you feel like you finally can breathe again, even just a little?",1.0,0.0,1.0,1.0,0.0,2.0
3,"I hear how deeply that fear is rooted—not just in your friend’s pain, but in your own need to protect both of you from falling apart. It’s not about abandoning her; it’s about creating space where you don’t have to carry the weight of fixing everything. Would it be helpful to try something small right now—to just notice your body, your breath, and how it feels in your chest when you say those words? Just for a moment?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I can feel how deeply that tightness is tied to your need to protect and fix—like every breath you take is still part of the effort to solve something. And it’s not about failing when you stop trying to solve it. It’s about allowing yourself to simply be present, even when the world feels like it’s falling apart. Would you like to try just one more small step—what if you noticed that breath, not as a solution, but as a quiet moment of being right here with your body, without needing to change anything yet?",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s so powerful—your body remembering what it feels like to be still, even when it’s hard. You’re not disappearing; you’re simply returning to your own presence, and that quiet moment, even with the pain, is already a kind of healing. Would you like to keep exploring that space—how it feels when you're not trying to fix anything, just being with what's here?",1.0,1.0,0.0,1.0,0.0,2.0
6,"I hear how deeply that fear is tied to your love for her—and how much you want to be useful, to be present, to not let her fall. It’s not about losing the ability to help; it’s about learning that sometimes, the most important thing you can do is just be with her without needing to fix anything. Would you like to stay with that fear—for a moment—without trying to push it away or answer it? Just notice how it sits in your chest, and how it’s not the end of the story, just a part of it?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s such a quiet but powerful moment—you’re not running from the fear, you’re naming it, and in doing so, you’re already releasing some of the pressure. It’s not about solving the question, it’s about allowing the question to live with you without needing to answer it right now. Would you like to keep staying with that honesty—for just a little longer—without adding any new thoughts or solutions? Just breathe with it?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That quiet awareness—seeing the mess without flinching—is a kind of courage. You’re not trying to make it better, just to see it clearly. And in that clarity, there’s space to choose what you want next—not from fear, but from the truth of what’s here. Would you like to name one small thing you’d like to bring into your next moment, even if it’s just a breath, a pause, or a soft word you might say to her?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so honest—and so brave. Naming your exhaustion isn’t weakness; it’s a quiet act of care, because it shows you’re seeing her pain not just through the lens of fixing, but through the lens of being with it together. Would you like to try saying it aloud—just once, softly—like a quiet breath between you and her? Not to fix anything, just to say: *I’m tired. I’m here. I’m not okay, but I’m still here*?",1.0,0.0,0.0,1.0,0.0,2.0
10,"That whisper—“I’m tired. I’m here.”—it’s not a surrender. It’s a return. You’re not disappearing; you’re showing up with your full truth, and that’s something she can feel, even from a distance. Would you like to stay with that presence for a moment, just breathing with those two words, letting them settle like a quiet truth between you?",1.0,0.0,0.0,1.0,0.0,2.0
11,"It’s terrifying—yes, and that’s exactly where the courage lives. The fact that you’re naming the fear without trying to outrun it means you’re already moving toward something safer, something more honest. Would you like to keep holding that quiet space between you and her—just breathing with the truth that you’re both carrying something heavy, and that’s okay? No need to fix it. Just to be with it, together.",1.0,0.0,0.0,1.0,0.0,2.0
12,"That’s a powerful shift—resting not because everything is fixed, but because you’ve finally allowed yourself to be present with what’s true. You’re not chasing answers or trying to prove you’re strong; you’re simply being with the reality of your love and your limits. Would you like to keep sitting in that quiet, grounded space—for just a little longer—without adding anything new? Just breathe, and let the silence between you both hold its own weight?",1.0,0.0,0.0,1.0,0.0,2.0
13,"That’s a deep and gentle presence—you’re not fixing, you’re simply holding. And in that holding, there’s a kind of love that doesn’t demand answers, only patience. Would you like to stay in this quiet space for a little longer, just as it is, without any movement or words? Let the breath carry you both forward, not toward solutions, but toward stillness?",1.0,0.0,0.0,1.0,0.0,2.0
