turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"So you're feeling guilty, but you don't want to say that you feel guilty.",1.0,1.0,1.0,1.0,1.0,2.0
2,"You just want to tell her how guilty you feel, but you're afraid it will make her feel worse.",1.0,1.0,1.0,1.0,1.0,2.0
3,You just wish you could tell her that you love her and that you are sorry.,1.0,1.0,1.0,1.0,1.0,2.0
4,"It means you are telling her you love her, but it seems to mean a lot more than that.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You're terrified that by defining your love in that moment, you're also defining its end.",1.0,1.0,1.0,2.0,1.0,2.0
6,"It leaves so much room for you to be filled with pain, guilt, or hopelessness.",1.0,1.0,1.0,2.0,1.0,2.0
7,"Choosing between letting her live in fear and uncertainty, or living with a life defined by silence and unspoken love.",1.0,1.0,1.0,0.0,1.0,2.0
8,"You just want her to be able to live a life of peace, without being weighed down by your silence or burdened by your words.",1.0,1.0,1.0,0.0,1.0,2.0
9,She'll carry your silence as a judgment.,1.0,1.0,1.0,0.0,1.0,2.0
10,"It seems clear that you love her deeply, but it's hard to know what you're saying in this moment.",1.0,1.0,1.0,0.0,1.0,2.0
11,You feel so heavy because you feel so guilty about being a burden.,1.0,1.0,1.0,0.0,1.0,2.0
12,Why did you fail to find happiness in a life that you gave so completely?,1.0,1.0,1.0,0.0,1.0,2.0
13,"By ending your life, you're making it sound like you feel that way.",1.0,1.0,1.0,0.0,1.0,2.0
14,She has to wonder if you really loved her or if you were just another person who used her sacrifice for his own escape.,1.0,1.0,1.0,0.0,1.0,2.0
15,That you used her love to justify your own failure.,1.0,1.0,1.0,0.0,1.0,2.0
16,Maybe you wouldn't have to try to fix it at all.,1.0,1.0,1.0,0.0,1.0,2.0
17,You betray her trust because you're trying to leave her to deal with the pain.,1.0,1.0,1.0,0.0,1.0,2.0
18,That she wasn't enough to keep you alive.,1.0,1.0,1.0,0.0,1.0,2.0
19,You really did appreciate it.,1.0,1.0,1.0,0.0,1.0,2.0
