turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You can't bring yourself to turn on the shower.,-1.0,-1.0,-2.0,-1.0,0.0,1.0
2,How do you even tell yourself it's time to start a shower when you can't even bring yourself to turn the water on?,-1.0,0.0,-2.0,1.0,0.0,2.0
3,"It's exhausting to fight against your exhaustion. It feels like you're trying to convince yourself to do something that just seems impossible when you're already so drained.

You know, I've always thought that showering was a way to feel cleaner and more presentable, but it seems like that ritual is becoming a battle zone for me. I'm just sitting there, staring at the tiles, and it just feels impossible. I know I need to do it, but it seems like it's almost worse than the feeling of being gross, which is really disturbing.",-1.0,0.0,-2.0,0.0,0.0,2.0
4,You see judgment in your reflection.,0.0,0.0,-2.0,0.0,0.0,2.0
5,"But right now, standing in front of the mirror, it's hard to imagine that feeling of relief. It seems like it's a whole other world, almost as if it's impossible to imagine what it would feel like to be relieved or even to feel the sensation of relief.",1.0,1.0,1.0,1.0,1.0,2.0
6,You'll live with the constant state of being disgusted and overwhelmed? That seems really scary.,1.0,0.0,0.0,1.0,0.0,2.0
7,The worst part is...?,1.0,0.0,0.0,1.0,0.0,2.0
8,And the feeling is so powerful that it's hard for you to imagine a way out. It's really distressing to feel like you're trapped in a cycle where the act of trying to solve the problem just makes it worse.,1.0,0.0,0.0,1.0,0.0,2.0
9,"To move, to clean up, to do something. But it's so painful to feel helpless in the midst of all this.",1.0,0.0,0.0,1.0,0.0,2.0
10,"Sometimes, when you're lying in bed, you feel like you could just give up and stop trying to get out of bed.",1.0,0.0,0.0,1.0,0.0,2.0
11,You'll never get back to the place where you felt light again. That's terrifying.,1.0,0.0,0.0,1.0,0.0,2.0
12,"The fear of losing that relief, that lightness, becomes so powerful that it takes over. And that's when I end up giving in to the feeling and lying in bed, even though it's painful.",1.0,0.0,0.0,1.0,0.0,2.0
13,Maybe tomorrow you'll be able to do it. But it seems like it's going to be so hard for you to get through the next few weeks.,1.0,0.0,0.0,1.0,0.0,2.0
14,You're the only one who can save yourself.,1.0,0.0,0.0,1.0,0.0,2.0
15,You're too heavy to lift yourself up. It's a terrible burden to carry.,1.0,0.0,0.0,1.0,0.0,2.0
16,A self-fulfilling prophecy.,1.0,0.0,0.0,1.0,0.0,2.0
17,"If you fail, if you can't break through, what happens then?",1.0,0.0,0.0,1.0,0.0,2.0
18,"You keep thinking, *""I'm already at the bottom.""*",1.0,0.0,0.0,1.0,0.0,2.0
19,You don't know how to stop sliding.,1.0,0.0,0.0,1.0,0.0,2.0
