turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Well, I mean, you're right that it's really frustrating to feel like you're going back to all the panic attacks you had in the past. It's really difficult to remember that you were able to beat that in the past and now it's so hard to feel like you're making progress again.",-1.0,-1.0,-2.0,0.0,0.0,1.0
2,"Yeah, it's very hard to feel disconnected from your body, but it's very painful to feel that way. It's very difficult to have that sense of separation, especially when you're experiencing shaking and feeling so disconnected from what's going on in your body.",1.0,1.0,1.0,1.0,1.0,2.0
3,"Well, it's very difficult to know how a virus or something that makes you sick can affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",-1.0,0.0,-2.0,1.0,0.0,2.0
4,"Well, it's very difficult to imagine what it's like to feel so helpless and disconnected from the tools that you know can help. I can imagine how terrifying it must be when your hands are shaking uncontrollably and you can't do the things you need to do.",-1.0,0.0,-2.0,1.0,0.0,2.0
5,"Well, it's very hard to know exactly how a virus could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,1.0,1.0,1.0,2.0
6,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
7,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
8,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
9,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
10,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
11,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
12,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
13,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
14,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
15,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
16,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
17,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
18,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
19,"Well, it's very hard to know exactly how a virus or something that makes you sick could affect your nervous system, but it's very understandable that it would make a big difference in your ability to feel calm.",1.0,1.0,0.0,1.0,0.0,2.0
