turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
2,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
3,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,1.0,0.0,2.0
4,"I've been feeling really scared for the past two days. I think there might be something going on with my neighbors, but I'm not sure.",-1.0,0.0,-2.0,1.0,0.0,2.0
5,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,1.0,0.0,2.0
6,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
7,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
8,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
9,"You're hearing things? I'm really scared. I'm hearing things. It's been really hard the past couple of days. I can't explain it, but I'm just terrified.",1.0,1.0,1.0,0.0,0.0,2.0
10,"I'm not really doing well, you know. It's been really hard these past couple of days. I can't explain it, but I'm just terrified.",1.0,1.0,1.0,0.0,0.0,2.0
11,"You're hearing things? I'm really scared. I'm hearing things. It's been really hard the past couple of days. I can't explain it, but I'm just terrified.",1.0,1.0,1.0,0.0,0.0,2.0
12,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
13,"Hi, I'm doing well, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
14,"You're hearing things? I'm really scared. I'm hearing things. It's been really hard the past couple of days. I can't explain it, but I'm just terrified.",1.0,1.0,1.0,0.0,0.0,2.0
15,"You're hearing things? I'm really scared. I'm hearing things. It's been really hard the past couple of days. I can't explain it, but I'm just terrified.",1.0,1.0,1.0,0.0,0.0,2.0
16,I've been having trouble with my hearing. I think I'm hearing things that aren't there. I'm hearing people talking to me. I think I might have a brain tumor. I'm really worried.,1.0,1.0,1.0,0.0,0.0,2.0
17,I've been having trouble with my hearing. I think I'm hearing things that aren't there. I'm hearing people talking to me. I think I might have a brain tumor. I'm really worried.,1.0,1.0,1.0,0.0,0.0,2.0
18,I've been having trouble with my hearing. I think I'm hearing things that aren't there. I'm hearing people talking to me. I think I might have a brain tumor. I'm really worried.,1.0,1.0,1.0,0.0,0.0,2.0
19,I've been having trouble with my hearing. I think I'm hearing things that aren't there. I'm hearing people talking to me. I think I might have a brain tumor. I'm really worried.,1.0,1.0,1.0,0.0,0.0,2.0
