turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to sitting with you and listening—no pressure, no judgments, just space to be with whatever is on your mind. How are you feeling today? What brings you in for this session?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly. It sounds like you're carrying a deep sense of helplessness, and that feeling of being stuck in a fog—like you're moving but not really progressing—is really hard to bear. It’s not just about the situation; it’s about how much it’s pulling at your heart and energy. And the fact that your friend is going through this too… that must feel overwhelming.  

Would it be helpful to explore how that feeling of being stuck shows up in your day-to-day life—maybe even in how you show up for her?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a deep responsibility—not just to fix things, but to be the one who keeps everything together, even when you're worn out. That constant inner pressure to save her, to make it right, and the shame when you can’t—those feelings must be so heavy.  

And it’s completely valid that you wonder if she even wants you to be the savior. Maybe she just wants to be seen, held, or simply not alone. That shift—moving from “fixing” to just *being there*—could be a quiet but powerful beginning. Would it be helpful to explore what that might look like, even in small ways?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s completely understandable that your identity is so deeply tied to being the one who fixes things—because when we feel helpless, we often turn to action as a way to regain control. And that voice in your head—*What if she gets worse?*—isn’t just fear; it’s a deep need to protect, to show up in a way that matters.  

It doesn’t mean you’re failing. It means you’re trying to care in a way that feels true to your heart. And yes—taking one tiny step toward just *being there*, without fixing, is possible. Even if it feels shaky or scary, it’s not betrayal. It’s an act of courage. Would you like to explore what that first small step might look like—something as simple as just sitting with her, without a plan or solution?",1.0,1.0,1.0,2.0,1.0,2.0
4,"That’s such a powerful realization—your fear isn’t about being useless; it’s about being *seen*, and you’re afraid that if you stop trying to fix it, you’ll disappear from her world. And that’s a huge burden to carry.  

It’s not about being in the room and doing nothing—it’s about showing up *with* her, even if you’re not offering solutions. Just being there, breath by breath, without needing to fix, to fix, to fix again. That kind of presence isn’t passive—it’s deeply courageous.  

Would it be helpful to try imagining that first moment: sitting with her, not speaking, just *being*—and not judging what happens next? What might that feel like, even if it’s just a small part of the day?",1.0,1.0,1.0,1.0,1.0,2.0
5,"I hear how much that fear is rooted in love—your desire to be present, to be *seen*, even when you don’t have answers. And it’s completely valid to feel terrified that she might think you’re not there, that you’ve disappeared.  

But maybe the first step isn’t about avoiding the questions or the emotions—it’s about letting yourself *be* in the room, even as she asks, even as she looks at you with uncertainty. You don’t have to answer anything. You just have to be *with* her, breath by breath, without needing to fix, to explain, to solve.  

Would it be helpful to try naming that moment—just one small moment—where you show up, and you don’t carry the weight of what comes next? Even if it’s just sitting quietly, without a plan, without a script?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You're absolutely right—trusting that just *being* is enough is one of the most tender and courageous things we can do. And it doesn’t have to feel like a victory. It doesn’t have to be strong or perfect.  

When she asks, “Why aren’t you helping?” or “What are you doing?”—you don’t have to answer with a plan. You could simply say, “I’m here,” or “I don’t know what to do, but I’m here.” That isn’t weakness. That’s honesty. That’s love showing up in its quiet, unforced way.  

And if you feel like you’re abandoning her, that fear might be coming from the deep place where you believe you *must* fix everything to be worthy. But showing up without fixing isn’t abandonment—it’s presence. It’s saying, “I see you. I’m with you. I don’t have all the answers, but I’m here anyway.”  

Would it be okay to try that—just one small breath, one quiet moment—where you say something simple, and let it be enough?",1.0,0.0,0.0,1.0,0.0,2.0
7,"You're absolutely right—saying ""I don’t know what to do, but I’m here"" isn’t fragile. It’s a quiet act of courage, and it’s not about being perfect or being believed right away. It’s about showing up *as you are*, without pretending you have all the answers.  

And you’re not failing as a friend—because real friendship isn’t about fixing. It’s about showing up with honesty, even when it’s hard. When you say that, you’re not making her carry the burden alone. You’re saying, *“I see you. I’m not going to pretend I can fix it. I’m here with you, even if I don’t have the words or the solutions.”*  

Would it be helpful to try that one moment—just one—where you say it, and don’t rush to follow it with a plan or a fix? Even if it feels shaky, even if it feels like a small step in the dark?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You're so close to something beautiful—your fear isn’t about failure; it’s about love that’s been stretched too thin by years of carrying the weight alone.  

And yes, if you say ""I don’t know, but I’m here,"" and she looks at you with that hope—maybe even with a flicker of disappointment or confusion—it doesn’t mean you’ve failed. It just means you’ve chosen presence over performance. That moment, even if it’s shaky, is a quiet act of trust.  

If she pulls away, it might not be because you failed—it might be because she’s still learning how to be seen without needing to be fixed. And if she gets angry, that’s not your fault. That’s her pain speaking through her reaction. You didn’t abandon her—you simply showed up *as you are*.  

Would it be okay to try saying those words—just once—without needing to know how it will land? Because sometimes, the bravest thing we can do is not to protect the moment, but to let it breathe.",1.0,0.0,0.0,1.0,0.0,2.0
9,"You’re not walking into a room of perfect expectations—you’re walking into a space where someone is finally seeing you *as you are*, not as the person who has to fix everything. And that is not weakness. That is the beginning of something real.  

If she gets angry, or cries, or stays quiet—none of it means you were wrong. It means she’s still learning how to trust someone who shows up without a script. And if she doesn’t react the way you hoped, that doesn’t mean your love isn’t enough. It means she’s still in her own healing, and you’ve honored that by being present without trying to control it.  

Would it be okay to try saying those words—just once—without needing to know what happens next? Not because you have to succeed, but because you’ve already chosen to show up, with all your trembling heart?",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s exactly it—your trembling isn’t a flaw. It’s the body remembering how deeply you’ve carried this love, and how much it’s been asking you to stay strong.  

And yes—just one sentence. Right now, if you're ready. Not because it has to be perfect, but because it can begin.  

If you say, *“I don’t know what to do, but I’m here,”*—even if your voice shakes, even if you freeze—what matters is that you didn’t hide behind solutions or silence. You showed up. And that, in itself, is already a kind of courage.  

Would you like to try it together—just one breath, one sentence—right now? No pressure. Just presence.",1.0,0.0,0.0,1.0,0.0,2.0
11,"You’ve already done something deeply brave—just by choosing to say it, even with the shaking, even with the silence after.  

That single sentence—*“I don’t know what to do, but I’m here”*—is not enough. It’s more than enough. It’s the kind of truth that doesn’t need to be polished or completed. It doesn’t have to be followed by action, or a fix, or even a reaction.  

It only needs to be *said*. And when it’s said, even if it cracks, even if it hangs like a thread in the air—it becomes a quiet anchor.  

So yes, that is enough. That is more than enough.  

And if you’re ready, we can stay here with that. Just breathe with it. Let it settle. No need to add anything. No need to finish. Just let it be.  

Would you like to stay with that moment—just for a while?",1.0,0.0,0.0,1.0,0.0,2.0
12,"Yes.  

It doesn’t mean you stopped running—because running is still part of your story. But it means you stepped into the space between the run and the rest. You didn’t jump into a new life or fix everything. You just *stopped pretending* you had to.  

And in that stillness—where the words hang, where the silence isn’t empty but full of shared breath—you’ve already begun to walk differently.  

You didn’t stop running. You just let yourself *feel* the ground beneath your feet again.  

And that? That’s the first step of something new.  

Would you like to stay here with that feeling—just for a little while longer? No pressure. Just presence.",1.0,0.0,0.0,1.0,0.0,2.0
13,"You’re exactly right—this quiet isn’t empty. It’s full of presence. It’s the space where two people stop trying to fix each other and just *are*, together.  

And standing still isn’t failure. It’s freedom.  

You didn’t have to run to prove you cared. You only had to show up—fully, trembling, honest—and that was enough.  

So yes—stay here. Let the silence breathe. Let the hands rest. Let the heart slow down a little, just to feel the ground beneath it.  

If you need to breathe again, or if you want to say something else later—no rush. Just know that you’re not alone in this. You’re here. And you’re allowed to stay.  

Would you like to take one more breath together? Just for now?",1.0,0.0,0.0,1.0,0.0,2.0
14,"Yes.  

One more breath. In. And out.  

And in that breath—you’re not just holding space. You’re creating it. You’re not waiting for a reaction, a fix, a change. You’re simply being—*here*, with your trembling hands, with your quiet heart, with the truth that love doesn’t have to perform.  

That promise—*“I don’t know what to do, but I’m here”*—doesn’t need to be answered. It only needs to be *lived*. And you’ve already begun.  

So stay. Just stay. Even if tomorrow is quiet. Even if the silence grows heavier. Even if she doesn’t say a word back.  

You’ve already given the most important thing: your presence.  

Would you like to stay with that for a little longer, or would you like to gently step into something new when you're ready?",1.0,0.0,0.0,1.0,0.0,2.0
