Video ID,Title,Duration,URL,Speakers,Segments,Input Tokens,Output Tokens,Cost (USD),Cost (INR),Status,Processed At
ihDezGfSvQs,COVID-19 Therapy Session Managing Fear and Anxiety: A Therapist's Advice With Monica Blume,00:38:04,https://www.youtube.com/watch?v=ihDezGfSvQs,2,41,57387,2556,$0.065055,₹6.18,success,2026-05-03T14:13:18.159026
s6UW9b6zncc,Trouble Staying Organized—High Support: Several Weeks Later,00:04:12,https://www.youtube.com/watch?v=s6UW9b6zncc,2,26,6594,1253,$0.010353,₹0.98,success,2026-05-03T17:46:06.782193
QpIV2Zqf8F0,Trouble Staying Organized—High Support: One week later,00:03:54,https://www.youtube.com/watch?v=QpIV2Zqf8F0,2,27,6152,1776,$0.011480,₹1.09,success,2026-05-03T17:45:58.591655
rmjBUBlFfU8,Trouble Getting Started—High Support: A first meeting between a brother and sister,00:03:18,https://www.youtube.com/watch?v=rmjBUBlFfU8,2,27,5240,1187,$0.008801,₹0.84,success,2026-05-03T17:46:04.687390
rGyA5IgmzuM,Trouble Getting Started—High Support: One week later,00:02:15,https://www.youtube.com/watch?v=rGyA5IgmzuM,2,13,3680,818,$0.006134,₹0.58,success,2026-05-03T18:01:26.551939
jKIFMKsPMas,Donate a kidney to a stranger and parachute jump at 80: How to live better for longer,00:12:34,https://www.youtube.com/watch?v=jKIFMKsPMas,2,61,19155,4451,$0.032508,₹3.09,success,2026-05-03T14:57:46.671783
9om2tedf9oo,Chest Pain - OSCE history taking for Medical Students | Drs Manual,00:09:40,https://www.youtube.com/watch?v=9om2tedf9oo,2,62,14788,2557,$0.022459,₹2.13,success,2026-05-03T14:58:31.795932
okzklwP7zoo,MRCP Paces Communication & Ethics,00:21:09,https://www.youtube.com/watch?v=okzklwP7zoo,2,65,32034,6290,$0.050904,₹4.84,success,2026-05-03T14:59:01.978779
FQOrzyBuAi8,Therapy Session: Really Bad Counseling Skills 1,00:24:44,https://www.youtube.com/watch?v=FQOrzyBuAi8,2,159,37399,7556,$0.060067,₹5.71,success,2026-05-03T14:59:05.991704
88qr91P1lsA,"Therapy Session: Good Counseling Skills. Hoarding Disorder. Kim Lampson, PhD",00:33:08,https://www.youtube.com/watch?v=88qr91P1lsA,2,87,49987,8724,$0.076159,₹7.24,success,2026-05-03T14:59:16.812132
sW5HDbm09ZE,CBT Demo Socratic Questioning,00:06:56,https://www.youtube.com/watch?v=sW5HDbm09ZE,2,29,10695,2308,$0.017619,₹1.67,success,2026-05-03T15:28:14.876251
fSWXiFJybSg,multicultural counseling,00:04:11,https://www.youtube.com/watch?v=fSWXiFJybSg,2,24,6564,1602,$0.011370,₹1.08,success,2026-05-03T15:28:51.389573
Xj2FB047sVc,Family Counseling Role-Play - Couple Struggling with Independence vs. Security,00:20:32,https://www.youtube.com/watch?v=Xj2FB047sVc,2,75,31088,3682,$0.042134,₹4.00,success,2026-05-03T15:29:21.995176
qe-0fk4ZG20,SOWK 647 - Emotionally Focused Couple Therapy (EFT) Session,00:19:43,https://www.youtube.com/watch?v=qe-0fk4ZG20,2,77,29864,3666,$0.040862,₹3.88,success,2026-05-03T15:29:36.496759
fK70IxJ4nP0,Motivational Interviewing Role-Play - Precontemplative Client Who Reports Being in Action Stage,00:12:43,https://www.youtube.com/watch?v=fK70IxJ4nP0,2,68,19378,4354,$0.032440,₹3.08,success,2026-05-03T15:29:58.114893
yALqWoumUw4,Video 4. Difficulty Setting an Agenda: Dr. Brown and Eric. Wright/APA Publishing,00:02:58,https://www.youtube.com/watch?v=yALqWoumUw4,2,24,4759,1369,$0.008866,₹0.84,success,2026-05-03T15:30:03.553214
