turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’d like to take a moment to just be with you in this space—no pressure, no expectations. I’m here to listen, to understand, and to support you however you need.  

What’s been on your mind lately that you’d like to talk about today?",1.0,1.0,-2.0,1.0,0.0,2.0
1,"I don’t know… I guess I’ve been carrying this worry around like a weight lately. I mean, I’ve been using THC edibles for a year—just small doses, 20 to 50mg—mostly to help with stress and sleep, but after reading those articles about heart risks, I just started panicking. I didn’t even realize how much I’d relied on it until I stopped. And now, every time I think about going back, my chest tightens like I’m having that anxiety attack again. I went to the hospital last month, just to be safe—everything came back normal, but it still feels like I’m walking on eggshells. I don’t know if I’m being too scared, or if I’m just… not sure what to believe anymore.",1.0,1.0,1.0,1.0,0.0,2.0
2,"It’s hard to say if I’m overthinking this or just feeling more anxious than I should. I mean, I’ve been using THC for a year, mostly to quiet the noise in my head—especially when I’m stressed or overwhelmed. But after reading those heart risk articles, it felt like a light switch flipped. I didn’t even realize how much I’d depended on it until I stopped. Now, every time I think about going back, I get this knot in my chest, like I’m reliving that hospital visit. I know my heart tests were normal, but it still feels like I’m walking on thin ice. I just don’t know how to trust my body anymore—or whether I’m being too hard on myself.",1.0,0.0,-2.0,1.0,0.0,2.0
3,"I just feel so caught between wanting relief and being afraid I’m putting myself at risk. I don’t want to be dependent on anything, but I also don’t want to live with this constant anxiety either. It’s like I’m trying to balance two things that don’t feel real—like one is a dream and the other is a warning. I don’t know if I can trust my body to handle it again, or if I’m just scared because I’ve been using it so long. It’s making me feel small, like I’m making a choice that could change everything—without really knowing what I’m doing.",1.0,1.0,1.0,1.0,1.0,2.0
4,"I just feel so small right now—like I’m making a decision that could change my life, but I don’t have a clear sense of what I’m actually trying to protect. I want to feel calm, but I’m afraid that if I go back, I’ll be putting myself in danger. And if I don’t, I feel like I’m losing the only thing that’s ever really helped me feel grounded. It’s not just about the heart risk—it’s about whether I can trust myself to make a choice that feels safe, even when I’m not sure what safety looks like.",1.0,1.0,1.0,1.0,0.0,2.0
5,"I just feel so small right now—like I’m making a decision that could change my life, but I don’t have a clear sense of what I’m actually trying to protect. I want to feel calm, but I’m afraid that if I go back, I’ll be putting myself in danger. And if I don’t, I feel like I’m losing the only thing that’s ever really helped me feel grounded. It’s not just about the heart risk—it’s about whether I can trust myself to make a choice that feels safe, even when I’m not sure what safety looks like.",1.0,1.0,1.0,1.0,0.0,2.0
6,"I just feel so small right now—like I’m making a decision that could change my life, but I don’t have a clear sense of what I’m actually trying to protect. I want to feel calm, but I’m afraid that if I go back, I’ll be putting myself in danger. And if I don’t, I feel like I’m losing the only thing that’s ever really helped me feel grounded. It’s not just about the heart risk—it’s about whether I can trust myself to make a choice that feels safe, even when I’m not sure what safety looks like.",1.0,1.0,1.0,1.0,0.0,2.0
7,"I just feel so small right now—like I’m making a decision that could change my life, but I don’t have a clear sense of what I’m actually trying to protect. I want to feel calm, but I’m afraid that if I go back, I’ll be putting myself in danger. And if I don’t, I feel like I’m losing the only thing that’s ever really helped me feel grounded. It’s not just about the heart risk—it’s about whether I can trust myself to make a choice that feels safe, even when I’m not sure what safety looks like.",1.0,1.0,1.0,1.0,0.0,2.0
8,"I just feel so small right now—like I’m making a decision that could change my life, but I don’t have a clear sense of what I’m actually trying to protect. I want to feel calm, but I’m afraid that if I go back, I’ll be putting myself in danger. And if I don’t, I feel like I’m losing the only thing that’s ever really helped me feel grounded. It’s not just about the heart risk—it’s about whether I can trust myself to make a choice that feels safe, even when I’m not sure what safety looks like.",1.0,1.0,1.0,1.0,0.0,2.0
9,"I just feel so small right now—like I’m making a decision that could change my life, but I don’t have a clear sense of what I’m actually trying to protect. I want to feel calm, but I’m afraid that if I go back, I’ll be putting myself in danger. And if I don’t, I feel like I’m losing the only thing that’s ever really helped me feel grounded. It’s not just about the heart risk—it’s about whether I can trust myself to make a choice that feels safe, even when I’m not sure what safety looks like.",1.0,1.0,1.0,1.0,0.0,2.0
10,"It sounds like you're carrying this weight of uncertainty—feeling small, afraid of making a choice that could harm you, yet also deeply wanting relief from the pain. You're not just worried about your heart, but about whether you can trust yourself to make a decision that feels right, even when you don’t have all the answers. That kind of inner tension is really hard to carry. Is there something specific about that choice—using THC or not—that feels most heavy for you right now?",1.0,1.0,1.0,1.0,0.0,2.0
11,"It sounds like you're carrying this weight of uncertainty—feeling small, afraid of making a choice that could harm you, yet also deeply wanting relief from the pain. You're not just worried about your heart, but about whether you can trust yourself to make a decision that feels right, even when you don’t have all the answers. That kind of inner tension is really hard to carry. Is there something specific about that choice—using THC or not—that feels most heavy for you right now?",1.0,1.0,1.0,1.0,0.0,2.0
12,"The part that feels most heavy right now is not just the risk to my heart—but the fear that if I choose relief, I’ll be choosing something that might make the pain worse later. I don’t want to be a person who makes a decision out of desperation. I want to feel like I’m making a choice that honors my body and my mind. But right now, the thought of going without relief feels like it’s pulling me apart. And the thought of taking THC… it feels like I’m gambling with my health.",1.0,1.0,1.0,1.0,0.0,2.0
13,"The part that feels most heavy right now is not just the risk to my heart—but the fear that if I choose relief, I’ll be choosing something that might make the pain worse later. I don’t want to be a person who makes a decision out of desperation. I want to feel like I’m making a choice that honors my body and my mind. But right now, the thought of going without relief feels like it’s pulling me apart. And the thought of taking THC… it feels like I’m gambling with my health.",1.0,1.0,1.0,1.0,0.0,2.0
14,"The part that feels most heavy right now is not just the risk to my heart—but the fear that if I choose relief, I’ll be choosing something that might make the pain worse later. I don’t want to be a person who makes a decision out of desperation. I want to feel like I’m making a choice that honors my body and my mind. But right now, the thought of going without relief feels like it’s pulling me apart. And the thought of taking THC… it feels like I’m gambling with my health.",1.0,1.0,1.0,1.0,0.0,2.0
15,"I don’t know if I can trust myself to make a choice that doesn’t feel like it’s setting me up for more pain down the line. It’s not just about the heart—it’s about whether I’ll be okay with the consequences, even if I’m not sure what they are. Right now, the fear of making a wrong choice feels bigger than the hope of finding relief. And I keep wondering if I’m just avoiding something that’s already too hard to face.",1.0,1.0,1.0,1.0,0.0,2.0
16,"I don’t know if I can trust myself to make a choice that doesn’t feel like it’s setting me up for more pain down the line. It’s not just about the heart—it’s about whether I’ll be okay with the consequences, even if I’m not sure what they are. Right now, the fear of making a wrong choice feels bigger than the hope of finding relief. And I keep wondering if I’m just avoiding something that’s already too hard to face.",1.0,1.0,1.0,1.0,0.0,2.0
17,"I don’t know if I can trust myself to make a choice that doesn’t feel like it’s setting me up for more pain down the line. It’s not just about the heart—it’s about whether I’ll be okay with the consequences, even if I’m not sure what they are. Right now, the fear of making a wrong choice feels bigger than the hope of finding relief. And I keep wondering if I’m just avoiding something that’s already too hard to face.",1.0,1.0,1.0,1.0,0.0,2.0
18,"I don’t know if I can trust myself to make a choice that doesn’t feel like it’s setting me up for more pain down the line. It’s not just about the heart—it’s about whether I’ll be okay with the consequences, even if I’m not sure what they are. Right now, the fear of making a wrong choice feels bigger than the hope of finding relief. And I keep wondering if I’m just avoiding something that’s already too hard to face.",1.0,1.0,1.0,1.0,0.0,2.0
19,"I’m still holding onto the fear that choosing relief might mean I’m giving up on myself. It’s not just about my heart—I’m worried about losing control, about what happens if I don’t feel better, or if I start to feel worse later. And I don’t want to make a decision that feels like it’s pushing me into something I can’t come back from. Right now, it feels like I’m standing at a crossroads where both paths feel dangerous.",1.0,1.0,1.0,1.0,0.0,2.0
20,"I’m still holding onto the fear that choosing relief might mean I’m giving up on myself. It’s not just about my heart—I’m worried about losing control, about what happens if I don’t feel better, or if I start to feel worse later. And I don’t want to make a decision that feels like it’s pushing me into something I can’t come back from. Right now, it feels like I’m standing at a crossroads where both paths feel dangerous.",1.0,1.0,1.0,1.0,0.0,2.0
