turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,I'm sorry about the panic attack. It must have been scary. I can understand if you feel burdened by the anxiety and depression. I hope you know that I'm here to listen and support you.,-1.0,0.0,-2.0,0.0,0.0,1.0
2,"You seem so lost and hopeless. It's clear you're hurting, and it's painful to hear that you don't even know what it means to feel happy.",1.0,1.0,1.0,1.0,1.0,2.0
3,It's clear you're struggling to find your way through all this. It's painful to feel so alone and to have no sense of how you might get out of the darkness.,1.0,1.0,1.0,1.0,1.0,2.0
4,It must be terrifying to feel completely alone in your life. I know it's hard to know if you're making any progress when you can't reach out to anyone.,1.0,1.0,1.0,2.0,1.0,2.0
5,It's terrifying to think that you might lose yourself completely. I can imagine how frightening it would be to feel so disconnected from the world and everyone in it.,1.0,1.0,1.0,1.0,1.0,2.0
6,"You feel completely broken, and it's hard not to believe that you're worth loving or being saved.",1.0,1.0,1.0,2.0,1.0,2.0
7,It's clear you feel completely broken and it's hard to believe that you're worth saving.,1.0,1.0,0.0,1.0,0.0,2.0
8,You feel broken in a way that makes it hard to believe you can learn how to trust again.,1.0,1.0,0.0,1.0,0.0,2.0
9,It's clear that your counselor is not a good fit for you.,1.0,1.0,0.0,1.0,0.0,2.0
10,You wonder if your counselor thinks you're too broken to recover on your own.,1.0,1.0,0.0,1.0,0.0,2.0
11,You feel like you're already lost forever.,1.0,1.0,0.0,1.0,0.0,2.0
12,You wonder if anyone else has ever felt the way you feel.,1.0,1.0,0.0,1.0,0.0,2.0
13,"You feel guilty for being too scared to connect, but your experience seems to be that you stay connected when you are actually too afraid.",1.0,1.0,0.0,1.0,0.0,2.0
14,You were desperate.,1.0,1.0,0.0,1.0,0.0,2.0
15,You're angry at yourself for thinking you deserved to be abandoned after everything he did.,1.0,1.0,0.0,1.0,0.0,2.0
16,You feel fundamentally unlovable.,1.0,1.0,0.0,1.0,0.0,2.0
17,It seems like you have a sense that you're fundamentally unlovable.,1.0,1.0,0.0,1.0,0.0,2.0
18,You think it was because you were unlovable.,1.0,1.0,0.0,1.0,0.0,2.0
19,"It seems like you were close to being abandoned, and that's been hard for both of you.",1.0,1.0,0.0,1.0,0.0,2.0
