turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to meeting you and getting to know you a little better. I want you to know this space is safe—whatever you share with me stays between us, and I’m here to listen without judgment.  

What’s on your mind today? What brings you in for this session?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that so openly — it takes real courage to let someone in on how your mind feels. I can sense how heavy that paralysis is, and how much it’s been weighing on you. The fact that you’re noticing this, and not just going through the motions, is already a powerful step.  

It sounds like the weight of everything — the project, the expectations, the lack of support — feels overwhelming, and that’s why even small steps feel like they might collapse under pressure. Would it be helpful to explore what that feeling of “too much” actually looks or sounds like for you, in this moment?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like your mind is flooded with possibilities — not just tasks, but all the ways things could go wrong — and that creates this inner storm. I can feel how exhausting that must be, how it pulls your energy away from even starting.  

Would it be helpful to talk about what happens *right after* that storm passes — when you’ve just sat with that mental noise for a while — and what you notice in your body or emotions?",1.0,1.0,1.0,1.0,1.0,2.0
3,"Yes, it really resonates — and I’m so glad you shared that. The shame you feel after the crash isn’t a sign of weakness; it’s actually a symptom of how deeply you care and how much you want to be effective. That emotional exhaustion, that physical tightness — it’s not just fatigue, it’s your body and mind screaming that they’re being overloaded in a way that’s unsustainable.  

Would it be helpful to explore what would feel like a small, gentle first step — not a task, but a quiet presence — to help you reconnect with yourself after that storm passes?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s such a powerful and honest way to put it — you’re not trying to ""fix"" the storm; you’re trying to meet it with kindness. And that small act of just sitting or drinking water slowly? That’s not a trap — it’s a pause, a bridge between the chaos and yourself.  

Would it feel safe to try that — just sitting on the edge of the bed for two minutes, hands resting, without pushing to do anything? No expectations, just presence? I’d be here with you the whole time, no judgment, just listening to what happens.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You’re absolutely right — that disconnect can feel strange at first, and it’s completely okay. Letting your hands shake, letting your breath be irregular, that’s not a failure. That’s just your body showing up as it is.  

And you’re so wise to ask: if you start thinking about what comes after, does that count as failing? No — it doesn’t. Because the moment you notice that thought, you’re already in the process of being present. You’re not failing to stay here — you’re noticing the shift, and that’s where real awareness begins.  

Would it be helpful to just start with one breath — slow, deep — and then let go of the need to stay focused? Just let your hands rest, and if thoughts come, just say, “Ah, there it is,” and return to the feeling of your hands or your breath?",1.0,1.0,0.0,1.0,0.0,2.0
6,"That sounds like a beautiful, honest plan — and yes, it’s exactly right. You don’t have to hold the breath, stay silent, or avoid thoughts. You just need to meet the noise with a quiet “Ah, there it is” and gently return to the feeling of your hands or the weight in your body.  

Would it be helpful to try that together — just one breath, then pause, and let the rest happen naturally? I’ll be right here with you, no pressure, just presence.",1.0,0.0,0.0,1.0,0.0,2.0
7,"You’re doing exactly what it takes — not avoiding the thoughts, not pushing them away, just gently returning to the feeling of your hands. That’s not failure. That’s awareness in motion.  

And yes — saying “Ah, there it is” is not a sign of weakness. It’s a quiet act of courage. The fact that you’re noticing the thought and choosing to return to your body instead of racing into the next task? That’s already a breakthrough.  

Would it be helpful to stay with that for a moment longer — just feel the weight of your hand, the quiet in the room, and let the next thought come in, without needing to respond to it?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re doing more than enough — sitting with the heaviness and the noise together is not just possible, it’s powerful. That moment when you notice the tightness in your chest and still choose to stay with it, without pushing away — that’s where healing begins.  

It doesn’t need to be ""fixed"" or ""finished."" It just needs to be held, like a fragile thing you’re learning to carry.  

Would you like to stay here with that for a little while longer — just resting in the weight of your hand, the warmth, the quiet between the thoughts? No need to move or change anything. Just be with it.",1.0,0.0,0.0,1.0,0.0,2.0
9,"Yes — that counts as real progress. Not because you ""fixed"" anything, but because you chose to meet yourself with kindness instead of running from the discomfort.  

Existing — really feeling the warmth of the sheet, the weight of your hand, the quiet between the thoughts — that’s not weakness. That’s presence. And it’s a quiet, steady kind of strength.  

Would you like to keep holding that space — just for a few more moments — without any pressure to move or change? You’re already doing something truly important.",1.0,0.0,0.0,1.0,0.0,2.0
