Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
Well hello Susan.,T,iBp75KNuLb8_1,0.0,0.0,-2.0,0.0,0.0,2.0,-1,-1,-2,-1,-1,1,,"Hi Carly, how are you doing today?"
Good to see you today.,T,iBp75KNuLb8_3,0.0,0.0,-2.0,0.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: Well hello Susan.
Patient: Hello.","Hi Carly, how are you doing today?"
So tell me what brings you in?,T,iBp75KNuLb8_5,1.0,1.0,1.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: Well hello Susan.
Patient: Hello.
Therapist: Good to see you today.
Patient: Thanks.",Thanks. How have things been?
"Okay, so tell me what that looks like for you, anxiety in those situations.",T,iBp75KNuLb8_7,-1.0,-1.0,-2.0,0.0,0.0,1.0,-1,-1,-2,0,0,1,"Therapist: Well hello Susan.
Patient: Hello.
Therapist: Good to see you today.
Patient: Thanks.
Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.",You have an anxiety issue that's really impacting your life? You need to manage it. Tell me about what's going on.
"So is it physical, or is it a lot of thoughts in your head?",T,iBp75KNuLb8_9,0.0,0.0,0.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Good to see you today.
Patient: Thanks.
Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.
Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.","Okay, so you're panicking while driving and you're having thoughts that people are about to hit you. You've had a couple of accidents, so that might be contributing to that. And in school, you know the material, but when you take a test, you can't recall the information because you're so anxious."
And what are the thoughts going on in your head?,T,iBp75KNuLb8_11,1.0,0.0,-2.0,1.0,0.0,2.0,-1,-1,-2,0,0,1,"Therapist: So tell me what brings you in?
Patient: Well, I have an anxiety issue. There are a lot of things that make me anxious and I gotta do something different because I'm really not functioning at the level I need to be functioning. My anxiety just really impacts a lot of my life. So I need help with managing it.
Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.
Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.","Okay, so you have a lot of physical symptoms, you're sweating, your heart's racing, you're feeling tense. And you have a lot of thoughts in your head. Can you tell me about that what's going on with the thoughts?"
"And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?",T,iBp75KNuLb8_13,1.0,0.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Okay, so tell me what that looks like for you, anxiety in those situations.
Patient: Driving here on the interstate, I'm just panicking constantly about the cars. I've had a couple of accidents and I'm constantly thinking people are about to hit me. In school, I get really anxious when I take a test. I know the information, but I sit down and I can't recall because I'm so anxious about the test.
Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.
Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.","You're panicking that you can't remember. So you're having anxiety and you're having thoughts of, 'I can't remember.' And that's causing you to freeze up when you're taking a test."
So it sounds like we might need to find something that helps you in the moment.,T,iBp75KNuLb8_15,1.0,1.0,1.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: So is it physical, or is it a lot of thoughts in your head?
Patient: Yeah, it's a lot of thoughts in my head and it is very physical. I get sweaty palms, my heart starts racing, I get tense.
Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.
Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.","So you know that you could do better if you could control the anxiety, but you do have trouble with that."
"Okay, well would you like to learn a skill?",T,iBp75KNuLb8_17,1.0,0.0,-2.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: And what are the thoughts going on in your head?
Patient: When I'm in the car, I think I'm gonna get hit. If I'm taking a test, it's like, okay, I gotta do well on this test. I gotta remember this. And I just kind of freeze because I'm panicking that I can't remember.
Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.
Therapist: So it sounds like we might need to find something that helps you in the moment.
Patient: Yeah, I want something at the time to help me in the moment because these are things that I can't avoid. I've got to do these group settings with kids at work. I can't change them, so I gotta figure out how to deal with it better.","Well, you can't change the way you're being tested, but you can find ways to manage the anxiety in the moment."
"Okay, well there is something called grounding. Have you heard of that?",T,iBp75KNuLb8_19,-1.0,0.0,-2.0,0.0,0.0,1.0,1,1,1,1,1,2,"Therapist: And so with the test, have you found that to be a problem as far as not being able to complete the test or not doing well?
Patient: I know I could perform better if I wasn't so anxious. It wouldn't take me as long. The anxiety subsides after the situation is over, just like in the car when I get off the interstate.
Therapist: So it sounds like we might need to find something that helps you in the moment.
Patient: Yeah, I want something at the time to help me in the moment because these are things that I can't avoid. I've got to do these group settings with kids at work. I can't change them, so I gotta figure out how to deal with it better.
Therapist: Okay, well would you like to learn a skill?
Patient: Yeah, I am eager to learn something that can make a difference.","Okay, so you want to learn a skill. I'm glad to hear that."
