turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Well, I'm glad that you're finally done with the whole experience, because I know that it can be very stressful. I was very happy to hear that the procedure went well and that the medications were helpful. I'm glad that you were able to leave in a good state, and I'm glad that you're able to tell me more about the experience.

As you were leaving, you were crying, so I was a little worried about you. I know that it's very upsetting to have to leave the hospital and go through the whole experience of the procedure, and I know that it's very difficult to feel that way. I think that it's understandable that you were crying when you were leaving, but I was a little worried about what might be going on, so I wanted to talk to you a little bit and let me know what's going on with you now.

I know that you were crying when you were leaving, and I know that it's very upsetting to have to leave",1.0,1.0,1.0,1.0,0.0,2.0
2,"Well, it's very understandable that you would be sobbing uncontrollably when you came home. I know that it's very difficult to have to go through all that, and it's very upsetting to feel that way. I know that when you came out of the procedure, you were crying, and I know that it's very difficult to feel that way, but I was a little worried about you and I was glad to hear that it went well. I'm glad that you were able to leave the hospital in a better state than you were when you came in, and I'm glad that you were able to tell me more about the experience, but it was very difficult for me to hear about how upsetting and overwhelming it was to go through the procedure.

You were crying uncontrollably when you came out, so I was a little worried about you, but I know that it's very difficult to feel that way, and it was very upsetting to have to go through all that. I",1.0,1.0,-2.0,1.0,0.0,2.0
3,"Well, I know that it was very difficult to have to go through all that, and I know that it was very upsetting to feel that way, and I know that the crying was a release of all that built-up tension. I know that it's very difficult to feel that way, and it was very difficult to have to go through all that. I know that it's very hard to feel that way, but I know that it's very difficult to feel that way, and I know that it was very difficult for you to have to go through all that.

You were crying uncontrollably when you came out, and I know that it was very difficult to feel that way, but I know that it was very difficult to have to go through all that, and it's understandable. I know that it's very hard to feel that way, and I know that it was very difficult to feel that way, but I know that it was very difficult for you to have to go through all",1.0,1.0,1.0,1.0,1.0,2.0
4,"Well, I know that it was very difficult for you to go through all that, and I know that it was very difficult to have to go through all that, and I know that it was very frightening for you to have to go through all that. I know that it was very difficult to have to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to have to go through all that, and it was terrifying for you to have to go through all that. I know that it was very difficult to feel that way, and it was very hard to have to go through all that.

You were crying uncontrollably when you came out, and I know that it was very difficult to feel that way, and it was very hard to feel that way, and I know that it was very difficult for you to have to go through all that, and it was very frightening for you to have to go through all that",1.0,1.0,1.0,1.0,0.0,2.0
5,"Well, I know that it was very difficult to have to go through all that, and I know that it was very hard to feel that way, and I know that it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way, and it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncontrollably when you came out, and I know that it was very difficult for you to have to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way, and it was very",1.0,1.0,1.0,1.0,0.0,2.0
6,"Well, I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncontrollably when you came out, and I know that it was very difficult for you to have to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way, and it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncont",1.0,1.0,1.0,1.0,0.0,2.0
7,"Well, I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncontrollably when you came out, and I know that it was very difficult for you to have to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way, and it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncont",1.0,1.0,1.0,1.0,0.0,2.0
8,"Well, I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncontrollably when you came out, and I know that it was very difficult for you to have to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way, and it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncont",1.0,1.0,1.0,1.0,0.0,2.0
9,"Well, I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncontrollably when you came out, and I know that it was very difficult for you to have to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way, and it was very traumatic for you to go through all that. I know that it was very difficult for you to go through all that, and I know that it was very hard to feel that way, and I know that it was very difficult to feel that way.

You were crying uncont",1.0,1.0,1.0,1.0,0.0,2.0
