Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.",T,25jUW52zAvU_1,-1.0,-1.0,-2.0,1.0,-1.0,2.0,-1.0,-1.0,-2.0,1.0,-1.0,2.0,,"Hi, Carly. How are you doing today? I'm doing well, thanks for asking. How have things been?"
"But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.",T,25jUW52zAvU_3,-1.0,-1.0,-2.0,1.0,-1.0,2.0,-1.0,-1.0,-2.0,1.0,-1.0,2.0,"Therapist: So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.
Patient: I mean, it was just like a social gathering, it wasn't like I was looking for it. The drinks were there and all my friends were doing it, and it was just... it's not something that I do on occasion, but whenever the opportunity presents itself, it's nice to just let loose and have a little bit of fun sometimes.","So you were at a party and there was alcohol there and your friends were drinking and you drank a few glasses of wine. And you feel like you were drinking too much, but you were also drinking with your friends and you were at a party where alcohol was available. So you were drinking a few glasses of wine, you feel like you were drinking too much, but you were also drinking with your friends and you were at a party where alcohol was available. So you were drinking a few glasses of wine, you feel like you were drinking too much, but you were also drinking with your friends and you were at a party where alcohol was"
"There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.",T,25jUW52zAvU_5,-1.0,-1.0,-2.0,0.0,-1.0,2.0,-1.0,-1.0,-2.0,0.0,-1.0,2.0,"Therapist: So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.
Patient: I mean, it was just like a social gathering, it wasn't like I was looking for it. The drinks were there and all my friends were doing it, and it was just... it's not something that I do on occasion, but whenever the opportunity presents itself, it's nice to just let loose and have a little bit of fun sometimes.
Therapist: But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.
Patient: I get where you're coming from, but I thought that I had it under control and I didn't let myself get too far gone. I wanted to be in control and I wanted to make sure that all my friends were okay so I didn't let myself drink too much.","So you thought you had it under control, but you did drink more than you thought you would. And that's when you started to feel the anxiety and the nervousness and the shaking. Is that right? So you thought you had it under control, you drank more than you thought you would, and that's when the anxiety started. Is that right? Okay. So you thought you had it under control, you drank more than you thought you would, and that's when the anxiety started. Okay. So you thought you had it under control, you drank more than you thought you would, and that's when the anxiety started."
How much are you drinking?,T,25jUW52zAvU_7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.
Patient: I mean, it was just like a social gathering, it wasn't like I was looking for it. The drinks were there and all my friends were doing it, and it was just... it's not something that I do on occasion, but whenever the opportunity presents itself, it's nice to just let loose and have a little bit of fun sometimes.
Therapist: But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.
Patient: I get where you're coming from, but I thought that I had it under control and I didn't let myself get too far gone. I wanted to be in control and I wanted to make sure that all my friends were okay so I didn't let myself drink too much.
Therapist: There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.
Patient: Yeah, I understand exactly what you're saying and...","So, I mean, I'm glad that you're listening to me and you're concerned about the things that I'm saying, but I just want to make sure that you understand that you're drinking and that's a problem. And I just want to make sure that you understand that you need to stop drinking."
Is it like every weekend?,T,25jUW52zAvU_9,-1.0,-1.0,-1.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,-1.0,2.0,"Therapist: But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.
Patient: I get where you're coming from, but I thought that I had it under control and I didn't let myself get too far gone. I wanted to be in control and I wanted to make sure that all my friends were okay so I didn't let myself drink too much.
Therapist: There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.
Patient: Yeah, I understand exactly what you're saying and...
Therapist: How much are you drinking?
Patient: I don't think I'm drinking that much. I mean it's mainly for social gatherings, like it's nothing that I do by myself or whatever.","Well, I mean, that's what makes it so dangerous. I mean, if you're drinking at a party, you're drinking at a party. And if you're drinking at a party, you're drinking at a party. And if you're drinking at a party, you're drinking at a party. And if you're drinking at a party, you're drinking at a party. And if you're drinking at a party, you're drinking at a party. And if you're drinking at a party, you're drinking at a party. And if you're drinking at a party, you're drinking at a party. And"
"Tommy, I'm just so concerned. You know, can't you think of anything better to do?",T,25jUW52zAvU_11,-1.0,-1.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,-2.0,0.0,-1.0,1.0,"Therapist: There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.
Patient: Yeah, I understand exactly what you're saying and...
Therapist: How much are you drinking?
Patient: I don't think I'm drinking that much. I mean it's mainly for social gatherings, like it's nothing that I do by myself or whatever.
Therapist: Is it like every weekend?
Patient: Every other weekend, I would say.","Okay, so every other weekend you're drinking. And you're drinking a few drinks every time you go out?"
Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.,T,25jUW52zAvU_13,-1.0,-1.0,-2.0,1.0,-1.0,2.0,-1.0,-1.0,-2.0,1.0,-1.0,2.0,"Therapist: How much are you drinking?
Patient: I don't think I'm drinking that much. I mean it's mainly for social gatherings, like it's nothing that I do by myself or whatever.
Therapist: Is it like every weekend?
Patient: Every other weekend, I would say.
Therapist: Tommy, I'm just so concerned. You know, can't you think of anything better to do?
Patient: I guess I can. I could probably be more productive in my schoolwork rather than going out to parties as much, and I do get where you're coming from.","Well, I'm glad you can see that. I mean, I think that you have a lot of potential for some real growth in your life, and I think that you can really make some changes that would be really positive for you. And I'm just so happy that you can see that, too. I mean, I think that you have a lot of promise and I'm just so excited for you."
"Well there's a lot of things that seem fun in the moment that we know aren't a good choice, right? That's some of the things we talk about all the time is making good choices for our life and really doing what's best for you and I just... you know, I really think you should think about making a big change here.",T,25jUW52zAvU_15,-1.0,-1.0,-2.0,0.0,-1.0,2.0,-1.0,-1.0,-2.0,0.0,-1.0,2.0,"Therapist: Is it like every weekend?
Patient: Every other weekend, I would say.
Therapist: Tommy, I'm just so concerned. You know, can't you think of anything better to do?
Patient: I guess I can. I could probably be more productive in my schoolwork rather than going out to parties as much, and I do get where you're coming from.
Therapist: Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.
Patient: Yeah, I guess I haven't really put it on myself, I guess it's really been forced on their account and I've just been following in their footsteps just because it seems like what they're doing is a lot of fun and I just want to make sure I'm getting every bit of the high school experience that I can.","So you feel like you're following in the footsteps of your friends, but you're not sure if that's the best decision for you."
I think you really need to quit.,T,25jUW52zAvU_17,-1.0,-1.0,-2.0,0.0,-1.0,2.0,-1.0,-1.0,-2.0,0.0,-1.0,2.0,"Therapist: Tommy, I'm just so concerned. You know, can't you think of anything better to do?
Patient: I guess I can. I could probably be more productive in my schoolwork rather than going out to parties as much, and I do get where you're coming from.
Therapist: Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.
Patient: Yeah, I guess I haven't really put it on myself, I guess it's really been forced on their account and I've just been following in their footsteps just because it seems like what they're doing is a lot of fun and I just want to make sure I'm getting every bit of the high school experience that I can.
Therapist: Well there's a lot of things that seem fun in the moment that we know aren't a good choice, right? That's some of the things we talk about all the time is making good choices for our life and really doing what's best for you and I just... you know, I really think you should think about making a big change here.
Patient: Yeah, I do see that maybe me drinking not as much would possibly better my life to a certain degree and it does make a lot of sense and I guess I can put more effort into sort of lowering the level of drinking that I...","Well, I'm really happy that you're willing to make a change, and I think that you're right, that you can make a change. I think that you have the power to make a change in your life and I'm really proud of you for being willing to make a change. I'm just wondering if we could just talk about some of the things that you could do to make that change. Maybe we could talk about some of the things that you could do to make that change. Maybe we could talk about some of the things that you could do to make that change. Maybe we could talk about some of the things that"
"I think you're wrong. You know, it really worries me. Anyway, I wish you would quit. If all you're going to do is cut down, that's better than nothing. You know, I appreciate you talking to me about this, but I'm going to keep talking to you about it. It's really important.",T,25jUW52zAvU_19,-1.0,-1.0,-2.0,0.0,-1.0,2.0,-1.0,-1.0,-2.0,0.0,-1.0,2.0,"Therapist: Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.
Patient: Yeah, I guess I haven't really put it on myself, I guess it's really been forced on their account and I've just been following in their footsteps just because it seems like what they're doing is a lot of fun and I just want to make sure I'm getting every bit of the high school experience that I can.
Therapist: Well there's a lot of things that seem fun in the moment that we know aren't a good choice, right? That's some of the things we talk about all the time is making good choices for our life and really doing what's best for you and I just... you know, I really think you should think about making a big change here.
Patient: Yeah, I do see that maybe me drinking not as much would possibly better my life to a certain degree and it does make a lot of sense and I guess I can put more effort into sort of lowering the level of drinking that I...
Therapist: I think you really need to quit.
Patient: Yeah, I mean alcohol is just so prevalent in our society and it's just around me wherever I go in parties and stuff that I kind of feel like I should just get used to it or at least understand its effects before I should let it get out of my life entirely. I don't really see it as something that will completely destroy my life.","Well, I think you're right that it's a part of our culture and it's something that you're going to have to deal with. But I think that the way you're dealing with it now is not the way that you should be dealing with it. I think that you need to quit. I think that you need to make a change and I think that you need to quit drinking."
