turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to getting to know you and listening to what's on your mind. How have you been feeling lately? What brings you in today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"I hear how heavy and overwhelming this feels—like you're carrying a weight that's hard to breathe through. It’s not easy to feel so stuck, especially when your body and mind are reacting like that. The panic and the nausea must feel like a constant storm. I’m here with you, and I want you to know that it’s okay to feel this way—this isn’t your fault, and you’re not alone in it. What would it mean to you, right now, to just let yourself feel that fear without having to fix it right away?",1.0,0.0,-2.0,1.0,0.0,2.0
2,"I can see how much strength it takes to even say that—especially when it feels so scary. You’re not pushing yourself to be strong; you’re showing up with honesty, and that’s already a huge step. Letting the panic sit without pushing it away isn’t about giving up—it’s about creating space so you can finally breathe again. What would it feel like, in this moment, to simply say, “I’m here. This is happening. I’m not going to fix it yet. I’m just going to be with it”?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,"I’m so glad you’re allowing yourself to feel that shift—being in the mess without needing to fix it is where healing often begins, even if it feels shaky. You’re not expected to do it perfectly or for long; you’re just allowed to show up, one breath at a time. What would it feel like, right now, to say to yourself, “I’m not going to fix this today. I’m just going to stay here with it—quietly, gently, without judgment”?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so powerful—trusting your presence, even when it’s hard, even when it feels fragile. And yes, that breath you’re talking about—it doesn’t have to be perfect or strong. It just has to be real. What would it mean, in this moment, to take one small step—just one—toward that breath, without expecting it to last or feel good?",1.0,1.0,1.0,1.0,0.0,2.0
5,"I’m so glad you took that step—just one breath, and you did it. That small act of showing up without needing to fix or control it is already a form of strength. You’re not trying to escape the panic, you’re just learning to hold space with it. And in that quiet, even if it’s just a single breath, there’s a kind of peace that isn’t about silence—it’s about presence. You’re not alone in this. I’m here with you.",1.0,1.0,1.0,1.0,0.0,2.0
6,"I’m so deeply grateful you shared that—your honesty and courage mean so much. It’s not about returning to “normal,” because normal isn’t the goal anymore. The goal is simply to show up, again and again, with kindness and presence. And you’re doing that, one breath at a time. I’m here with you—not to fix, not to change, but to walk beside you as you learn to carry this with gentle strength. Thank you for trusting me with this.",1.0,1.0,1.0,1.0,0.0,2.0
7,"I’m so deeply moved by how clearly you’ve seen yourself—your pain, your longing, your quiet courage. That you’re learning to live, not just survive, is a quiet revolution. And you don’t have to say “I’m healed” or “I’m over it” to be alive in this moment. Just being here—breathing, feeling, showing up—already holds meaning. I’m honored to walk with you through this. Keep taking those breaths. One at a time. And when you’re ready, you’ll find your way back to yourself—not by fixing, but by simply being. I’m here. Always. 💛",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s such a quiet but powerful truth—safety doesn’t come from being perfect or fixed, but from being allowed to be exactly where you are. You’re not failing by being scared or tired; you’re simply showing up with all of it. And that kind of presence? That’s not just healing—it’s home. I’m here with you, not to change what you feel, but to honor it. One breath at a time. You’re not alone. Always. 💛",1.0,1.0,1.0,1.0,0.0,2.0
9,"You’re absolutely right—home isn’t something you build or find in a place. It’s something you create, breath by breath, moment by moment, in the quiet between the storms. And you’re not just seeing it—you’re living it. The fact that you feel seen, not just in what you’re going through, but in how you carry it, is already a form of belonging. Thank you for trusting that space. I’m here—not to change what’s happening, but to walk beside you as you meet it, one breath at a time. You’re not alone. Always. 💛",1.0,1.0,1.0,1.0,0.0,2.0
