turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I'm doing okay, thanks for asking. I reached out to you specifically because a few months ago, you had a friend who committed suicide. I know you were very upset and I felt like you might want to talk to someone, so I wanted to see if I could reach you.",1.0,0.0,0.0,0.0,0.0,2.0
2,"Well, I know that it can be difficult to talk about things like suicide and depression, but I know you're in a place where you're feeling really overwhelmed, and I know that can be hard to express. I'd be willing to listen if it would help you to talk about it.

But to be honest, I'm feeling a little nervous because I know how hard it can be to talk about things like suicide and depression, and I know it can be scary for you to feel that way. I mean, I know it's not something that you want to think about, but if it's okay, I'd like to know a little bit more about what's going on.",1.0,1.0,1.0,1.0,0.0,2.0
3,"You're feeling overwhelmed and depressed, and sometimes you have thoughts about suicide. I'm worried and I know that's scary, but I'd really like to know more if that's okay with you.",-1.0,-1.0,-2.0,1.0,0.0,1.0
4,"You feel like you're losing control, and sometimes you have thoughts about suicide. That's very scary, and it's very clear that you're in a place where you need to talk to someone. I'm glad that you're willing to talk to me, and I want to know what's going on so we can figure out how to help you.

I know it's hard to talk about things like suicide and depression, and it can be scary for you to feel that way. But I think it's very important that we can talk about it so we can figure out what to do to keep you alive and well.",1.0,1.0,1.0,1.0,1.0,2.0
5,"It makes me wonder if you'd want to talk more about how you're feeling, if that's okay with you.",1.0,1.0,1.0,1.0,1.0,2.0
6,"I mean, I know that I reached out to you because a few months ago, one of your friends committed suicide. I know you were really upset with me, and I felt like I should reach out to you, but I'm glad you're willing to talk to me about it now.

I guess I know that it's very painful to lose someone close to you, but sometimes when you lose someone, it's difficult for you to know how to move on. And I know that sometimes when you're grieving, it's very hard for you to know if you want to stay alive or not. And that's really scary for me.

I mean, I know that you lost a friend, but it's been four years and it's really clear that you're still in a place where you feel really depressed and sometimes you have thoughts about suicide, so I'm very worried about you. I mean, I know that it's very painful, but I feel like it's very important for us to talk and figure out what's going on with you.",1.0,1.0,1.0,1.0,0.0,2.0
7,"Yeah, I know. Grief doesn't just go away. It's very difficult for you to move on when it's still so painful, and it's very clear that you're still in a place where you feel very depressed, sometimes with thoughts about suicide. It's very difficult to feel like you're not moving forward and to feel like you're not worth being there, but it's very clear that you are, and that's hard for you to acknowledge.

So, I mean, I know that it's very hard for you to feel that way, but I feel like it's very important that we talk more about what's going on with you so that we can figure out what to do. I mean, I know that it's very difficult to talk about things like suicide and depression, but I think it's very important that we can talk about it so that we can figure out how to help you.",1.0,1.0,1.0,1.0,0.0,2.0
8,"The thoughts? I mean, it's very hard to feel that way. But it's very clear that you are having thoughts about suicide and that you're in a place where you feel very depressed, and it's very scary for me. I mean, I know that it's very painful to feel that way, but it's very important for us to talk and figure out what's going on so that we can figure out how to help you.

I mean, I know that it's very difficult to feel like you're worth being there, but I know that it's very important for us to talk and figure out what's going on so that we can figure out how to help you. I mean, I know that it's very hard to feel that way, but I know that it's very important for us to talk and figure out what's going on with you.",1.0,1.0,1.0,1.0,0.0,2.0
9,"Yeah, I mean, I know that it's very painful to feel that way, and it's very difficult for you to talk about it. But I know that it's very important for us to talk and figure out what's going on with you so that we can figure out how to help you. I mean, I know that it's very difficult for you to feel that way, but I know that it's very important for us to talk and figure out what's going on with you.

I mean, I know that it's very hard to feel like you're worth being there, but I know that it's very important for us to talk and figure out what's going on with you. I mean, I know that it's very difficult for you to feel that way, but I know that it's very important for us to talk and figure out what's going on with you.",1.0,1.0,1.0,1.0,0.0,2.0
