turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Yeah, I've had a couple times where I felt that way. It's frightening when your anxiety is so intense that you feel like you're being overwhelmed by the situation. It's understandable if it feels hard to control.",1.0,1.0,1.0,1.0,1.0,2.0
2,"Yeah, it's hard to know for sure, but I would think that once you do a little more investigation, you might feel a little better.",1.0,1.0,1.0,1.0,0.0,2.0
3,"The anxiety is so intense that it's hard to believe you're really in a state of anxiety. It's understandable if you feel that way, but it's also dangerous to think you're completely detached from your body or thoughts when you're actually experiencing one of the most distressing symptoms of anxiety: the sense of being mentally detached from the physical reality.

When you feel that sense of being unreal or unconnected, it's very common to feel as though you're experiencing a dissociative episode, where you feel separated from your body or environment. This is often associated with high levels of anxiety or trauma.",-1.0,-1.0,-2.0,1.0,0.0,1.0
4,"You're right, it does feel scary to experience a sense of detachment. I'm glad you can tell me about that, but it does sound very distressing. It's understandable if you're worried it could mean a serious medical or mental health problem, especially when you feel so separated from your body.

It's important to note that while dissociation can be a symptom of serious trauma, it can also happen during intense anxiety. I'm glad you went to the hospital, but it's helpful to know that sometimes high levels of anxiety can produce a feeling similar to being separated from your body or surroundings.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You're right that the sense of detachment is very concerning. It's possible that high levels of anxiety can cause dissociation, but it's also possible that the dissociation could be a sign of a more serious problem.",1.0,1.0,1.0,2.0,1.0,2.0
6,"It's understandable that you'd want to try to use them again, especially since you know they've helped you with anxiety in the past. However, given that you've already experienced a serious anxiety episode and have been hospitalized, it's important to approach the situation with caution.

You're right that it's difficult to know if you're just having a panic attack or if you're actually developing a condition that requires immediate attention. In the past, you had a situation where you used a drug to try to cope, and that led to a very scary episode in the hospital. It's understandable that you would be concerned, but it's also dangerous to use drugs when you can't be sure what's going on.",1.0,0.0,0.0,1.0,0.0,2.0
7,"It's understandable that you would feel this way, but the risks of using drugs, even for anxiety, are significant, especially when you already had a hospitalization for a serious episode.",1.0,0.0,0.0,1.0,0.0,2.0
8,"You're trapped in a situation where you can't use the drug, but you're also terrified to use it again if you do.",1.0,0.0,0.0,1.0,0.0,2.0
9,"The risk of a negative physical reaction to the drug is real, and it's understandable that you'd be concerned.",1.0,0.0,0.0,1.0,0.0,2.0
10,"You seem really worried that you might be at risk of a negative reaction, even if it is something that happened before.",1.0,0.0,0.0,1.0,0.0,2.0
11,You're in a very vulnerable state with the use of drugs and your anxiety already being so high. It's understandable that you'd want to stop and try to assess what might be causing these symptoms.,1.0,0.0,0.0,1.0,0.0,2.0
12,"You're right that it's very difficult to know what's going on with your anxiety and your reaction to the drug. The problem is that when you try to stop using them, you're in a state where you can't even be sure if you're having a panic attack or if you're really at risk for a serious physical reaction.",1.0,0.0,0.0,1.0,0.0,2.0
13,"You're having experiences that are very different from what you experienced when you were regularly using the drug. It's difficult to know if you're having a panic attack, a negative reaction to the drug, or something in between.",1.0,0.0,0.0,1.0,0.0,2.0
14,You seem to have a strong sense that your reaction to the drug is different now than when you used to use it.,1.0,0.0,0.0,1.0,0.0,2.0
15,"It's understandable that you'd feel nervous about taking the drug again, especially if you have a history of panic attacks or heart issues.",1.0,0.0,0.0,1.0,0.0,2.0
16,"You're certainly right that the risk of a heart attack is higher with anxiety, but the risk from using the drug is not clear.",1.0,0.0,0.0,1.0,0.0,2.0
17,It's clear you're having a lot of trouble understanding exactly what's going on with your anxiety or what the risks of the drug are.,1.0,0.0,0.0,1.0,0.0,2.0
18,You're having a lot of difficulty understanding if you're really at risk for a heart attack or if you're just feeling very anxious.,1.0,0.0,0.0,1.0,0.0,2.0
19,You're feeling very confused and you have a lot of trouble understanding if you're really at risk for a heart attack or just having anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
