Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.",T,Kusv2J0M19E_1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,"**Session Notes**

**Client:** Sarah, 35, female, anxious about her upcoming job interview

**Therapist:** (Reflective listening) It sounds like you're feeling a bit anxious about the interview. Can you tell me more about what's on your mind? What are some of the things that are worrying you about the interview?

**Sarah:** (nervously) I just feel like I'm not good enough. I've been preparing for weeks, but I still feel like I'm not prepared. What if I say something stupid or forget something important? What if I don't get the job?

**Ther"
Yeah.,T,Kusv2J0M19E_3,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.
Patient: Are you kidding me?","I can sense that you're feeling frustrated and overwhelmed right now. It sounds like you're feeling like you're carrying a heavy burden, and it's taking a toll on your daily life. Can you tell me more about what's been going on and how you're feeling?"
"Yeah, so it's kind of hard to hear it that way.",T,Kusv2J0M19E_5,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,"Therapist: Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.
Patient: Are you kidding me?
Therapist: Yeah.
Patient: That high?",It sounds like you're feeling frustrated and possibly overwhelmed. It's understandable to feel that way when things aren't going as planned. Can you tell me more about what's been going on and how you've been feeling lately?
It kind of surprised you?,T,Kusv2J0M19E_7,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.
Patient: Are you kidding me?
Therapist: Yeah.
Patient: That high?
Therapist: Yeah, so it's kind of hard to hear it that way.
Patient: I'm kind of surprised you...",It sounds like you're feeling a bit taken aback by my response.
Just a little above average.,T,Kusv2J0M19E_9,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Yeah.
Patient: That high?
Therapist: Yeah, so it's kind of hard to hear it that way.
Patient: I'm kind of surprised you...
Therapist: It kind of surprised you?
Patient: Yeah, well, I didn't think... yeah, I didn't think it was going to rate that high. I mean, I figured a lot of people were in my category, but I would have figured that I was probably in about the 60%, 75%.","It sounds like you were expecting a certain level of success or recognition, and it's okay to have those expectations. It's natural to feel a sense of disappointment when we don't meet our own standards. Can you tell me more about what you were hoping for in this situation?"
It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,T,Kusv2J0M19E_11,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Yeah, so it's kind of hard to hear it that way.
Patient: I'm kind of surprised you...
Therapist: It kind of surprised you?
Patient: Yeah, well, I didn't think... yeah, I didn't think it was going to rate that high. I mean, I figured a lot of people were in my category, but I would have figured that I was probably in about the 60%, 75%.
Therapist: Just a little above average.
Patient: Wow, that's way up there.",It sounds like you're feeling a bit surprised and maybe even a bit disappointed that you didn't quite meet your own expectations.
"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...",T,Kusv2J0M19E_13,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,"Therapist: It kind of surprised you?
Patient: Yeah, well, I didn't think... yeah, I didn't think it was going to rate that high. I mean, I figured a lot of people were in my category, but I would have figured that I was probably in about the 60%, 75%.
Therapist: Just a little above average.
Patient: Wow, that's way up there.
Therapist: It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.
Patient: I've always recognized that. I've seen it. I've tried to deny it a lot of times, but then I've recognized that I'm at the stage that I know I have issues.","It sounds like you've been trying to put on a brave face and hide your emotions, but it's clear that you're struggling with some underlying feelings of anger and frustration. It's like you're trying to navigate this difficult situation, but it's hard to know where to start."
"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.",T,Kusv2J0M19E_15,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Just a little above average.
Patient: Wow, that's way up there.
Therapist: It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.
Patient: I've always recognized that. I've seen it. I've tried to deny it a lot of times, but then I've recognized that I'm at the stage that I know I have issues.
Therapist: Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...
Patient: Where the studies have been done?","I'm not aware of any specific studies that have been done on this particular issue. It's possible that it's a relatively common experience for many people, but I'm not aware of any research that has specifically looked at this."
Yeah.,T,Kusv2J0M19E_17,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.
Patient: I've always recognized that. I've seen it. I've tried to deny it a lot of times, but then I've recognized that I'm at the stage that I know I have issues.
Therapist: Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...
Patient: Where the studies have been done?
Therapist: Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.
Patient: I didn't think I was that bad.","It's not about being bad, it's about being aware of it. It's like, you're recognizing that you're not as good as you thought you were. And that's a really brave thing to do."
"Because getting angry, saying things to people, not thinking things through, can really put you at risk.",T,Kusv2J0M19E_19,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...
Patient: Where the studies have been done?
Therapist: Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.
Patient: I didn't think I was that bad.
Therapist: Yeah.
Patient: I've gotten a lot of serious problems. I mean, the same thing that they do to me, I do to them. So a lot of times I'm surprised, especially in the environment that I live in, that I haven't gotten shot, stabbed, or killed yet. I mean, that should definitely have happened. And I'm surprised it hasn't.","It sounds like you're carrying a lot of weight with you, feeling like you're living in a world that's not always fair or just. It's like, you're constantly on edge, waiting for something to happen, and it's hard to shake the feeling that you're just waiting for the other shoe to drop."
