turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you share with me, it will stay private, and I’m here to listen without judgment. I’m curious—what’s on your mind today? What brings you in for this session?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"I’ve been thinking a lot about that recent dental appointment—how it felt like walking back into a place where I was already scared, even though the actual treatment went okay. I didn’t expect to cry so much or feel so disconnected, like I was floating out of my body. It made me realize how deeply those medical settings, especially with doctors, still trigger old wounds from childhood and the sexual assault I went through. I’m not sure I’m ready to go back to the dentist yet, but I’m starting to wonder if I can find a way to feel safer in those spaces—without having to fight the fear. I just wanted to share that with you.",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
2,"It sounds like that dental appointment brought up a lot of old emotions—feeling like you were walking back into a space that’s been scary for years, even when things were physically okay. The crying and dissociation must have felt overwhelming, and it’s not surprising that it triggered memories of the medical settings and trauma from childhood and the sexual assault. Thank you for sharing that so honestly. Would it be helpful to explore what part of that experience felt most difficult to carry, or what you noticed about how your body or mind reacted?",1.0,1.0,1.0,1.0,1.0,2.0
3,"The part that felt most difficult was when the hygienist started scaling—my body just went rigid, like I was frozen. I could feel my breath catch, and my hands were shaking so bad I had to hold onto the armrest. I didn’t even realize I was crying until I looked down and saw my hands trembling. It wasn’t the pain—it was the feeling of being in that room again, like I was back in the hospital when I was a kid, or when the doctor touched me without permission. My husband was there the whole time, and I think that helped, but I still felt so far away from myself. I don’t know if I can trust the dental office to be safe again, not just for me, but for the way it makes me feel.",1.0,1.0,1.0,1.0,1.0,2.0
4,"It wasn’t just the scaling—it was the way she moved her hands, like she was doing something invasive, and suddenly I felt like I was back in that hospital room when I was seven, and I didn’t even know what was happening. My body just shut down. I remember thinking, *this is not safe*, and I couldn’t move or breathe. The meds helped a little, but they didn’t stop the fear from rising in my chest. And the worst part? I had to pay the balance out of my own pocket—scrambled for cash, felt so exposed. It made me feel like I wasn’t just afraid of the dentist, I was afraid of being in a place where I have to be responsible for my own survival, like I still have to prove I’m not a burden. That part—feeling so small and unsafe in my own body—still haunts me.",1.0,1.0,1.0,1.0,0.0,2.0
5,"The part that hit me the hardest was when she started scaling—my body just locked up, like I was frozen in place. I could feel my heart pounding, but my hands were numb, and I couldn’t speak. It wasn’t the pain—it was the way it felt like she was touching me without asking, like I was back in that hospital when I was seven, and the doctors didn’t explain anything. I remember thinking, *I don’t know what’s happening, and I don’t want to be here*. The meds helped, but they didn’t stop the fear from crawling up my spine. And paying the balance out of my own pocket—it made me feel like I had to be strong, like I had to prove I wasn’t just a scared person. It felt like I was carrying all that alone, even with my husband there. It still feels like a betrayal of trust—not just in the office, but in myself.",1.0,1.0,1.0,1.0,0.0,2.0
6,"Hi there, I'm so glad you're here. I'm really glad you're listening—this has been such a hard thing to talk about. I’ve been thinking a lot about that recent dental appointment—how it felt like walking back into a place where I was already scared, even though the actual treatment went okay. I didn’t expect to cry so much or feel so disconnected, like I was floating out of my body. It made me realize how deeply those medical settings, especially with doctors, still trigger old wounds from childhood and the sexual assault I went through. I’m not sure I’m ready to go back to the dentist yet, but I’m starting to wonder if I can find a way to feel safer in those spaces—without having to fight the fear. I just wanted to share that with you.",1.0,1.0,1.0,1.0,0.0,2.0
7,"It’s not just the fear of the dentist—it’s the way medical spaces feel like they’re still holding onto that old hurt. When I was seven, my mom was sick, and I was in the hospital a lot. The doctors didn’t explain things, they just touched me, and I didn’t know what was happening. That memory plays over and over in my head during appointments now. Even though this time the cleaning went okay, my body still went rigid, like I was being touched without permission. I cried because it felt like I was reliving that moment—being small, powerless, and not knowing if I was safe. My husband was there, and he stayed calm, but I still felt so alone in my own skin. I keep thinking: *Can I ever trust a doctor again?* It’s not just about the procedure—it’s about whether I can feel safe in my own body.",1.0,1.0,1.0,1.0,0.0,2.0
8,"Yeah, it’s the same pattern—those places where someone else makes decisions about my body, without asking. When I was little, I’d be in the hospital, and the doctors would just touch me, like it was normal, and I didn’t know how to say no. That’s still in my bones. And the sexual assault part—when the doctor did the kit without asking, and the students were watching—it wasn’t just about the physical thing; it was about being violated in a room that felt like a cage. I didn’t even know I was being touched until it was too late. That’s why I avoided dental visits for ten years. Not because I didn’t need help, but because I didn’t trust anyone to treat me with respect. Even now, when the cleaning went okay, my hands still shook, and I felt like I was being watched again. I don’t know if I can ever go back, but I don’t want to give up either. I",1.0,1.0,1.0,1.0,0.0,2.0
9,"I don’t know if I can go back, but I don’t want to give up either. I keep thinking about how much pain I’ve carried in silence for so long—like I was supposed to just survive, not speak up. And now, when I finally show up, even with the meds, I still feel like I’m walking into a room where I have no say. But maybe that’s where the real work begins—not in avoiding, but in learning how to say, *“I’m here. I’m not okay with this. I need to be treated with care.”* I don’t know if I’m ready for that yet, but I’m starting to believe it’s possible. And that feels like a step.",1.0,1.0,1.0,1.0,0.0,2.0
10,"The part that still hurts is paying the balance out of my own pocket. I felt like I had to prove I wasn’t just a scared person—like I had to show up strong, even when my body was shaking and I couldn’t breathe. My husband stayed with me, and he didn’t push, which meant a lot. But I still felt like I was carrying all of it alone. And now, hearing you say that maybe the real work is learning to say, *“I’m not okay with this,”* it feels like a light in the dark. I don’t know if I can say that out loud yet, not in a dental office, not in front of a doctor. But I do know this: I’m not going to run from it anymore. I’m going to keep showing up, even if it’s just one step at a time. And maybe, just maybe, I’ll learn to say what I need—without fear.",1.0,1.0,1.0,1.0,0.0,2.0
