turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You feel jealous that other teens seem to have fun together in the photos?,-1.0,-1.0,-2.0,1.0,0.0,2.0
2,So you feel like your parents are focused on the idea that you're wasting their money rather than trying to actually help you with what might be a serious mental health issue.,-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,Your parents think you should stop dreaming big and settle down?,-1.0,-1.0,-2.0,0.0,0.0,1.0
4,"You're having trouble concentrating, you're depressed, and you're struggling with your ADHD. It's not clear to me that your parents understand all of that.",-1.0,-1.0,-2.0,0.0,0.0,1.0
5,"If you don't have hope, it's really difficult to make a plan that works.",1.0,1.0,1.0,1.0,1.0,2.0
6,No hope.,1.0,0.0,0.0,0.0,0.0,2.0
7,A different future.,1.0,1.0,0.0,0.0,0.0,2.0
8,"While you're suffering, your family is suffering too. I know that's been really hard for you. But if you're not able to find a way to get out of this cycle, it's going to be very difficult for you to escape the depression and the hopelessness.",1.0,1.0,0.0,0.0,0.0,2.0
9,"If I can't get out, it's going to be very difficult to break that cycle.",1.0,1.0,0.0,0.0,0.0,2.0
10,It hurts.,1.0,1.0,0.0,0.0,0.0,2.0
11,You're capable of changing this.,1.0,1.0,0.0,0.0,0.0,2.0
12,Makes you feel guilty.,1.0,1.0,0.0,0.0,0.0,2.0
13,Just by existing in this state of bedrotting and depression.,1.0,1.0,0.0,0.0,0.0,2.0
14,"While your body wants to shut down, and your family doesn't understand that, makes me feel so isolated.",1.0,1.0,0.0,0.0,0.0,2.0
15,"They shake their heads and say, ""You're not a good student."" It just feels like they're telling me to accept being stuck forever.",1.0,1.0,0.0,0.0,0.0,2.0
16,It's so painful to feel like you're being labeled a failure and to know that your family doesn't believe in you.,1.0,1.0,0.0,0.0,0.0,2.0
17,They'll stop talking to me.,1.0,1.0,0.0,0.0,0.0,2.0
18,Colder and emptier.,1.0,1.0,0.0,0.0,0.0,2.0
19,The silence grows louder.,1.0,1.0,0.0,0.0,0.0,2.0
