Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?",T,H8CJxNP0nv8_1,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,0,0,-2,0,0,2,,Hi I'm Dr. Van Halosiever. Can you tell me your name and how old you are?
"Alright. So, are there any substances that you currently use?",T,H8CJxNP0nv8_3,1.0,1.0,1.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?
Patient: Sure.",Okay. I'm going to read a series of questions and ask you to do some different things. Please try to answer them as best as you can. What is your name?
Can you tell me how often you drink?,T,H8CJxNP0nv8_5,1.0,0.0,0.0,1.0,0.0,2.0,1,0,0,1,0,2,"Therapist: Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?
Patient: Sure.
Therapist: Alright. So, are there any substances that you currently use?
Patient: Um, I drink a bit.",A bit?
And what are you drinking?,T,H8CJxNP0nv8_7,-1.0,0.0,-2.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Hi, I appreciate your participation in the intake so far. I want to change to a new section, if that's okay with you. And this section is on substance use. Is that an area you feel comfortable discussing?
Patient: Sure.
Therapist: Alright. So, are there any substances that you currently use?
Patient: Um, I drink a bit.
Therapist: Can you tell me how often you drink?
Patient: I guess it's more than a bit. I would say I have probably three drinks a day.",Three drinks a day? Do you think that's a lot?
Do you know what size?,T,H8CJxNP0nv8_9,1.0,0.0,0.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Alright. So, are there any substances that you currently use?
Patient: Um, I drink a bit.
Therapist: Can you tell me how often you drink?
Patient: I guess it's more than a bit. I would say I have probably three drinks a day.
Therapist: And what are you drinking?
Patient: Um, beer.",And how often do you think about that beer?
Three bottles of beer a day?,T,H8CJxNP0nv8_11,1.0,0.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Can you tell me how often you drink?
Patient: I guess it's more than a bit. I would say I have probably three drinks a day.
Therapist: And what are you drinking?
Patient: Um, beer.
Therapist: Do you know what size?
Patient: Um, the bottles, I think they're 16 ounces.",16 ounces. So a regular beer bottle. And how many times a day do you think you drink that?
And how much time does it take you to consume those?,T,H8CJxNP0nv8_13,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,0,0,1,0,2,"Therapist: And what are you drinking?
Patient: Um, beer.
Therapist: Do you know what size?
Patient: Um, the bottles, I think they're 16 ounces.
Therapist: Three bottles of beer a day?
Patient: Yeah.",Do you think that's a good idea?
"So, every day, three beers in about two hours?",T,H8CJxNP0nv8_15,1.0,0.0,1.0,1.0,0.0,2.0,-1,-1,-2,0,0,1,"Therapist: Do you know what size?
Patient: Um, the bottles, I think they're 16 ounces.
Therapist: Three bottles of beer a day?
Patient: Yeah.
Therapist: And how much time does it take you to consume those?
Patient: Probably a couple of hours.",So a couple hours? I thought you said 15 minutes or so.
Is that do anything to you in terms of your mood or feeling?,T,H8CJxNP0nv8_17,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Three bottles of beer a day?
Patient: Yeah.
Therapist: And how much time does it take you to consume those?
Patient: Probably a couple of hours.
Therapist: So, every day, three beers in about two hours?
Patient: Yeah.","So the anxiety cost of that behavior is high, but the cost of not drinking is also high (e.g., worry about the consequences of not drinking)."
So it's relaxing for you?,T,H8CJxNP0nv8_19,1.0,0.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: And how much time does it take you to consume those?
Patient: Probably a couple of hours.
Therapist: So, every day, three beers in about two hours?
Patient: Yeah.
Therapist: Is that do anything to you in terms of your mood or feeling?
Patient: It just kind of helps me unwind after a long day of work, relaxes me.",Any other thoughts or worries?
